site,family,pool,n,n_with_age,age_coverage,censor_year,n_at_censor,share_at_censor_of_dated,share_at_censor_of_all,year_mode,n_at_mode,share_at_mode_of_dated,share_at_mode_of_all,share_le_1985_of_dated,age_term_at_mode,year_min,year_max,year_mean,year_sd,year_sd_sample,year_median,year_iqr,n_distinct_years,mean_AGE_norm,mean_GAP_norm,mean_weakness,mean_age_component,mean_gap_component,gap_share_of_weakness,age_share_of_weakness,share_with_zero_age_term,spearman_w_vs_gap,spearman_w_vs_age
lujiazui,资本/超高层,all,1849,1137,0.6149,1984,4,0.0035,0.0022,1985,771,0.6781,0.417,0.6816,0.2929,1984,2018,1986.8,4.37,4.37,1985.0,1.0,26,0.3444,0.4303,0.3874,0.1722,0.2152,0.5554,0.4446,0.3851,0.5747,0.5219
lujiazui,资本/超高层,acquirable_pool_developer,1158,804,0.6943,1984,3,0.0037,0.0026,1985,553,0.6878,0.4775,0.6915,0.2929,1984,2018,1986.44,3.38,3.39,1985.0,1.0,20,0.3924,0.432,0.4122,0.1962,0.216,0.5241,0.4759,0.3057,0.4656,0.5758
nanjingxi,资本/商业,all,999,625,0.6256,1984,4,0.0064,0.004,1985,588,0.9408,0.5886,0.9472,0.2929,1984,2018,1985.51,2.88,2.88,1985.0,0.0,18,0.3619,0.2472,0.3045,0.1809,0.1236,0.4059,0.5941,0.3744,0.4636,0.5788
nanjingxi,资本/商业,acquirable_pool_developer,687,457,0.6652,1984,0,0.0,0.0,1985,433,0.9475,0.6303,0.9475,0.2929,1985,2018,1985.56,3.16,3.17,1985.0,0.0,14,0.3843,0.2173,0.3008,0.1921,0.1086,0.3612,0.6388,0.3348,0.3727,0.5801
caoyang,单位/工人新村,all,1072,706,0.6586,1984,6,0.0085,0.0056,1985,600,0.8499,0.5597,0.8584,0.2929,1984,2016,1985.77,3.27,3.28,1985.0,0.0,22,0.3785,0.2301,0.3043,0.1893,0.115,0.378,0.622,0.3414,0.4968,0.4337
caoyang,单位/工人新村,acquirable_pool_developer,867,601,0.6932,1984,3,0.005,0.0035,1985,532,0.8852,0.6136,0.8902,0.2929,1984,2013,1985.5,2.25,2.25,1985.0,0.0,17,0.4011,0.2108,0.3059,0.2005,0.1054,0.3445,0.6555,0.3068,0.5015,0.4335
pengpu,单位/工人新村,all,1821,1281,0.7035,1984,6,0.0047,0.0033,1985,344,0.2685,0.1889,0.2732,0.2929,1984,2017,1990.63,6.04,6.04,1989.0,10.0,30,0.3554,0.1617,0.2585,0.1777,0.0808,0.3127,0.6873,0.2965,0.4171,0.3851
pengpu,单位/工人新村,acquirable_pool_developer,1695,1203,0.7097,1984,6,0.005,0.0035,1985,323,0.2685,0.1906,0.2735,0.2929,1984,2017,1990.65,6.04,6.05,1989.0,10.0,30,0.3584,0.1624,0.2604,0.1792,0.0812,0.3118,0.6882,0.2903,0.5677,0.3565
laoximen,居民/里弄石库门,all,923,465,0.5038,1984,0,0.0,0.0,1985,407,0.8753,0.441,0.8753,0.2929,1985,1990,1985.19,0.67,0.67,1985.0,0.0,5,0.2937,0.3063,0.3,0.1469,0.1532,0.5105,0.4895,0.4962,0.3624,0.6994
laoximen,居民/里弄石库门,acquirable_pool_developer,737,371,0.5034,1984,0,0.0,0.0,1985,322,0.8679,0.4369,0.8679,0.2929,1985,1990,1985.17,0.57,0.57,1985.0,0.0,5,0.2936,0.3152,0.3044,0.1468,0.1576,0.5177,0.4823,0.4966,0.2996,0.73
yuyuan,居民/里弄老城,all,819,395,0.4823,1984,1,0.0025,0.0012,1985,294,0.7443,0.359,0.7468,0.2929,1984,2016,1985.49,1.79,1.79,1985.0,1.0,8,0.2791,0.3706,0.3248,0.1395,0.1853,0.5704,0.4296,0.5177,0.3317,0.6366
yuyuan,居民/里弄老城,acquirable_pool_developer,559,281,0.5027,1984,0,0.0,0.0,1985,212,0.7544,0.3792,0.7544,0.2929,1985,1990,1985.36,0.77,0.77,1985.0,0.0,6,0.2918,0.3432,0.3175,0.1459,0.1716,0.5404,0.4596,0.4973,0.247,0.7419
dapuqiao,居民/里弄+田子坊,all,785,460,0.586,1984,1,0.0022,0.0013,1985,417,0.9065,0.5312,0.9087,0.2929,1984,1995,1985.12,0.57,0.57,1985.0,0.0,6,0.3422,0.2984,0.3203,0.1711,0.1492,0.4658,0.5342,0.414,0.478,0.5623
dapuqiao,居民/里弄+田子坊,acquirable_pool_developer,484,299,0.6178,1984,1,0.0033,0.0021,1985,266,0.8896,0.5496,0.893,0.2929,1984,1988,1985.12,0.38,0.38,1985.0,0.0,5,0.3608,0.2715,0.3161,0.1804,0.1357,0.4293,0.5707,0.3822,0.3407,0.6173
zhangjiang,产业/科技新城,all,3129,1675,0.5353,1984,136,0.0812,0.0435,1984,136,0.0812,0.0435,0.1081,0.3,1984,2018,2004.13,8.88,8.88,2006.0,8.0,34,0.1672,0.5302,0.3487,0.0836,0.2651,0.7602,0.2398,0.4647,0.7966,0.3427
zhangjiang,产业/科技新城,acquirable_pool_developer,613,365,0.5954,1984,44,0.1205,0.0718,1984,44,0.1205,0.0718,0.1425,0.3,1984,2018,2004.11,9.78,9.79,2006.0,10.0,30,0.1862,0.47,0.3281,0.0931,0.235,0.7162,0.2838,0.4046,0.8019,0.4005
