site,family,configuration,scenario,mode,row_type,gamma,far_mult,envelope_m,coverage,rebuild_direction,acquired_n,n_with_uplift,envelope_bind_n,envelope_bind_frac,envelope_clipped_gfa,clipped_frac_of_acquired_gfa,rebuild_target_h_min,rebuild_target_h_median,rebuild_target_h_max,h_target_residential_far2p5,h_target_default_far3p0,headroom_m,envelope_first_bites_below_m,envelope_bites_all_below_m,share_reached,target_met,gfa_change_pct
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,gamma_setting,strict,0.8,30.0,0.1793,up,920,865,865,0.9402,2913964.9,0.2175,39.04,39.04,46.85,39.04,46.85,-16.85,46.85,39.04,0.8007,True,2.99
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,gamma_setting,base,1.0,60.0,0.1793,up,911,903,0,0.0,0.0,0.0,48.8,48.8,58.56,48.8,58.56,1.44,58.56,48.8,0.8007,True,11.15
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,gamma_setting,permissive,1.5,120.0,0.1793,up,826,826,0,0.0,0.0,0.0,73.2,73.2,87.84,73.2,87.84,32.16,87.84,73.2,0.8006,True,21.04
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,gamma_setting,none,1.5,100000.0,0.1793,up,826,826,0,0.0,0.0,0.0,73.2,73.2,87.84,73.2,87.84,99912.16,87.84,73.2,0.8006,True,21.04
lujiazui,资本/超高层,state_led,state_civic,B_grow,gamma_setting,strict,0.8,30.0,0.1793,down,350,191,0,0.0,0.0,0.0,15.0,30.0,30.0,39.04,46.85,0.0,30.0,15.0,0.3009,True,-40.57
lujiazui,资本/超高层,state_led,state_civic,B_grow,gamma_setting,base,1.0,60.0,0.1793,down,350,191,0,0.0,0.0,0.0,15.0,30.0,30.0,48.8,58.56,30.0,30.0,15.0,0.3009,True,-40.57
lujiazui,资本/超高层,state_led,state_civic,B_grow,gamma_setting,permissive,1.5,120.0,0.1793,down,350,191,0,0.0,0.0,0.0,15.0,30.0,30.0,73.2,87.84,90.0,30.0,15.0,0.3009,True,-40.57
lujiazui,资本/超高层,state_led,state_civic,B_grow,gamma_setting,none,1.5,100000.0,0.1793,down,350,191,0,0.0,0.0,0.0,15.0,30.0,30.0,73.2,87.84,99970.0,30.0,15.0,0.3009,True,-40.57
lujiazui,资本/超高层,resident_led,resident_retain,B_grow,gamma_setting,strict,0.8,30.0,0.1793,down,426,0,0,0.0,0.0,0.0,,,,39.04,46.85,,,,0.7536,True,-46.72
lujiazui,资本/超高层,resident_led,resident_retain,B_grow,gamma_setting,base,1.0,60.0,0.1793,down,426,0,0,0.0,0.0,0.0,,,,48.8,58.56,,,,0.7536,True,-46.72
lujiazui,资本/超高层,resident_led,resident_retain,B_grow,gamma_setting,permissive,1.5,120.0,0.1793,down,426,0,0,0.0,0.0,0.0,,,,73.2,87.84,,,,0.7536,True,-46.72
lujiazui,资本/超高层,resident_led,resident_retain,B_grow,gamma_setting,none,1.5,100000.0,0.1793,down,426,0,0,0.0,0.0,0.0,,,,73.2,87.84,,,,0.7536,True,-46.72
lujiazui,资本/超高层,shared,shared_commons,B_grow,gamma_setting,strict,0.8,30.0,0.1793,down,99,0,0,0.0,0.0,0.0,,,,39.04,46.85,,,,0.3013,True,-43.75
lujiazui,资本/超高层,shared,shared_commons,B_grow,gamma_setting,base,1.0,60.0,0.1793,down,99,0,0,0.0,0.0,0.0,,,,48.8,58.56,,,,0.3013,True,-43.75
lujiazui,资本/超高层,shared,shared_commons,B_grow,gamma_setting,permissive,1.5,120.0,0.1793,down,99,0,0,0.0,0.0,0.0,,,,73.2,87.84,,,,0.3013,True,-43.75
lujiazui,资本/超高层,shared,shared_commons,B_grow,gamma_setting,none,1.5,100000.0,0.1793,down,99,0,0,0.0,0.0,0.0,,,,73.2,87.84,,,,0.3013,True,-43.75
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h20,1.0,20.0,0.1793,up,925,903,903,0.9762,7971595.1,0.6568,48.8,48.8,58.56,48.8,58.56,-38.56,58.56,48.8,0.8004,True,1.02
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h25,1.0,25.0,0.1793,up,923,903,903,0.9783,7314116.4,0.5783,48.8,48.8,58.56,48.8,58.56,-33.56,58.56,48.8,0.8003,True,1.85
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h30,1.0,30.0,0.1793,up,920,903,903,0.9815,6419363.6,0.4792,48.8,48.8,58.56,48.8,58.56,-28.56,58.56,48.8,0.8007,True,2.99
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h35,1.0,35.0,0.1793,up,919,903,903,0.9826,4906331.3,0.3337,48.8,48.8,58.56,48.8,58.56,-23.56,58.56,48.8,0.8018,True,4.91
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h40,1.0,40.0,0.1793,up,916,903,903,0.9858,3198720.7,0.2001,48.8,48.8,58.56,48.8,58.56,-18.56,58.56,48.8,0.8008,True,7.08
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h45,1.0,45.0,0.1793,up,913,903,903,0.989,1415185.2,0.0811,48.8,48.8,58.56,48.8,58.56,-13.56,58.56,48.8,0.8011,True,9.35
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h50,1.0,50.0,0.1793,up,911,903,18,0.0198,33174.9,0.0018,48.8,48.8,58.56,48.8,58.56,-8.56,58.56,48.8,0.8007,True,11.11
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h55,1.0,55.0,0.1793,up,911,903,18,0.0198,13799.6,0.0007,48.8,48.8,58.56,48.8,58.56,-3.56,58.56,48.8,0.8007,True,11.13
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h60,1.0,60.0,0.1793,up,911,903,0,0.0,0.0,0.0,48.8,48.8,58.56,48.8,58.56,1.44,58.56,48.8,0.8007,True,11.15
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h80,1.0,80.0,0.1793,up,911,903,0,0.0,0.0,0.0,48.8,48.8,58.56,48.8,58.56,21.44,58.56,48.8,0.8007,True,11.15
lujiazui,资本/超高层,developer_led,capital_deepen,B_grow,height_sweep,sweep_h120,1.0,120.0,0.1793,up,911,903,0,0.0,0.0,0.0,48.8,48.8,58.56,48.8,58.56,61.44,58.56,48.8,0.8007,True,11.15
nanjingxi,资本/商业,developer_led,capital_deepen,B_grow,gamma_setting,strict,0.8,30.0,0.3571,up,437,244,0,0.0,0.0,0.0,19.6,19.6,23.52,19.6,23.52,6.48,23.52,19.6,0.8005,True,1.64
nanjingxi,资本/商业,developer_led,capital_deepen,B_grow,gamma_setting,base,1.0,60.0,0.3571,up,432,372,0,0.0,0.0,0.0,24.5,24.5,29.4,24.5,29.4,30.6,29.4,24.5,0.8007,True,3.74
nanjingxi,资本/商业,developer_led,capital_deepen,B_grow,gamma_setting,permissive,1.5,120.0,0.3571,up,418,396,0,0.0,0.0,0.0,36.76,36.76,44.11,36.76,44.11,75.89,44.11,36.76,0.8037,True,11.98
