test,district,w_age,w_gap,missing_age,rule,reached,met,acquired,resident_loss_share,resident_loses_most,median_weakness_taken,mean_weakness_taken,pool_mean_weakness,lift_over_pool,pool_taken_frac
sensitivity,lujiazui,1.0,0.0,zero,weak_first,0.8001,True,550,1.0,True,,,,,
sensitivity,lujiazui,1.0,0.0,median,weak_first,0.8003,True,509,1.0,True,,,,,
sensitivity,lujiazui,0.75,0.25,zero,weak_first,0.8006,True,697,1.0,True,,,,,
sensitivity,lujiazui,0.75,0.25,median,weak_first,0.8001,True,942,1.0,True,,,,,
sensitivity,lujiazui,0.5,0.5,zero,weak_first,0.8007,True,911,1.0,True,,,,,
sensitivity,lujiazui,0.5,0.5,median,weak_first,0.8,True,953,1.0,True,,,,,
sensitivity,lujiazui,0.25,0.75,zero,weak_first,0.8001,True,961,1.0,True,,,,,
sensitivity,lujiazui,0.25,0.75,median,weak_first,0.8001,True,961,1.0,True,,,,,
sensitivity,lujiazui,0.0,1.0,zero,weak_first,0.8003,True,967,1.0,True,,,,,
sensitivity,lujiazui,0.0,1.0,median,weak_first,0.8003,True,967,1.0,True,,,,,
ablation_heavy,lujiazui,0.5,0.5,zero,weak_first,0.8007,True,911,1.0,True,0.4783,0.4721,0.4122,0.0599,0.787
ablation_heavy,lujiazui,0.5,0.5,zero,value_first,0.8006,True,131,1.0,True,0.2929,0.2286,0.4122,-0.1836,0.113
ablation_heavy,lujiazui,0.5,0.5,zero,random,0.8003,True,563,1.0,True,0.4385,0.4112,0.4122,-0.001,0.486
ablation_heavy,lujiazui,0.5,0.5,zero,adjacency_first,0.8001,True,184,1.0,True,0.3011,0.3336,0.4122,-0.0786,0.159
ablation_light,lujiazui,0.5,0.5,zero,weak_first,0.7041,True,313,1.0,True,0.547,0.5681,0.4122,0.1559,0.27
ablation_light,lujiazui,0.5,0.5,zero,value_first,0.7054,True,19,1.0,True,0.0,0.1162,0.4122,-0.296,0.016
ablation_light,lujiazui,0.5,0.5,zero,random,0.704,True,162,1.0,True,0.424,0.4105,0.4122,-0.0017,0.14
ablation_light,lujiazui,0.5,0.5,zero,adjacency_first,0.7042,True,34,1.0,True,0.2929,0.2977,0.4122,-0.1145,0.029
sensitivity,caoyang,1.0,0.0,zero,weak_first,0.8006,True,658,1.0,True,,,,,
sensitivity,caoyang,1.0,0.0,median,weak_first,0.8018,True,756,1.0,True,,,,,
sensitivity,caoyang,0.75,0.25,zero,weak_first,0.8001,True,754,1.0,True,,,,,
sensitivity,caoyang,0.75,0.25,median,weak_first,0.8,True,795,1.0,True,,,,,
sensitivity,caoyang,0.5,0.5,zero,weak_first,0.8001,True,764,1.0,True,,,,,
sensitivity,caoyang,0.5,0.5,median,weak_first,0.8001,True,797,1.0,True,,,,,
sensitivity,caoyang,0.25,0.75,zero,weak_first,0.8023,True,793,1.0,True,,,,,
sensitivity,caoyang,0.25,0.75,median,weak_first,0.8001,True,798,1.0,True,,,,,
sensitivity,caoyang,0.0,1.0,zero,weak_first,0.8003,True,785,1.0,True,,,,,
sensitivity,caoyang,0.0,1.0,median,weak_first,0.8003,True,785,1.0,True,,,,,
ablation_heavy,caoyang,0.5,0.5,zero,weak_first,0.8001,True,764,1.0,True,0.3105,0.3392,0.3059,0.0333,0.881
ablation_heavy,caoyang,0.5,0.5,zero,value_first,0.8001,True,470,1.0,True,0.2929,0.2788,0.3059,-0.0272,0.542
ablation_heavy,caoyang,0.5,0.5,zero,random,0.8008,True,752,1.0,True,0.2929,0.3062,0.3059,0.0003,0.867
ablation_heavy,caoyang,0.5,0.5,zero,adjacency_first,0.8002,True,510,1.0,True,0.2929,0.3016,0.3059,-0.0044,0.588
ablation_light,caoyang,0.5,0.5,zero,weak_first,0.2573,True,96,1.0,True,0.5086,0.5346,0.3059,0.2286,0.111
ablation_light,caoyang,0.5,0.5,zero,value_first,0.2622,True,7,1.0,True,0.2929,0.1674,0.3059,-0.1386,0.008
ablation_light,caoyang,0.5,0.5,zero,random,0.2576,True,64,1.0,True,0.2929,0.2934,0.3059,-0.0125,0.074
ablation_light,caoyang,0.5,0.5,zero,adjacency_first,0.2579,True,13,1.0,True,0.2929,0.2361,0.3059,-0.0698,0.015
sensitivity,laoximen,1.0,0.0,zero,weak_first,0.8003,True,595,1.0,True,,,,,
sensitivity,laoximen,1.0,0.0,median,weak_first,0.8001,True,661,1.0,True,,,,,
sensitivity,laoximen,0.75,0.25,zero,weak_first,0.8007,True,709,1.0,True,,,,,
sensitivity,laoximen,0.75,0.25,median,weak_first,0.8003,True,707,1.0,True,,,,,
sensitivity,laoximen,0.5,0.5,zero,weak_first,0.8007,True,709,1.0,True,,,,,
sensitivity,laoximen,0.5,0.5,median,weak_first,0.8003,True,707,1.0,True,,,,,
sensitivity,laoximen,0.25,0.75,zero,weak_first,0.8007,True,709,1.0,True,,,,,
