bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
423,resident,developer,2169.97,2169.97,6.0,6.0,361.7,0.6981
424,resident,developer,3606.96,3606.96,6.0,6.0,601.2,0.6981
610,resident,developer,307.05,307.05,6.0,6.0,51.2,0.6981
256,resident,developer,4408.11,4408.11,12.0,12.0,367.3,0.6349
117,resident,developer,2450.12,2450.12,12.0,12.0,204.2,0.6033
168,resident,developer,829.49,829.49,12.0,12.0,69.1,0.6033
195,resident,developer,7480.67,7480.67,12.0,12.0,623.4,0.6033
197,resident,developer,6129.82,6129.82,12.0,12.0,510.8,0.6033
290,resident,developer,6031.62,6031.62,12.0,12.0,502.6,0.6033
292,resident,developer,5896.54,5896.54,12.0,12.0,491.4,0.6033
293,resident,developer,6202.65,6202.65,12.0,12.0,516.9,0.6033
376,resident,developer,1439.81,1439.81,12.0,12.0,120.0,0.6033
417,resident,developer,1275.82,1275.82,12.0,12.0,106.3,0.6033
425,resident,developer,3328.25,3328.25,12.0,12.0,277.4,0.6033
444,resident,developer,2788.64,2788.64,12.0,12.0,232.4,0.6033
621,resident,developer,4203.05,4203.05,12.0,12.0,350.3,0.6033
641,resident,developer,2894.14,2894.14,12.0,12.0,241.2,0.6033
658,resident,developer,8098.09,8098.09,12.0,12.0,674.8,0.6033
781,resident,developer,5611.13,5611.13,12.0,12.0,467.6,0.6033
863,resident,developer,1417.75,1417.75,12.0,12.0,118.1,0.6033
698,resident,developer,4824.46,4824.46,12.0,12.0,402.0,0.589
667,resident,developer,2354.71,2354.71,12.0,12.0,196.2,0.5605
494,resident,developer,7340.59,7340.59,18.0,18.0,407.8,0.5559
502,resident,developer,4556.76,4556.76,18.0,18.0,253.2,0.5559
513,resident,developer,7750.71,7750.71,18.0,18.0,430.6,0.5488
187,resident,developer,7564.57,7564.57,18.0,18.0,420.3,0.5157
807,resident,developer,7990.84,7990.84,18.0,18.0,443.9,0.5157
72,resident,developer,2110.88,2110.88,18.0,18.0,117.3,0.5086
75,resident,developer,13521.89,13521.89,18.0,18.0,751.2,0.5086
110,resident,developer,3193.84,3193.84,18.0,18.0,177.4,0.5086
155,resident,developer,7463.84,7463.84,18.0,18.0,414.7,0.5086
173,resident,developer,9727.21,9727.21,18.0,18.0,540.4,0.5086
182,resident,developer,5779.49,5779.49,18.0,18.0,321.1,0.5086
192,resident,developer,7119.82,7119.82,18.0,18.0,395.5,0.5086
283,resident,developer,5359.47,5359.47,18.0,18.0,297.7,0.5086
296,resident,developer,9599.73,9599.73,18.0,18.0,533.3,0.5086
299,resident,developer,13965.43,13965.43,18.0,18.0,775.9,0.5086
334,resident,developer,7370.5,7370.5,18.0,18.0,409.5,0.5086
356,resident,developer,13222.4,13222.4,18.0,18.0,734.6,0.5086
360,resident,developer,8223.2,8223.2,18.0,18.0,456.8,0.5086
365,resident,developer,7770.06,7770.06,18.0,18.0,431.7,0.5086
367,resident,developer,7513.1,7513.1,18.0,18.0,417.4,0.5086
372,resident,developer,8551.55,8551.55,18.0,18.0,475.1,0.5086
373,resident,developer,7927.61,7927.61,18.0,18.0,440.4,0.5086
428,resident,developer,6826.25,6826.25,18.0,18.0,379.2,0.5086
430,resident,developer,6867.09,6867.09,18.0,18.0,381.5,0.5086
431,resident,developer,6930.16,6930.16,18.0,18.0,385.0,0.5086
432,resident,developer,6718.84,6718.84,18.0,18.0,373.3,0.5086
434,resident,developer,6861.7,6861.7,18.0,18.0,381.2,0.5086
436,resident,developer,11344.62,11344.62,18.0,18.0,630.3,0.5086
449,resident,developer,13458.09,13458.09,18.0,18.0,747.7,0.5086
496,resident,developer,5828.64,5828.64,18.0,18.0,323.8,0.5086
498,resident,developer,11843.19,11843.19,18.0,18.0,658.0,0.5086
499,resident,developer,5984.3,5984.3,18.0,18.0,332.5,0.5086
503,resident,developer,13624.64,13624.64,18.0,18.0,756.9,0.5086
504,resident,developer,7189.01,7189.01,18.0,18.0,399.4,0.5086
506,resident,developer,3143.55,3143.55,18.0,18.0,174.6,0.5086
516,resident,developer,6046.86,6046.86,18.0,18.0,335.9,0.5086
518,resident,developer,6891.6,6891.6,18.0,18.0,382.9,0.5086
523,resident,developer,10094.52,10094.52,18.0,18.0,560.8,0.5086
528,resident,developer,7627.79,7627.79,18.0,18.0,423.8,0.5086
535,resident,developer,11124.12,11124.12,18.0,18.0,618.0,0.5086
536,resident,developer,6386.42,6386.42,18.0,18.0,354.8,0.5086
537,resident,developer,10475.85,10475.85,18.0,18.0,582.0,0.5086
538,resident,developer,8226.49,8226.49,18.0,18.0,457.0,0.5086
540,resident,developer,10323.25,10323.25,18.0,18.0,573.5,0.5086
545,resident,developer,3674.02,3674.02,18.0,18.0,204.1,0.5086
548,resident,developer,6259.09,6259.09,18.0,18.0,347.7,0.5086
549,resident,developer,6653.33,6653.33,18.0,18.0,369.6,0.5086
551,resident,developer,6040.29,6040.29,18.0,18.0,335.6,0.5086
553,resident,developer,11369.01,11369.01,18.0,18.0,631.6,0.5086
555,resident,developer,9289.04,9289.04,18.0,18.0,516.1,0.5086
576,resident,developer,9626.95,9626.95,18.0,18.0,534.8,0.5086
577,resident,developer,9626.72,9626.72,18.0,18.0,534.8,0.5086
578,resident,developer,9943.72,9943.72,18.0,18.0,552.4,0.5086
579,resident,developer,9047.08,9047.08,18.0,18.0,502.6,0.5086
619,resident,developer,10656.73,10656.73,18.0,18.0,592.0,0.5086
620,resident,developer,4068.12,4068.12,18.0,18.0,226.0,0.5086
819,resident,developer,7755.36,7755.36,18.0,18.0,430.9,0.5086
851,resident,developer,26609.18,26609.18,18.0,18.0,1478.3,0.5086
879,resident,developer,2836.93,2836.93,18.0,18.0,157.6,0.5086
1040,resident,developer,3048.07,3048.07,18.0,18.0,169.3,0.5086
1044,resident,developer,10072.08,10072.08,18.0,18.0,559.6,0.5086
1046,resident,developer,11077.74,11077.74,18.0,18.0,615.4,0.5086
