bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
423,resident,developer,2169.97,11449.17,6.0,31.66,361.7,0.6981
424,resident,developer,3606.96,19030.95,6.0,31.66,601.2,0.6981
610,resident,developer,307.05,1620.04,6.0,31.66,51.2,0.6981
256,resident,developer,4408.11,13954.77,12.0,37.99,367.3,0.6349
117,resident,developer,2450.12,6463.62,12.0,31.66,204.2,0.6033
168,resident,developer,829.49,2188.28,12.0,31.66,69.1,0.6033
195,resident,developer,7480.67,19734.67,12.0,31.66,623.4,0.6033
197,resident,developer,6129.82,16171.01,12.0,31.66,510.8,0.6033
290,resident,developer,6031.62,15911.95,12.0,31.66,502.6,0.6033
292,resident,developer,5896.54,15555.59,12.0,31.66,491.4,0.6033
293,resident,developer,6202.65,16363.13,12.0,31.66,516.9,0.6033
376,resident,developer,1439.81,3798.33,12.0,31.66,120.0,0.6033
417,resident,developer,1275.82,3365.73,12.0,31.66,106.3,0.6033
425,resident,developer,3328.25,8780.22,12.0,31.66,277.4,0.6033
444,resident,developer,2788.64,7356.68,12.0,31.66,232.4,0.6033
621,resident,developer,4203.05,11088.03,12.0,31.66,350.3,0.6033
641,resident,developer,2894.14,7634.99,12.0,31.66,241.2,0.6033
658,resident,developer,8098.09,21363.48,12.0,31.66,674.8,0.6033
781,resident,developer,5611.13,14802.66,12.0,31.66,467.6,0.6033
863,resident,developer,1417.75,3740.15,12.0,31.66,118.1,0.6033
698,resident,developer,4824.46,12727.34,12.0,31.66,402.0,0.589
667,resident,developer,2354.71,6211.94,12.0,31.66,196.2,0.5605
494,resident,developer,7340.59,15492.09,18.0,37.99,407.8,0.5559
502,resident,developer,4556.76,9616.91,18.0,37.99,253.2,0.5559
513,resident,developer,7750.71,16357.65,18.0,37.99,430.6,0.5488
187,resident,developer,7564.57,13304.01,18.0,31.66,420.3,0.5157
807,resident,developer,7990.84,14053.69,18.0,31.66,443.9,0.5157
72,resident,developer,2110.88,3712.45,18.0,31.66,117.3,0.5086
75,resident,developer,13521.89,23781.29,18.0,31.66,751.2,0.5086
110,resident,developer,3193.84,5617.1,18.0,31.66,177.4,0.5086
155,resident,developer,7463.84,13126.84,18.0,31.66,414.7,0.5086
173,resident,developer,9727.21,17107.49,18.0,31.66,540.4,0.5086
182,resident,developer,5779.49,10164.53,18.0,31.66,321.1,0.5086
192,resident,developer,7119.82,12521.82,18.0,31.66,395.5,0.5086
283,resident,developer,5359.47,9425.84,18.0,31.66,297.7,0.5086
296,resident,developer,9599.73,16883.28,18.0,31.66,533.3,0.5086
299,resident,developer,13965.43,24561.36,18.0,31.66,775.9,0.5086
334,resident,developer,7370.5,12962.68,18.0,31.66,409.5,0.5086
356,resident,developer,13222.4,23254.56,18.0,31.66,734.6,0.5086
360,resident,developer,8223.2,14462.36,18.0,31.66,456.8,0.5086
365,resident,developer,7770.06,13665.4,18.0,31.66,431.7,0.5086
367,resident,developer,7513.1,13213.48,18.0,31.66,417.4,0.5086
372,resident,developer,8551.55,15039.82,18.0,31.66,475.1,0.5086
373,resident,developer,7927.61,13942.48,18.0,31.66,440.4,0.5086
428,resident,developer,6826.25,12005.49,18.0,31.66,379.2,0.5086
430,resident,developer,6867.09,12077.32,18.0,31.66,381.5,0.5086
431,resident,developer,6930.16,12188.25,18.0,31.66,385.0,0.5086
432,resident,developer,6718.84,11816.59,18.0,31.66,373.3,0.5086
434,resident,developer,6861.7,12067.84,18.0,31.66,381.2,0.5086
436,resident,developer,11344.62,19952.07,18.0,31.66,630.3,0.5086
449,resident,developer,13458.09,23669.08,18.0,31.66,747.7,0.5086
496,resident,developer,5828.64,10250.98,18.0,31.66,323.8,0.5086
