bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
267,developer,state,562242.66,562242.66,162.0,162.0,3470.6,0.0
482,developer,state,231104.5,231104.5,168.0,168.0,1375.6,0.2929
244,developer,state,196501.83,196501.83,168.0,168.0,1169.7,0.2857
445,developer,state,185511.09,185511.09,168.0,168.0,1104.2,0.2929
150,developer,state,181375.98,181375.98,150.0,150.0,1209.2,0.2786
442,developer,state,178870.72,178870.72,168.0,168.0,1064.7,0.2714
467,developer,state,156732.88,156732.88,30.0,30.0,5224.4,0.0
149,developer,state,155194.22,155194.22,114.0,114.0,1361.4,0.2786
772,developer,state,149044.39,149044.39,30.0,30.0,4968.1,0.2039
771,developer,state,130007.73,130007.73,48.0,48.0,2708.5,0.319
453,developer,state,126139.71,126139.71,60.0,60.0,2102.3,0.0
259,developer,state,125489.36,125489.36,24.0,24.0,5228.7,0.0262
769,developer,state,122002.42,122002.42,54.0,54.0,2259.3,0.0
464,developer,state,106998.43,106998.43,48.0,48.0,2229.1,0.319
248,developer,state,100258.84,100258.84,174.0,174.0,576.2,0.2857
268,developer,state,99835.51,99835.51,42.0,42.0,2377.0,0.2929
387,developer,state,98123.66,98123.66,90.0,90.0,1090.3,0.2857
250,developer,state,96819.22,96819.22,24.0,24.0,4034.1,0.0262
463,developer,state,96226.34,96226.34,30.0,30.0,3207.5,0.2929
382,developer,state,88262.9,88262.9,48.0,48.0,1838.8,0.319
260,developer,state,82968.9,82968.9,18.0,18.0,4609.4,0.1446
257,developer,state,79310.62,79310.62,18.0,18.0,4406.1,0.1446
474,developer,state,71010.64,71010.64,90.0,90.0,789.0,0.0
791,developer,state,61868.34,61868.34,90.0,90.0,687.4,0.2929
768,developer,state,59496.18,59496.18,66.0,66.0,901.5,0.2929
345,developer,state,56640.67,56640.67,36.0,36.0,1573.4,0.4303
271,developer,state,54260.22,54260.22,90.0,90.0,602.9,0.2786
472,developer,state,50984.55,50984.55,96.0,96.0,531.1,0.2643
11,developer,state,50627.74,50627.74,54.0,54.0,937.6,0.2929
379,developer,state,50616.64,50616.64,18.0,18.0,2812.0,0.6152
459,developer,state,49153.37,49153.37,54.0,54.0,910.2,0.2929
446,developer,state,48715.13,48715.13,24.0,24.0,2029.8,0.5345
454,developer,state,48558.6,48558.6,42.0,42.0,1156.2,0.2929
492,developer,state,46312.21,46312.21,48.0,48.0,964.8,0.319
470,developer,state,44886.56,44886.56,30.0,30.0,1496.2,0.2929
258,developer,state,40514.69,40514.69,24.0,24.0,1688.1,0.319
466,developer,state,40487.4,40487.4,18.0,18.0,2249.3,0.3223
773,developer,state,37248.48,37248.48,120.0,120.0,310.4,0.2143
269,developer,state,35095.2,35095.2,48.0,48.0,731.1,0.2714
469,developer,state,34327.96,34327.96,30.0,30.0,1144.3,0.4896
452,developer,state,30869.15,30869.15,30.0,30.0,1029.0,0.2857
785,developer,state,28671.53,28671.53,36.0,36.0,796.4,0.4375
471,developer,state,27577.45,27577.45,30.0,30.0,919.2,0.4967
338,developer,state,25184.43,25184.43,54.0,54.0,466.4,0.2929
491,developer,state,22715.54,22715.54,30.0,30.0,757.2,0.4967
229,developer,state,22650.19,22650.19,24.0,24.0,943.8,0.0262
