bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
10,developer,state,3527.26,17636.3,6.0,30.0,587.9,0.7336
241,developer,state,91.15,455.77,6.0,30.0,15.2,0.6744
255,developer,state,223.34,1116.72,6.0,30.0,37.2,0.6744
381,developer,state,17126.73,42816.82,12.0,30.0,1427.2,0.6744
384,developer,state,10201.33,25503.34,12.0,30.0,850.1,0.6744
462,developer,state,3887.09,19435.45,6.0,30.0,647.8,0.6744
485,developer,state,12877.47,32193.69,12.0,30.0,1073.1,0.6744
486,developer,state,3360.0,8399.99,12.0,30.0,280.0,0.6744
493,developer,state,1777.31,4443.28,12.0,30.0,148.1,0.6744
246,developer,state,5344.43,13361.08,12.0,30.0,445.4,0.6673
379,developer,state,50616.64,42180.54,18.0,15.0,2812.0,0.6152
386,developer,state,15457.81,25763.02,18.0,30.0,858.8,0.6152
796,developer,state,1563.48,2605.8,18.0,30.0,86.9,0.6152
254,developer,state,7970.7,19926.76,12.0,30.0,664.2,0.5559
465,developer,state,1779.31,4448.26,12.0,30.0,148.3,0.5559
468,developer,state,1968.9,4922.24,12.0,30.0,164.1,0.5559
770,developer,state,9108.16,11385.2,24.0,30.0,379.5,0.5559
272,developer,state,1985.6,4964.01,12.0,30.0,165.5,0.5417
446,developer,state,48715.13,30446.96,24.0,15.0,2029.8,0.5345
471,developer,state,27577.45,27577.45,30.0,30.0,919.2,0.4967
491,developer,state,22715.54,22715.54,30.0,30.0,757.2,0.4967
683,developer,state,7899.13,7899.13,30.0,30.0,263.3,0.4967
469,developer,state,34327.96,34327.96,30.0,30.0,1144.3,0.4896
347,developer,state,210.56,1052.78,6.0,30.0,35.1,0.4408
385,developer,state,1085.61,5428.07,6.0,30.0,180.9,0.4408
490,developer,state,404.69,2023.45,6.0,30.0,67.4,0.4408
261,developer,state,13558.6,22597.67,18.0,30.0,753.3,0.4375
477,developer,state,12813.49,10677.91,36.0,30.0,355.9,0.4375
785,developer,state,28671.53,23892.94,36.0,30.0,796.4,0.4375
345,developer,state,56640.67,47200.56,36.0,30.0,1573.4,0.4303
455,developer,state,16770.47,27950.78,18.0,30.0,931.7,0.4303
253,developer,state,444.81,2224.04,6.0,30.0,74.1,0.3815
262,developer,state,1502.36,7511.79,6.0,30.0,250.4,0.3815
340,developer,state,626.31,3131.56,6.0,30.0,104.4,0.3815
341,developer,state,330.85,1654.25,6.0,30.0,55.1,0.3815
343,developer,state,2333.24,5833.1,12.0,30.0,194.4,0.3815
346,developer,state,2152.79,5381.99,12.0,30.0,179.4,0.3815
456,developer,state,350.08,1750.41,6.0,30.0,58.3,0.3815
457,developer,state,1262.65,6313.25,6.0,30.0,210.4,0.3815
460,developer,state,878.8,2197.0,12.0,30.0,73.2,0.3815
473,developer,state,6259.59,15648.97,12.0,30.0,521.6,0.3815
476,developer,state,7216.96,18042.4,12.0,30.0,601.4,0.3815
685,developer,state,2359.81,5899.52,12.0,30.0,196.7,0.3815
788,developer,state,2325.17,5812.94,12.0,30.0,193.8,0.3815
466,developer,state,40487.4,33739.5,18.0,15.0,2249.3,0.3223
792,developer,state,20554.58,34257.63,18.0,30.0,1141.9,0.3223
86,developer,state,7101.56,8876.95,24.0,30.0,295.9,0.319
258,developer,state,40514.69,50643.37,24.0,30.0,1688.1,0.319
382,developer,state,88262.9,55164.31,48.0,30.0,1838.8,0.319
464,developer,state,106998.43,33437.01,48.0,15.0,2229.1,0.319
492,developer,state,46312.21,28945.13,48.0,30.0,964.8,0.319
771,developer,state,130007.73,40627.41,48.0,15.0,2708.5,0.319
11,developer,state,50627.74,28126.52,54.0,30.0,937.6,0.2929
268,developer,state,99835.51,35655.54,42.0,15.0,2377.0,0.2929
274,developer,state,18566.49,18566.49,30.0,30.0,618.9,0.2929
338,developer,state,25184.43,13991.35,54.0,30.0,466.4,0.2929
445,developer,state,185511.09,33126.98,168.0,30.0,1104.2,0.2929
454,developer,state,48558.6,34684.71,42.0,30.0,1156.2,0.2929
459,developer,state,49153.37,27307.43,54.0,30.0,910.2,0.2929
463,developer,state,96226.34,48113.17,30.0,15.0,3207.5,0.2929
470,developer,state,44886.56,44886.56,30.0,30.0,1496.2,0.2929
479,developer,state,20344.45,11302.47,54.0,30.0,376.7,0.2929
482,developer,state,231104.5,41268.66,168.0,30.0,1375.6,0.2929
768,developer,state,59496.18,27043.72,66.0,30.0,901.5,0.2929
791,developer,state,61868.34,20622.78,90.0,30.0,687.4,0.2929
795,developer,state,5401.14,2250.48,72.0,30.0,75.0,0.2929
797,developer,state,6432.7,3216.35,60.0,30.0,107.2,0.2929
244,developer,state,196501.83,35089.61,168.0,30.0,1169.7,0.2857
248,developer,state,100258.84,17286.01,174.0,30.0,576.2,0.2857
387,developer,state,98123.66,32707.89,90.0,30.0,1090.3,0.2857
452,developer,state,30869.15,30869.15,30.0,30.0,1029.0,0.2857
271,developer,state,54260.22,18086.74,90.0,30.0,602.9,0.2786
277,developer,state,16436.98,13697.49,36.0,30.0,456.6,0.2786
269,developer,state,35095.2,21934.5,48.0,30.0,731.1,0.2714
442,developer,state,178870.72,31941.2,168.0,30.0,1064.7,0.2714
472,developer,state,50984.55,15932.67,96.0,30.0,531.1,0.2643
228,developer,state,612.6,1531.49,12.0,30.0,51.0,0.2631
251,developer,state,1969.25,4923.12,12.0,30.0,164.1,0.2631
252,developer,state,1407.7,3519.25,12.0,30.0,117.3,0.2631
266,developer,state,17262.71,43156.78,12.0,30.0,1438.6,0.2631
270,developer,state,7656.67,19141.67,12.0,30.0,638.1,0.2631
275,developer,state,3072.18,7680.45,12.0,30.0,256.0,0.2631
276,developer,state,4912.42,12281.05,12.0,30.0,409.4,0.2631
344,developer,state,4856.69,12141.72,12.0,30.0,404.7,0.2631
458,developer,state,1258.08,3145.21,12.0,30.0,104.8,0.2631
773,developer,state,37248.48,9312.12,120.0,30.0,310.4,0.2143
772,developer,state,149044.39,74522.19,30.0,15.0,4968.1,0.2039
68,developer,state,1944.08,3240.14,18.0,30.0,108.0,0.1446
69,developer,state,3691.09,6151.82,18.0,30.0,205.1,0.1446
231,developer,state,20936.6,34894.34,18.0,30.0,1163.1,0.1446
257,developer,state,79310.62,66092.19,18.0,15.0,4406.1,0.1446
260,developer,state,82968.9,69140.75,18.0,15.0,4609.4,0.1446
273,developer,state,11727.16,19545.26,18.0,30.0,651.5,0.1446
0,developer,state,12485.06,8917.9,42.0,30.0,297.3,0.0854
66,developer,state,11855.87,14819.83,24.0,30.0,494.0,0.0262
70,developer,state,11775.48,14719.34,24.0,30.0,490.6,0.0262
73,developer,state,5366.5,6708.12,24.0,30.0,223.6,0.0262
229,developer,state,22650.19,28312.73,24.0,30.0,943.8,0.0262
250,developer,state,96819.22,60512.01,24.0,15.0,4034.1,0.0262
259,developer,state,125489.36,78430.85,24.0,15.0,5228.7,0.0262
89,developer,state,7396.39,7396.39,30.0,30.0,246.5,0.0
267,developer,state,562242.66,52059.51,162.0,15.0,3470.6,0.0
453,developer,state,126139.71,31534.93,60.0,15.0,2102.3,0.0
467,developer,state,156732.88,78366.44,30.0,15.0,5224.4,0.0
474,developer,state,71010.64,23670.21,90.0,30.0,789.0,0.0
769,developer,state,122002.42,33889.56,54.0,15.0,2259.3,0.0
