bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
10,developer,resident,3527.26,3527.26,6.0,6.0,587.9,0.7336
483,developer,resident,1115.72,1115.72,6.0,6.0,186.0,0.7139
241,developer,resident,91.15,91.15,6.0,6.0,15.2,0.6744
255,developer,resident,223.34,223.34,6.0,6.0,37.2,0.6744
381,developer,resident,17126.73,17126.73,12.0,12.0,1427.2,0.6744
384,developer,resident,10201.33,10201.33,12.0,12.0,850.1,0.6744
462,developer,resident,3887.09,3887.09,6.0,6.0,647.8,0.6744
485,developer,resident,12877.47,12877.47,12.0,12.0,1073.1,0.6744
486,developer,resident,3360.0,3360.0,12.0,12.0,280.0,0.6744
493,developer,resident,1777.31,1777.31,12.0,12.0,148.1,0.6744
246,developer,resident,5344.43,5344.43,12.0,12.0,445.4,0.6673
379,developer,resident,50616.64,50616.64,18.0,18.0,2812.0,0.6152
386,developer,resident,15457.81,15457.81,18.0,18.0,858.8,0.6152
796,developer,resident,1563.48,1563.48,18.0,18.0,86.9,0.6152
254,developer,resident,7970.7,7970.7,12.0,12.0,664.2,0.5559
465,developer,resident,1779.31,1779.31,12.0,12.0,148.3,0.5559
468,developer,resident,1968.9,1968.9,12.0,12.0,164.1,0.5559
770,developer,resident,9108.16,9108.16,24.0,24.0,379.5,0.5559
272,developer,resident,1985.6,1985.6,12.0,12.0,165.5,0.5417
446,developer,resident,48715.13,48715.13,24.0,24.0,2029.8,0.5345
471,developer,resident,27577.45,27577.45,30.0,30.0,919.2,0.4967
491,developer,resident,22715.54,22715.54,30.0,30.0,757.2,0.4967
683,developer,resident,7899.13,7899.13,30.0,30.0,263.3,0.4967
469,developer,resident,34327.96,34327.96,30.0,30.0,1144.3,0.4896
347,developer,resident,210.56,210.56,6.0,6.0,35.1,0.4408
385,developer,resident,1085.61,1085.61,6.0,6.0,180.9,0.4408
490,developer,resident,404.69,404.69,6.0,6.0,67.4,0.4408
261,developer,resident,13558.6,13558.6,18.0,18.0,753.3,0.4375
477,developer,resident,12813.49,12813.49,36.0,36.0,355.9,0.4375
785,developer,resident,28671.53,28671.53,36.0,36.0,796.4,0.4375
345,developer,resident,56640.67,56640.67,36.0,36.0,1573.4,0.4303
455,developer,resident,16770.47,16770.47,18.0,18.0,931.7,0.4303
461,developer,resident,240.74,240.74,6.0,6.0,40.1,0.421
253,developer,resident,444.81,444.81,6.0,6.0,74.1,0.3815
262,developer,resident,1502.36,1502.36,6.0,6.0,250.4,0.3815
340,developer,resident,626.31,626.31,6.0,6.0,104.4,0.3815
341,developer,resident,330.85,330.85,6.0,6.0,55.1,0.3815
343,developer,resident,2333.24,2333.24,12.0,12.0,194.4,0.3815
346,developer,resident,2152.79,2152.79,12.0,12.0,179.4,0.3815
456,developer,resident,350.08,350.08,6.0,6.0,58.3,0.3815
457,developer,resident,1262.65,1262.65,6.0,6.0,210.4,0.3815
460,developer,resident,878.8,878.8,12.0,12.0,73.2,0.3815
473,developer,resident,6259.59,6259.59,12.0,12.0,521.6,0.3815
476,developer,resident,7216.96,7216.96,12.0,12.0,601.4,0.3815
685,developer,resident,2359.81,2359.81,12.0,12.0,196.7,0.3815
788,developer,resident,2325.17,2325.17,12.0,12.0,193.8,0.3815
466,developer,resident,40487.4,40487.4,18.0,18.0,2249.3,0.3223
792,developer,resident,20554.58,20554.58,18.0,18.0,1141.9,0.3223
86,developer,resident,7101.56,7101.56,24.0,24.0,295.9,0.319
258,developer,resident,40514.69,40514.69,24.0,24.0,1688.1,0.319
382,developer,resident,88262.9,88262.9,48.0,48.0,1838.8,0.319
464,developer,resident,106998.43,106998.43,48.0,48.0,2229.1,0.319
492,developer,resident,46312.21,46312.21,48.0,48.0,964.8,0.319
771,developer,resident,130007.73,130007.73,48.0,48.0,2708.5,0.319
