bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
10,resident,developer,4138.99,22779.9,6.0,33.02,689.8,0.702
9,resident,developer,1810.32,8302.92,6.0,27.52,301.7,0.6838
20,resident,developer,446.22,2046.55,6.0,27.52,74.4,0.6838
185,resident,developer,608.77,2792.08,6.0,27.52,101.5,0.6838
278,resident,developer,676.65,3103.4,6.0,27.52,112.8,0.6838
371,resident,developer,2683.05,12305.64,6.0,27.52,447.2,0.6838
617,resident,developer,333.79,1530.92,6.0,27.52,55.6,0.6838
695,resident,developer,477.34,2189.3,6.0,27.52,79.6,0.6838
330,resident,developer,1999.51,9170.66,6.0,27.52,333.3,0.6767
87,resident,developer,5315.85,14628.52,12.0,33.02,443.0,0.6112
162,resident,developer,994.54,2736.83,12.0,33.02,82.9,0.6112
205,resident,developer,2991.01,8230.88,12.0,33.02,249.3,0.6112
341,resident,developer,16995.64,46769.76,12.0,33.02,1416.3,0.6112
183,resident,developer,2985.27,6845.88,12.0,27.52,248.8,0.5748
184,resident,developer,4481.06,10276.07,12.0,27.52,373.4,0.5748
186,resident,developer,5425.94,12442.89,12.0,27.52,452.2,0.5748
189,resident,developer,1766.25,4050.4,12.0,27.52,147.2,0.5748
191,resident,developer,2340.24,5366.68,12.0,27.52,195.0,0.5748
192,resident,developer,2089.59,4791.9,12.0,27.52,174.1,0.5748
203,resident,developer,2358.5,5408.57,12.0,27.52,196.5,0.5748
217,resident,developer,5872.84,13467.74,12.0,27.52,489.4,0.5748
219,resident,developer,7532.91,17274.65,12.0,27.52,627.7,0.5748
234,resident,developer,2881.34,6607.55,12.0,27.52,240.1,0.5748
236,resident,developer,4415.41,10125.51,12.0,27.52,368.0,0.5748
317,resident,developer,4928.32,11301.75,12.0,27.52,410.7,0.5748
392,resident,developer,2477.97,5682.53,12.0,27.52,206.5,0.5748
412,resident,developer,1594.7,3657.0,12.0,27.52,132.9,0.5748
420,resident,developer,3474.64,7968.13,12.0,27.52,289.6,0.5748
528,resident,developer,2825.95,6480.54,12.0,27.52,235.5,0.5748
640,resident,developer,4555.5,10446.78,12.0,27.52,379.6,0.5748
