bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
10,resident,developer,4138.99,4138.99,6.0,6.0,689.8,0.702
9,resident,developer,1810.32,1810.32,6.0,6.0,301.7,0.6838
20,resident,developer,446.22,446.22,6.0,6.0,74.4,0.6838
185,resident,developer,608.77,608.77,6.0,6.0,101.5,0.6838
278,resident,developer,676.65,676.65,6.0,6.0,112.8,0.6838
371,resident,developer,2683.05,2683.05,6.0,6.0,447.2,0.6838
617,resident,developer,333.79,333.79,6.0,6.0,55.6,0.6838
695,resident,developer,477.34,477.34,6.0,6.0,79.6,0.6838
330,resident,developer,1999.51,1999.51,6.0,6.0,333.3,0.6767
87,resident,developer,5315.85,5315.85,12.0,12.0,443.0,0.6112
162,resident,developer,994.54,994.54,12.0,12.0,82.9,0.6112
205,resident,developer,2991.01,2991.01,12.0,12.0,249.3,0.6112
341,resident,developer,16995.64,16995.64,12.0,12.0,1416.3,0.6112
183,resident,developer,2985.27,2985.27,12.0,12.0,248.8,0.5748
184,resident,developer,4481.06,4481.06,12.0,12.0,373.4,0.5748
186,resident,developer,5425.94,5425.94,12.0,12.0,452.2,0.5748
189,resident,developer,1766.25,1766.25,12.0,12.0,147.2,0.5748
191,resident,developer,2340.24,2340.24,12.0,12.0,195.0,0.5748
192,resident,developer,2089.59,2089.59,12.0,12.0,174.1,0.5748
203,resident,developer,2358.5,2358.5,12.0,12.0,196.5,0.5748
217,resident,developer,5872.84,5872.84,12.0,12.0,489.4,0.5748
219,resident,developer,7532.91,7532.91,12.0,12.0,627.7,0.5748
234,resident,developer,2881.34,2881.34,12.0,12.0,240.1,0.5748
236,resident,developer,4415.41,4415.41,12.0,12.0,368.0,0.5748
317,resident,developer,4928.32,4928.32,12.0,12.0,410.7,0.5748
392,resident,developer,2477.97,2477.97,12.0,12.0,206.5,0.5748
412,resident,developer,1594.7,1594.7,12.0,12.0,132.9,0.5748
420,resident,developer,3474.64,3474.64,12.0,12.0,289.6,0.5748
528,resident,developer,2825.95,2825.95,12.0,12.0,235.5,0.5748
640,resident,developer,4555.5,4555.5,12.0,12.0,379.6,0.5748
641,resident,developer,6468.36,6468.36,12.0,12.0,539.0,0.5748
671,resident,developer,10548.75,10548.75,12.0,12.0,879.1,0.5748
676,resident,developer,9891.67,9891.67,12.0,12.0,824.3,0.5748
679,resident,developer,3628.39,3628.39,12.0,12.0,302.4,0.5748
693,resident,developer,336.53,336.53,12.0,12.0,28.0,0.5748
699,resident,developer,4080.37,4080.37,12.0,12.0,340.0,0.5748
704,resident,developer,5806.2,5806.2,12.0,12.0,483.9,0.5748
714,resident,developer,5653.01,5653.01,12.0,12.0,471.1,0.5748
715,resident,developer,2655.54,2655.54,12.0,12.0,221.3,0.5748
718,resident,developer,2547.68,2547.68,12.0,12.0,212.3,0.5748
719,resident,developer,3588.25,3588.25,12.0,12.0,299.0,0.5748
727,resident,developer,3175.49,3175.49,12.0,12.0,264.6,0.5748
748,resident,developer,2743.3,2743.3,12.0,12.0,228.6,0.5748
749,resident,developer,2302.4,2302.4,12.0,12.0,191.9,0.5748
751,resident,developer,2364.77,2364.77,12.0,12.0,197.1,0.5748
766,resident,developer,1655.05,1655.05,12.0,12.0,137.9,0.5748
767,resident,developer,3763.85,3763.85,12.0,12.0,313.7,0.5748
775,resident,developer,2386.67,2386.67,12.0,12.0,198.9,0.5748
282,resident,developer,5296.22,5296.22,12.0,12.0,441.4,0.5677
346,resident,developer,3475.78,3475.78,12.0,12.0,289.6,0.5677
456,resident,developer,1210.71,1210.71,12.0,12.0,100.9,0.5677
613,resident,developer,4031.12,4031.12,12.0,12.0,335.9,0.5677
163,resident,developer,8358.75,8358.75,18.0,18.0,464.4,0.5203
212,resident,developer,2830.31,2830.31,18.0,18.0,157.2,0.5203
248,resident,developer,2608.43,2608.43,18.0,18.0,144.9,0.5203
251,resident,developer,2454.73,2454.73,18.0,18.0,136.4,0.5203
295,resident,developer,2457.44,2457.44,18.0,18.0,136.5,0.5203
466,resident,developer,2128.6,2128.6,18.0,18.0,118.3,0.5203
507,resident,developer,4817.61,4817.61,18.0,18.0,267.6,0.5203
783,resident,developer,2598.0,2598.0,18.0,18.0,144.3,0.5203
1,resident,developer,2885.53,2885.53,18.0,18.0,160.3,0.4658
4,resident,developer,2762.11,2762.11,18.0,18.0,153.5,0.4658
5,resident,developer,4575.14,4575.14,18.0,18.0,254.2,0.4658
6,resident,developer,5219.48,5219.48,18.0,18.0,290.0,0.4658
13,resident,developer,8821.25,8821.25,18.0,18.0,490.1,0.4658
15,resident,developer,19399.74,19399.74,18.0,18.0,1077.8,0.4658
25,resident,developer,8157.55,8157.55,18.0,18.0,453.2,0.4658
29,resident,developer,8248.22,8248.22,18.0,18.0,458.2,0.4658
37,resident,developer,25206.91,25206.91,18.0,18.0,1400.4,0.4658
