bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
112,developer,state,471713.57,471713.57,312.0,312.0,1511.9,0.0
151,developer,state,409162.41,409162.41,30.0,30.0,13638.7,0.1593
147,developer,state,382203.24,382203.24,180.0,180.0,2123.4,0.2929
629,developer,state,374792.36,374792.36,36.0,36.0,10410.9,0.384
666,developer,state,364832.63,364832.63,168.0,168.0,2171.6,0.2929
630,developer,state,315850.59,315850.59,150.0,150.0,2105.7,0.2929
121,developer,state,269716.92,269716.92,174.0,174.0,1550.1,0.2929
669,developer,state,247664.84,247664.84,120.0,120.0,2063.9,0.2929
135,developer,state,177919.77,177919.77,138.0,138.0,1289.3,0.2929
137,developer,state,174568.23,174568.23,144.0,144.0,1212.3,0.2929
115,developer,state,169948.17,169948.17,138.0,138.0,1231.5,0.2929
125,developer,state,157441.88,157441.88,12.0,12.0,13120.2,0.3637
