bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
112,developer,state,471713.57,45357.07,312.0,30.0,1511.9,0.0
151,developer,state,409162.41,409162.41,30.0,30.0,13638.7,0.1593
147,developer,state,382203.24,63700.54,180.0,30.0,2123.4,0.2929
629,developer,state,374792.36,312326.97,36.0,30.0,10410.9,0.384
666,developer,state,364832.63,65148.68,168.0,30.0,2171.6,0.2929
630,developer,state,315850.59,63170.12,150.0,30.0,2105.7,0.2929
121,developer,state,269716.92,46502.92,174.0,30.0,1550.1,0.2929
669,developer,state,247664.84,61916.21,120.0,30.0,2063.9,0.2929
135,developer,state,177919.77,38678.21,138.0,30.0,1289.3,0.2929
137,developer,state,174568.23,36368.38,144.0,30.0,1212.3,0.2929
115,developer,state,169948.17,36945.26,138.0,30.0,1231.5,0.2929
125,developer,state,157441.88,157441.88,12.0,12.0,13120.2,0.3637
276,developer,state,149613.22,32524.61,138.0,30.0,1084.2,0.2929
152,developer,state,149099.67,26624.94,168.0,30.0,887.5,0.2857
268,developer,state,145284.23,29056.85,150.0,30.0,968.6,0.2929
127,developer,state,138860.09,24796.44,168.0,30.0,826.5,0.0
438,developer,state,119979.43,23995.89,150.0,30.0,799.9,0.2929
274,developer,state,104494.3,19350.8,162.0,30.0,645.0,0.0
164,developer,state,101196.8,24094.48,126.0,30.0,803.1,0.2929
403,developer,state,92476.21,92476.21,30.0,30.0,3082.5,0.1593
120,developer,state,88024.51,88024.51,24.0,24.0,3667.7,0.2275
103,developer,state,87786.5,19084.02,138.0,30.0,636.1,0.2929
106,developer,state,86944.51,18900.98,138.0,30.0,630.0,0.2929
63,developer,state,86572.66,61837.62,42.0,30.0,2061.3,0.3159
144,developer,state,86546.16,18814.38,138.0,30.0,627.1,0.2929
145,developer,state,86042.09,18704.8,138.0,30.0,623.5,0.2929
391,developer,state,84253.62,16850.72,150.0,30.0,561.7,0.2857
175,developer,state,83794.48,23276.24,108.0,30.0,775.9,0.2929
373,developer,state,82469.42,24255.71,102.0,30.0,808.5,0.2929
146,developer,state,82405.84,82405.84,24.0,24.0,3433.6,0.2275
477,developer,state,81863.95,20465.99,120.0,30.0,682.2,0.2929
474,developer,state,81353.7,20338.43,120.0,30.0,677.9,0.2929
149,developer,state,79862.22,17361.35,138.0,30.0,578.7,0.2929
272,developer,state,77698.61,16187.21,144.0,30.0,539.6,0.2929
107,developer,state,76527.71,19131.93,120.0,30.0,637.7,0.2929
435,developer,state,72276.33,14455.27,150.0,30.0,481.8,0.2929
568,developer,state,70691.13,44181.96,48.0,30.0,1472.7,0.2929
105,developer,state,70063.49,15231.19,138.0,30.0,507.7,0.2929
148,developer,state,67628.97,67628.97,24.0,24.0,2817.9,0.2275
