bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
114,developer,state,605.29,605.29,6.0,6.0,100.9,0.7247
582,developer,state,2651.08,2651.08,6.0,6.0,441.8,0.7247
130,developer,state,3561.48,3561.48,12.0,12.0,296.8,0.6566
141,developer,state,2026.06,2026.06,12.0,12.0,168.8,0.6566
154,developer,state,3791.77,3791.77,12.0,12.0,316.0,0.6566
156,developer,state,3005.62,3005.62,12.0,12.0,250.5,0.6566
170,developer,state,25507.81,25507.81,12.0,12.0,2125.7,0.6566
375,developer,state,1987.77,1987.77,12.0,12.0,165.6,0.6566
550,developer,state,5084.49,5084.49,12.0,12.0,423.7,0.6566
628,developer,state,2256.65,2256.65,12.0,12.0,188.1,0.6566
667,developer,state,16758.26,16758.26,12.0,12.0,1396.5,0.6566
670,developer,state,26738.06,26738.06,12.0,12.0,2228.2,0.6566
33,developer,state,15127.1,15127.1,18.0,18.0,840.4,0.5885
34,developer,state,8223.71,8223.71,18.0,18.0,456.9,0.5885
42,developer,state,7779.81,7779.81,18.0,18.0,432.2,0.5885
66,developer,state,6348.33,6348.33,18.0,18.0,352.7,0.5885
101,developer,state,12204.46,12204.46,18.0,18.0,678.0,0.5885
122,developer,state,11764.9,11764.9,18.0,18.0,653.6,0.5885
131,developer,state,3471.82,3471.82,18.0,18.0,192.9,0.5885
155,developer,state,5536.91,5536.91,18.0,18.0,307.6,0.5885
158,developer,state,4952.52,4952.52,18.0,18.0,275.1,0.5885
159,developer,state,4546.85,4546.85,18.0,18.0,252.6,0.5885
374,developer,state,6495.74,6495.74,18.0,18.0,360.9,0.5885
376,developer,state,5743.73,5743.73,18.0,18.0,319.1,0.5885
378,developer,state,16066.05,16066.05,18.0,18.0,892.6,0.5885
379,developer,state,5368.16,5368.16,18.0,18.0,298.2,0.5885
546,developer,state,12444.15,12444.15,18.0,18.0,691.3,0.5885
558,developer,state,11217.1,11217.1,18.0,18.0,623.2,0.5885
561,developer,state,13459.56,13459.56,18.0,18.0,747.8,0.5885
563,developer,state,2935.42,2935.42,18.0,18.0,163.1,0.5885
188,developer,state,59484.02,59484.02,18.0,18.0,3304.7,0.5813
68,developer,state,3784.21,3784.21,24.0,24.0,157.7,0.5203
102,developer,state,26602.98,26602.98,24.0,24.0,1108.5,0.5203
111,developer,state,64686.76,64686.76,24.0,24.0,2695.3,0.5203
548,developer,state,18468.53,18468.53,24.0,24.0,769.5,0.5203
549,developer,state,13801.15,13801.15,24.0,24.0,575.0,0.5203
564,developer,state,11797.01,11797.01,24.0,24.0,491.5,0.5203
64,developer,state,8080.27,8080.27,30.0,30.0,269.3,0.4522
143,developer,state,13663.09,13663.09,30.0,30.0,455.4,0.4522
171,developer,state,17200.72,17200.72,30.0,30.0,573.4,0.4522
397,developer,state,18528.55,18528.55,30.0,30.0,617.6,0.4522
399,developer,state,29723.71,29723.71,30.0,30.0,990.8,0.4522
402,developer,state,29595.39,29595.39,30.0,30.0,986.5,0.4522
434,developer,state,23154.28,23154.28,30.0,30.0,771.8,0.4522
530,developer,state,22427.33,22427.33,30.0,30.0,747.6,0.4522
547,developer,state,43517.57,43517.57,30.0,30.0,1450.6,0.4522
567,developer,state,10419.82,10419.82,30.0,30.0,347.3,0.4522
82,developer,state,39071.28,39071.28,24.0,24.0,1628.0,0.4489
166,developer,state,17004.16,17004.16,30.0,30.0,566.8,0.445
119,developer,state,298.95,298.95,6.0,6.0,49.8,0.4319
142,developer,state,691.09,691.09,6.0,6.0,115.2,0.4319
187,developer,state,949.88,949.88,6.0,6.0,158.3,0.4319
559,developer,state,570.62,570.62,6.0,6.0,95.1,0.4319
560,developer,state,438.99,438.99,6.0,6.0,73.2,0.4319
631,developer,state,282.53,282.53,6.0,6.0,47.1,0.4319
