bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
114,developer,state,605.29,3026.45,6.0,30.0,100.9,0.7247
582,developer,state,2651.08,13255.42,6.0,30.0,441.8,0.7247
130,developer,state,3561.48,8903.7,12.0,30.0,296.8,0.6566
141,developer,state,2026.06,5065.14,12.0,30.0,168.8,0.6566
154,developer,state,3791.77,9479.43,12.0,30.0,316.0,0.6566
156,developer,state,3005.62,7514.04,12.0,30.0,250.5,0.6566
170,developer,state,25507.81,31884.77,12.0,15.0,2125.7,0.6566
375,developer,state,1987.77,4969.43,12.0,30.0,165.6,0.6566
550,developer,state,5084.49,12711.22,12.0,30.0,423.7,0.6566
628,developer,state,2256.65,5641.63,12.0,30.0,188.1,0.6566
667,developer,state,16758.26,41895.66,12.0,30.0,1396.5,0.6566
670,developer,state,26738.06,33422.58,12.0,15.0,2228.2,0.6566
33,developer,state,15127.1,25211.84,18.0,30.0,840.4,0.5885
34,developer,state,8223.71,13706.19,18.0,30.0,456.9,0.5885
42,developer,state,7779.81,12966.35,18.0,30.0,432.2,0.5885
66,developer,state,6348.33,10580.54,18.0,30.0,352.7,0.5885
101,developer,state,12204.46,20340.77,18.0,30.0,678.0,0.5885
122,developer,state,11764.9,19608.16,18.0,30.0,653.6,0.5885
131,developer,state,3471.82,5786.37,18.0,30.0,192.9,0.5885
155,developer,state,5536.91,9228.19,18.0,30.0,307.6,0.5885
158,developer,state,4952.52,8254.2,18.0,30.0,275.1,0.5885
159,developer,state,4546.85,7578.09,18.0,30.0,252.6,0.5885
374,developer,state,6495.74,10826.24,18.0,30.0,360.9,0.5885
376,developer,state,5743.73,9572.88,18.0,30.0,319.1,0.5885
378,developer,state,16066.05,26776.75,18.0,30.0,892.6,0.5885
379,developer,state,5368.16,8946.94,18.0,30.0,298.2,0.5885
546,developer,state,12444.15,20740.25,18.0,30.0,691.3,0.5885
558,developer,state,11217.1,18695.17,18.0,30.0,623.2,0.5885
561,developer,state,13459.56,22432.6,18.0,30.0,747.8,0.5885
563,developer,state,2935.42,4892.37,18.0,30.0,163.1,0.5885
188,developer,state,59484.02,49570.01,18.0,15.0,3304.7,0.5813
68,developer,state,3784.21,4730.26,24.0,30.0,157.7,0.5203
102,developer,state,26602.98,33253.73,24.0,30.0,1108.5,0.5203
111,developer,state,64686.76,40429.22,24.0,15.0,2695.3,0.5203
548,developer,state,18468.53,23085.66,24.0,30.0,769.5,0.5203
549,developer,state,13801.15,17251.44,24.0,30.0,575.0,0.5203
564,developer,state,11797.01,14746.27,24.0,30.0,491.5,0.5203
64,developer,state,8080.27,8080.27,30.0,30.0,269.3,0.4522
143,developer,state,13663.09,13663.09,30.0,30.0,455.4,0.4522
171,developer,state,17200.72,17200.72,30.0,30.0,573.4,0.4522
397,developer,state,18528.55,18528.55,30.0,30.0,617.6,0.4522
399,developer,state,29723.71,29723.71,30.0,30.0,990.8,0.4522
402,developer,state,29595.39,29595.39,30.0,30.0,986.5,0.4522
434,developer,state,23154.28,23154.28,30.0,30.0,771.8,0.4522
530,developer,state,22427.33,22427.33,30.0,30.0,747.6,0.4522
547,developer,state,43517.57,43517.57,30.0,30.0,1450.6,0.4522
567,developer,state,10419.82,10419.82,30.0,30.0,347.3,0.4522
82,developer,state,39071.28,48839.1,24.0,30.0,1628.0,0.4489
166,developer,state,17004.16,17004.16,30.0,30.0,566.8,0.445
119,developer,state,298.95,1494.76,6.0,30.0,49.8,0.4319
142,developer,state,691.09,3455.44,6.0,30.0,115.2,0.4319
187,developer,state,949.88,4749.42,6.0,30.0,158.3,0.4319
559,developer,state,570.62,2853.11,6.0,30.0,95.1,0.4319
560,developer,state,438.99,2194.95,6.0,30.0,73.2,0.4319
631,developer,state,282.53,1412.67,6.0,30.0,47.1,0.4319
662,developer,state,6664.73,33323.64,6.0,30.0,1110.8,0.4319
668,developer,state,13403.35,33508.37,6.0,15.0,2233.9,0.4319
32,developer,state,27001.69,22501.41,36.0,30.0,750.0,0.384
39,developer,state,19135.85,15946.54,36.0,30.0,531.6,0.384
41,developer,state,7976.57,6647.14,36.0,30.0,221.6,0.384
43,developer,state,7691.75,6409.79,36.0,30.0,213.7,0.384
44,developer,state,15202.15,12668.46,36.0,30.0,422.3,0.384
118,developer,state,61114.93,50929.11,36.0,30.0,1697.6,0.384
