bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
306,developer,resident,1325.06,1325.06,6.0,6.0,220.8,0.7063
138,developer,resident,4363.95,4363.95,12.0,12.0,363.7,0.6341
303,developer,resident,10929.76,10929.76,12.0,12.0,910.8,0.6341
205,developer,resident,2800.2,2800.2,12.0,12.0,233.3,0.6198
207,developer,resident,2823.99,2823.99,12.0,12.0,235.3,0.6198
66,developer,resident,4942.44,4942.44,12.0,12.0,411.9,0.5812
17,developer,resident,14910.91,14910.91,18.0,18.0,828.4,0.5547
21,developer,resident,167.34,167.34,18.0,18.0,9.3,0.5547
22,developer,resident,351.15,351.15,18.0,18.0,19.5,0.5547
23,developer,resident,175.56,175.56,18.0,18.0,9.8,0.5547
28,developer,resident,299.09,299.09,18.0,18.0,16.6,0.5547
210,developer,resident,4924.24,4924.24,18.0,18.0,273.6,0.5547
386,developer,resident,4204.77,4204.77,12.0,12.0,350.4,0.5454
136,developer,resident,13476.47,13476.47,24.0,24.0,561.5,0.4753
196,developer,resident,82124.99,82124.99,24.0,24.0,3421.9,0.4753
379,developer,resident,30661.31,30661.31,18.0,18.0,1703.4,0.4396
384,developer,resident,14002.83,14002.83,18.0,18.0,777.9,0.4396
302,developer,resident,2798.27,2798.27,6.0,6.0,466.4,0.4206
304,developer,resident,4568.69,4568.69,6.0,6.0,761.4,0.4206
308,developer,resident,8824.47,8824.47,6.0,6.0,1470.7,0.4206
119,developer,resident,23920.47,23920.47,30.0,30.0,797.3,0.3959
135,developer,resident,19030.83,19030.83,30.0,30.0,634.4,0.3959
503,developer,resident,9704.12,9704.12,30.0,30.0,323.5,0.3959
546,developer,resident,21209.68,21209.68,30.0,30.0,707.0,0.3959
120,developer,resident,2515.09,2515.09,12.0,12.0,209.6,0.3412
189,developer,resident,1788.51,1788.51,12.0,12.0,149.0,0.3412
199,developer,resident,14573.13,14573.13,12.0,12.0,1214.4,0.3412
200,developer,resident,12711.45,12711.45,12.0,12.0,1059.3,0.3412
203,developer,resident,2531.36,2531.36,12.0,12.0,210.9,0.3412
208,developer,resident,2714.37,2714.37,12.0,12.0,226.2,0.3412
311,developer,resident,13859.55,13859.55,12.0,12.0,1155.0,0.3412
312,developer,resident,1474.28,1474.28,12.0,12.0,122.9,0.3412
98,developer,resident,77377.0,77377.0,36.0,36.0,2149.4,0.3165
450,developer,resident,22356.02,22356.02,36.0,36.0,621.0,0.3165
2,developer,resident,56256.86,56256.86,54.0,54.0,1041.8,0.2929
14,developer,resident,132811.58,132811.58,90.0,90.0,1475.7,0.2929
18,developer,resident,81676.44,81676.44,96.0,96.0,850.8,0.2929
20,developer,resident,82275.05,82275.05,96.0,96.0,857.0,0.2929
121,developer,resident,59789.11,59789.11,78.0,78.0,766.5,0.2929
143,developer,resident,52839.68,52839.68,84.0,84.0,629.0,0.2929
145,developer,resident,74822.09,74822.09,72.0,72.0,1039.2,0.2929
175,developer,resident,180770.29,180770.29,150.0,150.0,1205.1,0.2929
178,developer,resident,118271.36,118271.36,138.0,138.0,857.0,0.2929
181,developer,resident,128753.71,128753.71,150.0,150.0,858.4,0.2929
182,developer,resident,108193.88,108193.88,138.0,138.0,784.0,0.2929
184,developer,resident,27388.06,27388.06,60.0,60.0,456.5,0.2929
185,developer,resident,121202.63,121202.63,120.0,120.0,1010.0,0.2929
186,developer,resident,149436.84,149436.84,120.0,120.0,1245.3,0.2929
192,developer,resident,119377.69,119377.69,120.0,120.0,994.8,0.2929
193,developer,resident,80775.26,80775.26,72.0,72.0,1121.9,0.2929
197,developer,resident,23506.11,23506.11,72.0,72.0,326.5,0.2929
198,developer,resident,37731.43,37731.43,120.0,120.0,314.4,0.2929
234,developer,resident,141634.52,141634.52,120.0,120.0,1180.3,0.2929
501,developer,resident,62959.11,62959.11,90.0,90.0,699.5,0.2929
502,developer,resident,38469.28,38469.28,60.0,60.0,641.2,0.2929
545,developer,resident,74246.16,74246.16,90.0,90.0,825.0,0.2929
547,developer,resident,102342.38,102342.38,120.0,120.0,852.9,0.2929
493,developer,resident,106867.98,106867.98,78.0,78.0,1370.1,0.2857
