bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
306,developer,resident,1325.06,1325.06,6.0,6.0,220.8,0.7063
138,developer,resident,4363.95,4363.95,12.0,12.0,363.7,0.6341
303,developer,resident,10929.76,10929.76,12.0,12.0,910.8,0.6341
205,developer,resident,2800.2,2800.2,12.0,12.0,233.3,0.6198
207,developer,resident,2823.99,2823.99,12.0,12.0,235.3,0.6198
66,developer,resident,4942.44,4942.44,12.0,12.0,411.9,0.5812
17,developer,resident,14910.91,14910.91,18.0,18.0,828.4,0.5547
21,developer,resident,167.34,167.34,18.0,18.0,9.3,0.5547
22,developer,resident,351.15,351.15,18.0,18.0,19.5,0.5547
23,developer,resident,175.56,175.56,18.0,18.0,9.8,0.5547
28,developer,resident,299.09,299.09,18.0,18.0,16.6,0.5547
210,developer,resident,4924.24,4924.24,18.0,18.0,273.6,0.5547
386,developer,resident,4204.77,4204.77,12.0,12.0,350.4,0.5454
136,developer,resident,13476.47,11791.91,24.0,21.0,561.5,0.4753
196,developer,resident,82124.99,71859.37,24.0,21.0,3421.9,0.4753
379,developer,resident,30661.31,30661.31,18.0,18.0,1703.4,0.4396
384,developer,resident,14002.83,14002.83,18.0,18.0,777.9,0.4396
302,developer,resident,2798.27,2798.27,6.0,6.0,466.4,0.4206
304,developer,resident,4568.69,4568.69,6.0,6.0,761.4,0.4206
308,developer,resident,8824.47,8824.47,6.0,6.0,1470.7,0.4206
119,developer,resident,23920.47,16744.33,30.0,21.0,797.3,0.3959
135,developer,resident,19030.83,13321.58,30.0,21.0,634.4,0.3959
503,developer,resident,9704.12,6792.88,30.0,21.0,323.5,0.3959
546,developer,resident,21209.68,14846.77,30.0,21.0,707.0,0.3959
120,developer,resident,2515.09,2515.09,12.0,12.0,209.6,0.3412
189,developer,resident,1788.51,1788.51,12.0,12.0,149.0,0.3412
199,developer,resident,14573.13,14573.13,12.0,12.0,1214.4,0.3412
200,developer,resident,12711.45,12711.45,12.0,12.0,1059.3,0.3412
203,developer,resident,2531.36,2531.36,12.0,12.0,210.9,0.3412
208,developer,resident,2714.37,2714.37,12.0,12.0,226.2,0.3412
311,developer,resident,13859.55,13859.55,12.0,12.0,1155.0,0.3412
312,developer,resident,1474.28,1474.28,12.0,12.0,122.9,0.3412
98,developer,resident,77377.0,45136.58,36.0,21.0,2149.4,0.3165
450,developer,resident,22356.02,13041.01,36.0,21.0,621.0,0.3165
2,developer,resident,56256.86,21877.67,54.0,21.0,1041.8,0.2929
14,developer,resident,132811.58,30989.37,90.0,21.0,1475.7,0.2929
18,developer,resident,81676.44,17866.72,96.0,21.0,850.8,0.2929
20,developer,resident,82275.05,17997.67,96.0,21.0,857.0,0.2929
121,developer,resident,59789.11,16097.07,78.0,21.0,766.5,0.2929
143,developer,resident,52839.68,13209.92,84.0,21.0,629.0,0.2929
145,developer,resident,74822.09,21823.11,72.0,21.0,1039.2,0.2929
175,developer,resident,180770.29,25307.84,150.0,21.0,1205.1,0.2929
178,developer,resident,118271.36,17997.82,138.0,21.0,857.0,0.2929
181,developer,resident,128753.71,18025.52,150.0,21.0,858.4,0.2929
182,developer,resident,108193.88,16464.29,138.0,21.0,784.0,0.2929
184,developer,resident,27388.06,9585.82,60.0,21.0,456.5,0.2929
185,developer,resident,121202.63,21210.46,120.0,21.0,1010.0,0.2929
186,developer,resident,149436.84,26151.45,120.0,21.0,1245.3,0.2929
192,developer,resident,119377.69,20891.1,120.0,21.0,994.8,0.2929
193,developer,resident,80775.26,23559.45,72.0,21.0,1121.9,0.2929
197,developer,resident,23506.11,6855.95,72.0,21.0,326.5,0.2929
198,developer,resident,37731.43,6603.0,120.0,21.0,314.4,0.2929
234,developer,resident,141634.52,24786.04,120.0,21.0,1180.3,0.2929
501,developer,resident,62959.11,14690.46,90.0,21.0,699.5,0.2929
502,developer,resident,38469.28,13464.25,60.0,21.0,641.2,0.2929
545,developer,resident,74246.16,17324.1,90.0,21.0,825.0,0.2929
547,developer,resident,102342.38,17909.92,120.0,21.0,852.9,0.2929
493,developer,resident,106867.98,28772.15,78.0,21.0,1370.1,0.2857
494,developer,resident,64988.47,28432.46,48.0,21.0,1353.9,0.2857
0,developer,resident,20590.28,20590.28,18.0,18.0,1143.9,0.2618
103,developer,resident,3283.9,3283.9,18.0,18.0,182.4,0.2618
133,developer,resident,2219.42,2219.42,18.0,18.0,123.3,0.2618
144,developer,resident,12313.14,12313.14,18.0,18.0,684.1,0.2618
180,developer,resident,14460.87,14460.87,18.0,18.0,803.4,0.2618
194,developer,resident,6167.4,6167.4,18.0,18.0,342.6,0.2618
549,developer,resident,2447.35,2447.35,18.0,18.0,136.0,0.2618
183,developer,resident,67098.94,58711.57,24.0,21.0,2795.8,0.1824
188,developer,resident,24364.6,17055.22,30.0,21.0,812.2,0.1031
279,developer,resident,60986.41,42690.48,30.0,21.0,2032.9,0.1031
495,developer,resident,19874.72,13912.3,30.0,21.0,662.5,0.1031
496,developer,resident,27278.28,19094.8,30.0,21.0,909.3,0.1031
65,developer,resident,65528.67,11467.52,120.0,21.0,546.1,0.0
106,developer,resident,135592.89,26365.28,108.0,21.0,1255.5,0.0
