bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
195,developer,state,253883.68,253883.68,198.0,198.0,1282.2,0.0
175,developer,state,180770.29,180770.29,150.0,150.0,1205.1,0.2929
186,developer,state,149436.84,149436.84,120.0,120.0,1245.3,0.2929
234,developer,state,141634.52,141634.52,120.0,120.0,1180.3,0.2929
106,developer,state,135592.89,135592.89,108.0,108.0,1255.5,0.0
14,developer,state,132811.58,132811.58,90.0,90.0,1475.7,0.2929
181,developer,state,128753.71,128753.71,150.0,150.0,858.4,0.2929
309,developer,state,124920.76,124920.76,150.0,150.0,832.8,0.0
185,developer,state,121202.63,121202.63,120.0,120.0,1010.0,0.2929
187,developer,state,119610.76,119610.76,120.0,120.0,996.8,0.0
192,developer,state,119377.69,119377.69,120.0,120.0,994.8,0.2929
178,developer,state,118271.36,118271.36,138.0,138.0,857.0,0.2929
182,developer,state,108193.88,108193.88,138.0,138.0,784.0,0.2929
493,developer,state,106867.98,106867.98,78.0,78.0,1370.1,0.2857
305,developer,state,104801.71,104801.71,150.0,150.0,698.7,0.0
547,developer,state,102342.38,102342.38,120.0,120.0,852.9,0.2929
449,developer,state,101573.91,101573.91,120.0,120.0,846.4,0.0
122,developer,state,100665.93,100665.93,90.0,90.0,1118.5,0.0
201,developer,state,99813.92,99813.92,150.0,150.0,665.4,0.0
20,developer,state,82275.05,82275.05,96.0,96.0,857.0,0.2929
