bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
195,developer,state,253883.68,38467.22,198.0,30.0,1282.2,0.0
175,developer,state,180770.29,36154.06,150.0,30.0,1205.1,0.2929
186,developer,state,149436.84,37359.21,120.0,30.0,1245.3,0.2929
234,developer,state,141634.52,35408.63,120.0,30.0,1180.3,0.2929
106,developer,state,135592.89,37664.69,108.0,30.0,1255.5,0.0
14,developer,state,132811.58,44270.53,90.0,30.0,1475.7,0.2929
181,developer,state,128753.71,25750.74,150.0,30.0,858.4,0.2929
309,developer,state,124920.76,24984.15,150.0,30.0,832.8,0.0
185,developer,state,121202.63,30300.66,120.0,30.0,1010.0,0.2929
187,developer,state,119610.76,29902.69,120.0,30.0,996.8,0.0
192,developer,state,119377.69,29844.42,120.0,30.0,994.8,0.2929
178,developer,state,118271.36,25711.16,138.0,30.0,857.0,0.2929
182,developer,state,108193.88,23520.41,138.0,30.0,784.0,0.2929
493,developer,state,106867.98,41103.07,78.0,30.0,1370.1,0.2857
305,developer,state,104801.71,20960.34,150.0,30.0,698.7,0.0
547,developer,state,102342.38,25585.6,120.0,30.0,852.9,0.2929
449,developer,state,101573.91,25393.48,120.0,30.0,846.4,0.0
122,developer,state,100665.93,33555.31,90.0,30.0,1118.5,0.0
201,developer,state,99813.92,19962.78,150.0,30.0,665.4,0.0
20,developer,state,82275.05,25710.95,96.0,30.0,857.0,0.2929
196,developer,state,82124.99,82124.99,24.0,24.0,3421.9,0.4753
18,developer,state,81676.44,25523.89,96.0,30.0,850.8,0.2929
193,developer,state,80775.26,33656.36,72.0,30.0,1121.9,0.2929
98,developer,state,77377.0,64480.83,36.0,30.0,2149.4,0.3165
145,developer,state,74822.09,31175.87,72.0,30.0,1039.2,0.2929
545,developer,state,74246.16,24748.72,90.0,30.0,825.0,0.2929
183,developer,state,67098.94,67098.94,24.0,24.0,2795.8,0.1824
65,developer,state,65528.67,16382.17,120.0,30.0,546.1,0.0
494,developer,state,64988.47,40617.8,48.0,30.0,1353.9,0.2857
501,developer,state,62959.11,20986.37,90.0,30.0,699.5,0.2929
279,developer,state,60986.41,60986.41,30.0,30.0,2032.9,0.1031
121,developer,state,59789.11,22995.81,78.0,30.0,766.5,0.2929
310,developer,state,58250.75,11650.15,150.0,30.0,388.3,0.0
2,developer,state,56256.86,31253.81,54.0,30.0,1041.8,0.2929
143,developer,state,52839.68,18871.31,84.0,30.0,629.0,0.2929
307,developer,state,50227.41,10045.48,150.0,30.0,334.8,0.0
502,developer,state,38469.28,19234.64,60.0,30.0,641.2,0.2929
198,developer,state,37731.43,9432.86,120.0,30.0,314.4,0.2929
379,developer,state,30661.31,30661.31,18.0,18.0,1703.4,0.4396
191,developer,state,28189.18,20135.13,42.0,30.0,671.2,0.0
184,developer,state,27388.06,13694.03,60.0,30.0,456.5,0.2929
496,developer,state,27278.28,27278.28,30.0,30.0,909.3,0.1031
188,developer,state,24364.6,24364.6,30.0,30.0,812.2,0.1031
119,developer,state,23920.47,23920.47,30.0,30.0,797.3,0.3959
197,developer,state,23506.11,9794.21,72.0,30.0,326.5,0.2929
450,developer,state,22356.02,18630.01,36.0,30.0,621.0,0.3165
