bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
42,resident,developer,1849.78,1849.78,6.0,6.0,308.3,0.7314
43,resident,developer,442.52,442.52,6.0,6.0,73.8,0.7314
105,resident,developer,565.89,565.89,6.0,6.0,94.3,0.7314
107,resident,developer,698.52,698.52,6.0,6.0,116.4,0.7314
156,resident,developer,3202.31,3202.31,6.0,6.0,533.7,0.7314
206,resident,developer,1859.91,1859.91,6.0,6.0,310.0,0.7314
1420,resident,developer,222.2,222.2,6.0,6.0,37.0,0.7314
1631,resident,developer,1024.14,1024.14,6.0,6.0,170.7,0.7314
1540,resident,developer,2593.42,2593.42,12.0,12.0,216.1,0.6904
33,resident,developer,2794.52,2794.52,12.0,12.0,232.9,0.6699
36,resident,developer,874.12,874.12,12.0,12.0,72.8,0.6699
44,resident,developer,2573.11,2573.11,12.0,12.0,214.4,0.6699
56,resident,developer,1342.24,1342.24,12.0,12.0,111.9,0.6699
149,resident,developer,3818.54,3818.54,12.0,12.0,318.2,0.6699
188,resident,developer,11989.31,11989.31,12.0,12.0,999.1,0.6699
443,resident,developer,4537.5,4537.5,12.0,12.0,378.1,0.6699
520,resident,developer,6254.15,6254.15,12.0,12.0,521.2,0.6699
523,resident,developer,6937.97,6937.97,12.0,12.0,578.2,0.6699
786,resident,developer,3063.52,3063.52,12.0,12.0,255.3,0.6699
813,resident,developer,4283.4,4283.4,12.0,12.0,357.0,0.6699
879,resident,developer,3374.26,3374.26,12.0,12.0,281.2,0.6699
881,resident,developer,30984.3,30984.3,12.0,12.0,2582.0,0.6699
917,resident,developer,2483.59,2483.59,12.0,12.0,207.0,0.6699
1234,resident,developer,6480.87,6480.87,12.0,12.0,540.1,0.6699
1235,resident,developer,1903.62,1903.62,12.0,12.0,158.6,0.6699
1250,resident,developer,6901.54,6901.54,12.0,12.0,575.1,0.6699
1254,resident,developer,2562.03,2562.03,12.0,12.0,213.5,0.6699
1271,resident,developer,2982.68,2982.68,12.0,12.0,248.6,0.6699
1273,resident,developer,1901.77,1901.77,12.0,12.0,158.5,0.6699
1348,resident,developer,1042.28,1042.28,12.0,12.0,86.9,0.6699
1370,resident,developer,5028.25,5028.25,12.0,12.0,419.0,0.6699
1389,resident,developer,3713.53,3713.53,12.0,12.0,309.5,0.6699
1392,resident,developer,5134.5,5134.5,12.0,12.0,427.9,0.6699
1412,resident,developer,5084.44,5084.44,12.0,12.0,423.7,0.6699
1415,resident,developer,4908.75,4908.75,12.0,12.0,409.1,0.6699
1500,resident,developer,2381.15,2381.15,12.0,12.0,198.4,0.6699
1507,resident,developer,6715.73,6715.73,12.0,12.0,559.6,0.6699
1598,resident,developer,2269.52,2269.52,12.0,12.0,189.1,0.6699
1616,resident,developer,5175.4,5175.4,12.0,12.0,431.3,0.6699
1625,resident,developer,2249.41,2249.41,12.0,12.0,187.5,0.6699
1649,resident,developer,5085.6,5085.6,12.0,12.0,423.8,0.6699
1787,resident,developer,2213.03,2213.03,12.0,12.0,184.4,0.669
35,resident,developer,1393.31,1393.31,12.0,12.0,116.1,0.6628
158,resident,developer,3818.38,3818.38,12.0,12.0,318.2,0.6628
160,resident,developer,10466.23,10466.23,12.0,12.0,872.2,0.6628
161,resident,developer,2172.65,2172.65,12.0,12.0,181.1,0.6628
761,resident,developer,1625.92,1625.92,12.0,12.0,135.5,0.6628
723,resident,developer,8373.4,8373.4,12.0,12.0,697.8,0.6547
335,resident,developer,1433.75,1433.75,12.0,12.0,119.5,0.6485
401,resident,developer,1291.02,1291.02,12.0,12.0,107.6,0.6485
88,resident,developer,19250.55,19250.55,12.0,12.0,1604.2,0.6413
163,resident,developer,10232.37,10232.37,18.0,18.0,568.5,0.6392
75,resident,developer,1457.53,1457.53,12.0,12.0,121.5,0.6342
763,resident,developer,519.41,519.41,12.0,12.0,43.3,0.6342
151,resident,developer,10508.82,10508.82,18.0,18.0,583.8,0.6084
178,resident,developer,5146.38,5146.38,18.0,18.0,285.9,0.6084
179,resident,developer,8701.19,8701.19,18.0,18.0,483.4,0.6084
207,resident,developer,10632.65,10632.65,18.0,18.0,590.7,0.6084
225,resident,developer,13043.54,13043.54,18.0,18.0,724.6,0.6084
315,resident,developer,1552.36,1552.36,18.0,18.0,86.2,0.6084
374,resident,developer,12976.48,12976.48,18.0,18.0,720.9,0.6084
388,resident,developer,5076.97,5076.97,18.0,18.0,282.1,0.6084
538,resident,developer,33255.18,33255.18,18.0,18.0,1847.5,0.6084
550,resident,developer,11416.82,11416.82,18.0,18.0,634.3,0.6084
568,resident,developer,11152.58,11152.58,18.0,18.0,619.6,0.6084
650,resident,developer,46386.69,46386.69,18.0,18.0,2577.0,0.6084
668,resident,developer,12365.58,12365.58,18.0,18.0,687.0,0.6084
864,resident,developer,3659.52,3659.52,18.0,18.0,203.3,0.6084
877,resident,developer,2422.53,2422.53,18.0,18.0,134.6,0.6084
892,resident,developer,3670.83,3670.83,18.0,18.0,203.9,0.6084
903,resident,developer,3034.07,3034.07,18.0,18.0,168.6,0.6084
916,resident,developer,2913.52,2913.52,18.0,18.0,161.9,0.6084
918,resident,developer,3061.44,3061.44,18.0,18.0,170.1,0.6084
919,resident,developer,15869.93,15869.93,18.0,18.0,881.7,0.6084
922,resident,developer,5919.63,5919.63,18.0,18.0,328.9,0.6084
931,resident,developer,6328.89,6328.89,18.0,18.0,351.6,0.6084
1050,resident,developer,10173.28,10173.28,18.0,18.0,565.2,0.6084
1053,resident,developer,6826.76,6826.76,18.0,18.0,379.3,0.6084
1105,resident,developer,14298.99,14298.99,18.0,18.0,794.4,0.6084
1164,resident,developer,20305.33,20305.33,18.0,18.0,1128.1,0.6084
1274,resident,developer,8531.14,8531.14,18.0,18.0,474.0,0.6084
1382,resident,developer,15694.68,15694.68,18.0,18.0,871.9,0.6084
1435,resident,developer,5678.28,5678.28,18.0,18.0,315.5,0.6084
1436,resident,developer,39744.42,39744.42,18.0,18.0,2208.0,0.6084
1442,resident,developer,3582.51,3582.51,18.0,18.0,199.0,0.6084
1445,resident,developer,3780.27,3780.27,18.0,18.0,210.0,0.6084
1459,resident,developer,5898.25,5898.25,18.0,18.0,327.7,0.6084
1470,resident,developer,19350.69,19350.69,18.0,18.0,1075.0,0.6084
1509,resident,developer,12433.08,12433.08,18.0,18.0,690.7,0.6084
1610,resident,developer,7889.32,7889.32,18.0,18.0,438.3,0.6084
1613,resident,developer,7770.95,7770.95,18.0,18.0,431.7,0.6084
1621,resident,developer,10989.07,10989.07,18.0,18.0,610.5,0.6084
1637,resident,developer,3031.43,3031.43,18.0,18.0,168.4,0.6084
1638,resident,developer,2073.94,2073.94,18.0,18.0,115.2,0.6084
1642,resident,developer,2935.36,2935.36,18.0,18.0,163.1,0.6084
1644,resident,developer,9543.69,9543.69,18.0,18.0,530.2,0.6084
1668,resident,developer,3374.07,3374.07,18.0,18.0,187.4,0.6084
135,resident,developer,2625.25,2625.25,18.0,18.0,145.8,0.6013
136,resident,developer,14203.68,14203.68,18.0,18.0,789.1,0.6013
214,resident,developer,9490.8,9490.8,18.0,18.0,527.3,0.6013
355,resident,developer,12165.03,12165.03,18.0,18.0,675.8,0.6013
766,resident,developer,21453.4,21453.4,18.0,18.0,1191.9,0.5941
1495,resident,developer,14740.36,14740.36,24.0,24.0,614.2,0.5879
