bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
42,resident,developer,1849.78,15045.14,6.0,48.8,308.3,0.7314
43,resident,developer,442.52,3599.26,6.0,48.8,73.8,0.7314
105,resident,developer,565.89,4602.66,6.0,48.8,94.3,0.7314
107,resident,developer,698.52,5681.4,6.0,48.8,116.4,0.7314
156,resident,developer,3202.31,26045.99,6.0,48.8,533.7,0.7314
206,resident,developer,1859.91,15127.54,6.0,48.8,310.0,0.7314
1420,resident,developer,222.2,1807.26,6.0,48.8,37.0,0.7314
1631,resident,developer,1024.14,8329.87,6.0,48.8,170.7,0.7314
1540,resident,developer,2593.42,12656.12,12.0,58.56,216.1,0.6904
33,resident,developer,2794.52,11364.62,12.0,48.8,232.9,0.6699
36,resident,developer,874.12,3554.81,12.0,48.8,72.8,0.6699
44,resident,developer,2573.11,10464.18,12.0,48.8,214.4,0.6699
56,resident,developer,1342.24,5458.54,12.0,48.8,111.9,0.6699
149,resident,developer,3818.54,15529.04,12.0,48.8,318.2,0.6699
188,resident,developer,11989.31,48757.47,12.0,48.8,999.1,0.6699
443,resident,developer,4537.5,18452.87,12.0,48.8,378.1,0.6699
520,resident,developer,6254.15,25434.02,12.0,48.8,521.2,0.6699
523,resident,developer,6937.97,28214.97,12.0,48.8,578.2,0.6699
786,resident,developer,3063.52,12458.54,12.0,48.8,255.3,0.6699
813,resident,developer,4283.4,17419.51,12.0,48.8,357.0,0.6699
879,resident,developer,3374.26,13722.26,12.0,48.8,281.2,0.6699
881,resident,developer,30984.3,126005.28,12.0,48.8,2582.0,0.6699
917,resident,developer,2483.59,10100.12,12.0,48.8,207.0,0.6699
1234,resident,developer,6480.87,26356.04,12.0,48.8,540.1,0.6699
1235,resident,developer,1903.62,7741.52,12.0,48.8,158.6,0.6699
1250,resident,developer,6901.54,28066.81,12.0,48.8,575.1,0.6699
1254,resident,developer,2562.03,10419.13,12.0,48.8,213.5,0.6699
1271,resident,developer,2982.68,12129.8,12.0,48.8,248.6,0.6699
1273,resident,developer,1901.77,7733.99,12.0,48.8,158.5,0.6699
1348,resident,developer,1042.28,4238.68,12.0,48.8,86.9,0.6699
1370,resident,developer,5028.25,20448.63,12.0,48.8,419.0,0.6699
1389,resident,developer,3713.53,15102.0,12.0,48.8,309.5,0.6699
1392,resident,developer,5134.5,20880.69,12.0,48.8,427.9,0.6699
1412,resident,developer,5084.44,20677.11,12.0,48.8,423.7,0.6699
1415,resident,developer,4908.75,19962.64,12.0,48.8,409.1,0.6699
1500,resident,developer,2381.15,9683.53,12.0,48.8,198.4,0.6699
1507,resident,developer,6715.73,27311.15,12.0,48.8,559.6,0.6699
1598,resident,developer,2269.52,9229.56,12.0,48.8,189.1,0.6699
1616,resident,developer,5175.4,21047.05,12.0,48.8,431.3,0.6699
1625,resident,developer,2249.41,9147.77,12.0,48.8,187.5,0.6699
1649,resident,developer,5085.6,20681.83,12.0,48.8,423.8,0.6699
1787,resident,developer,2213.03,10799.77,12.0,58.56,184.4,0.669
35,resident,developer,1393.31,5666.22,12.0,48.8,116.1,0.6628
158,resident,developer,3818.38,15528.37,12.0,48.8,318.2,0.6628
160,resident,developer,10466.23,42563.49,12.0,48.8,872.2,0.6628
161,resident,developer,2172.65,8835.6,12.0,48.8,181.1,0.6628
761,resident,developer,1625.92,6612.2,12.0,48.8,135.5,0.6628
723,resident,developer,8373.4,40863.0,12.0,58.56,697.8,0.6547
335,resident,developer,1433.75,5830.68,12.0,48.8,119.5,0.6485
401,resident,developer,1291.02,5250.23,12.0,48.8,107.6,0.6485
88,resident,developer,19250.55,78287.11,12.0,48.8,1604.2,0.6413
163,resident,developer,10232.37,33289.94,18.0,58.56,568.5,0.6392
75,resident,developer,1457.53,5927.41,12.0,48.8,121.5,0.6342
763,resident,developer,519.41,2112.3,12.0,48.8,43.3,0.6342
151,resident,developer,10508.82,28491.12,18.0,48.8,583.8,0.6084
