bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
822,developer,resident,400.66,400.66,6.0,6.0,66.8,0.7544
991,developer,resident,981.26,981.26,6.0,6.0,163.5,0.7544
1012,developer,resident,674.92,674.92,6.0,6.0,112.5,0.7544
1013,developer,resident,4306.35,4306.35,6.0,6.0,717.7,0.7544
1044,developer,resident,545.96,545.96,6.0,6.0,91.0,0.7544
1535,developer,resident,242.33,242.33,6.0,6.0,40.4,0.7544
1536,developer,resident,130.75,130.75,6.0,6.0,21.8,0.7544
1589,developer,resident,256.05,256.05,6.0,6.0,42.7,0.7544
1758,developer,resident,260.65,260.65,6.0,6.0,43.4,0.7544
637,developer,resident,3486.94,3486.94,6.0,6.0,581.2,0.7416
1781,developer,resident,1248.17,1248.17,6.0,6.0,208.0,0.7259
592,developer,resident,11821.38,11821.38,12.0,12.0,985.1,0.716
624,developer,resident,9940.3,9940.3,12.0,12.0,828.4,0.716
631,developer,resident,17210.98,17210.98,12.0,12.0,1434.2,0.716
799,developer,resident,5198.28,5198.28,12.0,12.0,433.2,0.716
827,developer,resident,6469.29,6469.29,12.0,12.0,539.1,0.716
995,developer,resident,1818.02,1818.02,12.0,12.0,151.5,0.716
999,developer,resident,15699.96,15699.96,12.0,12.0,1308.3,0.716
1006,developer,resident,2130.77,2130.77,12.0,12.0,177.6,0.716
1014,developer,resident,4949.12,4949.12,12.0,12.0,412.4,0.716
1282,developer,resident,3311.61,3311.61,12.0,12.0,276.0,0.716
1714,developer,resident,3149.34,3149.34,12.0,12.0,262.4,0.716
1716,developer,resident,8295.62,8295.62,12.0,12.0,691.3,0.716
1721,developer,resident,6222.0,6222.0,12.0,12.0,518.5,0.716
1743,developer,resident,24658.56,24658.56,12.0,12.0,2054.9,0.716
1769,developer,resident,2194.49,2194.49,12.0,12.0,182.9,0.716
1771,developer,resident,2318.77,2318.77,12.0,12.0,193.2,0.716
1776,developer,resident,4251.7,4251.7,12.0,12.0,354.3,0.716
1785,developer,resident,2757.98,2757.98,12.0,12.0,229.8,0.716
1797,developer,resident,2046.49,2046.49,12.0,12.0,170.5,0.716
622,developer,resident,1649.73,1649.73,12.0,12.0,137.5,0.7089
1697,developer,resident,15092.26,15092.26,12.0,12.0,1257.7,0.6904
1751,developer,resident,8822.36,8822.36,18.0,18.0,490.1,0.6847
1847,developer,resident,2574.98,2574.98,12.0,12.0,214.6,0.6803
656,developer,resident,22844.6,22844.6,18.0,18.0,1269.1,0.6776
828,developer,resident,13775.06,13775.06,18.0,18.0,765.3,0.6776
849,developer,resident,362.16,362.16,18.0,18.0,20.1,0.6776
996,developer,resident,11289.54,11289.54,18.0,18.0,627.2,0.6776
1015,developer,resident,4784.5,4784.5,18.0,18.0,265.8,0.6776
1566,developer,resident,30247.94,30247.94,18.0,18.0,1680.4,0.6776
1685,developer,resident,28873.09,28873.09,18.0,18.0,1604.1,0.6776
1696,developer,resident,13879.79,13879.79,18.0,18.0,771.1,0.6776
1749,developer,resident,8835.84,8835.84,18.0,18.0,490.9,0.6776
1752,developer,resident,18476.1,18476.1,18.0,18.0,1026.5,0.6776
1753,developer,resident,11080.09,11080.09,18.0,18.0,615.6,0.6776
1755,developer,resident,8001.98,8001.98,18.0,18.0,444.6,0.6776
1768,developer,resident,7310.79,7310.79,18.0,18.0,406.2,0.6776
1770,developer,resident,8668.56,8668.56,18.0,18.0,481.6,0.6776
1774,developer,resident,20085.45,20085.45,18.0,18.0,1115.9,0.6776
1777,developer,resident,12733.58,12733.58,18.0,18.0,707.4,0.6776
1782,developer,resident,21287.44,21287.44,18.0,18.0,1182.6,0.6776
755,developer,resident,22496.67,22496.67,18.0,18.0,1249.8,0.6705
1304,developer,resident,7200.3,7200.3,18.0,18.0,400.0,0.6705
1842,developer,resident,66971.56,66971.56,18.0,18.0,3720.6,0.6705
1750,developer,resident,9132.26,9132.26,18.0,18.0,507.3,0.6633
1094,developer,resident,13873.42,13873.42,12.0,12.0,1156.1,0.6517
1096,developer,resident,20033.31,20033.31,12.0,12.0,1669.4,0.6517
818,developer,resident,38137.6,38137.6,18.0,18.0,2118.8,0.6419
1704,developer,resident,29206.12,29206.12,18.0,18.0,1622.6,0.6419
139,developer,resident,36712.6,32123.52,24.0,21.0,1529.7,0.6392
549,developer,resident,17541.42,15348.75,24.0,21.0,730.9,0.6392
577,developer,resident,18232.88,15953.77,24.0,21.0,759.7,0.6392
620,developer,resident,12084.72,12084.72,18.0,18.0,671.4,0.6392
756,developer,resident,20338.51,17796.2,24.0,21.0,847.4,0.6392
890,developer,resident,12418.06,10865.8,24.0,21.0,517.4,0.6392
1025,developer,resident,5933.17,5191.53,24.0,21.0,247.2,0.6392
1518,developer,resident,12547.58,12547.58,18.0,18.0,697.1,0.6392
1734,developer,resident,39585.51,34637.32,24.0,21.0,1649.4,0.6392
1811,developer,resident,68777.95,60180.71,24.0,21.0,2865.7,0.6392
1795,developer,resident,3176.98,3176.98,12.0,12.0,264.7,0.6303
1546,developer,resident,9798.86,8574.0,24.0,21.0,408.3,0.6249
1835,developer,resident,33789.88,29566.14,24.0,21.0,1407.9,0.6249
1789,developer,resident,20139.87,17622.39,24.0,21.0,839.2,0.6177
159,developer,resident,27954.94,24460.58,24.0,21.0,1164.8,0.6035
131,developer,resident,20391.96,14274.38,30.0,21.0,679.7,0.6008
145,developer,resident,96485.27,67539.69,30.0,21.0,3216.2,0.6008
639,developer,resident,51315.01,35920.51,30.0,21.0,1710.5,0.6008
753,developer,resident,41447.1,29012.97,30.0,21.0,1381.6,0.6008
978,developer,resident,15944.45,11161.11,30.0,21.0,531.5,0.6008
1046,developer,resident,49678.1,34774.67,30.0,21.0,1655.9,0.6008
1525,developer,resident,86970.44,60879.31,30.0,21.0,2899.0,0.6008
1775,developer,resident,38807.13,27164.99,30.0,21.0,1293.6,0.6008
1843,developer,resident,169418.17,118592.72,30.0,21.0,5647.3,0.5936
611,developer,resident,37893.14,22104.33,36.0,21.0,1052.6,0.5623
617,developer,resident,37140.31,21665.18,36.0,21.0,1031.7,0.5623
621,developer,resident,159874.54,93260.15,36.0,21.0,4441.0,0.5623
623,developer,resident,154006.75,89837.27,36.0,21.0,4278.0,0.5623
626,developer,resident,35470.76,20691.28,36.0,21.0,985.3,0.5623
1684,developer,resident,16381.37,9555.8,36.0,21.0,455.0,0.5623
1690,developer,resident,37947.69,22136.15,36.0,21.0,1054.1,0.5623
990,developer,resident,26992.25,26992.25,12.0,12.0,2249.4,0.5589
1142,developer,resident,58718.53,34252.48,36.0,21.0,1631.1,0.5409
141,developer,resident,104575.95,73203.17,30.0,21.0,3485.9,0.5365
657,developer,resident,95090.19,55469.28,36.0,21.0,2641.4,0.5266
618,developer,resident,82013.65,41006.82,42.0,21.0,1952.7,0.5239
651,developer,resident,11516.82,5758.41,42.0,21.0,274.2,0.5239
825,developer,resident,74114.74,37057.37,42.0,21.0,1764.6,0.5239
888,developer,resident,31244.9,15622.45,42.0,21.0,743.9,0.5239
986,developer,resident,31862.83,31862.83,18.0,18.0,1770.2,0.5205
1047,developer,resident,24043.33,21037.91,24.0,21.0,1001.8,0.5022
1097,developer,resident,48690.67,28402.89,36.0,21.0,1352.5,0.498
1092,developer,resident,101694.68,59321.89,36.0,21.0,2824.9,0.4909
801,developer,resident,159074.16,69594.95,48.0,21.0,3314.0,0.4855
870,developer,resident,80361.7,35158.25,48.0,21.0,1674.2,0.4855
873,developer,resident,14894.83,6516.49,48.0,21.0,310.3,0.4855
875,developer,resident,14748.23,6452.35,48.0,21.0,307.3,0.4855
910,developer,resident,11045.99,4832.62,48.0,21.0,230.1,0.4855
913,developer,resident,9195.67,4023.11,48.0,21.0,191.6,0.4855
1663,developer,resident,28096.63,12292.28,48.0,21.0,585.3,0.4855
1695,developer,resident,35264.64,15428.28,48.0,21.0,734.7,0.4855
1733,developer,resident,77438.54,33879.36,48.0,21.0,1613.3,0.4855
1,developer,resident,938.13,938.13,6.0,6.0,156.4,0.4616
7,developer,resident,5206.74,5206.74,6.0,6.0,867.8,0.4616
143,developer,resident,374.9,374.9,6.0,6.0,62.5,0.4616
572,developer,resident,1287.67,1287.67,6.0,6.0,214.6,0.4616
591,developer,resident,1374.5,1374.5,6.0,6.0,229.1,0.4616
598,developer,resident,1031.52,1031.52,6.0,6.0,171.9,0.4616
601,developer,resident,393.19,393.19,6.0,6.0,65.5,0.4616
603,developer,resident,31.08,31.08,6.0,6.0,5.2,0.4616
606,developer,resident,28.34,28.34,6.0,6.0,4.7,0.4616
628,developer,resident,37.49,37.49,6.0,6.0,6.2,0.4616
632,developer,resident,850.46,850.46,6.0,6.0,141.7,0.4616
642,developer,resident,435.25,435.25,6.0,6.0,72.5,0.4616
646,developer,resident,290.82,290.82,6.0,6.0,48.5,0.4616
653,developer,resident,241.41,241.41,6.0,6.0,40.2,0.4616
703,developer,resident,648.39,648.39,6.0,6.0,108.1,0.4616
747,developer,resident,768.23,768.23,6.0,6.0,128.0,0.4616
749,developer,resident,1668.04,1668.04,6.0,6.0,278.0,0.4616
798,developer,resident,857.85,857.85,6.0,6.0,143.0,0.4616
819,developer,resident,450.0,450.0,6.0,6.0,75.0,0.4616
998,developer,resident,3363.46,3363.46,6.0,6.0,560.6,0.4616
1002,developer,resident,1408.3,1408.3,6.0,6.0,234.7,0.4616
1005,developer,resident,178.35,178.35,6.0,6.0,29.7,0.4616
1007,developer,resident,360.29,360.29,6.0,6.0,60.0,0.4616
1008,developer,resident,222.21,222.21,6.0,6.0,37.0,0.4616
1010,developer,resident,2204.83,2204.83,6.0,6.0,367.5,0.4616
1017,developer,resident,376.78,376.78,6.0,6.0,62.8,0.4616
1023,developer,resident,274.35,274.35,6.0,6.0,45.7,0.4616
1093,developer,resident,1440.07,1440.07,6.0,6.0,240.0,0.4616
1591,developer,resident,167.34,167.34,6.0,6.0,27.9,0.4616
1596,developer,resident,16.46,16.46,6.0,6.0,2.7,0.4616
1682,developer,resident,1012.18,1012.18,6.0,6.0,168.7,0.4616
1717,developer,resident,5.48,5.48,6.0,6.0,0.9,0.4616
1718,developer,resident,15.55,15.55,6.0,6.0,2.6,0.4616
1719,developer,resident,8.23,8.23,6.0,6.0,1.4,0.4616
1742,developer,resident,449.91,449.91,6.0,6.0,75.0,0.4616
1746,developer,resident,14349.18,14349.18,6.0,6.0,2391.5,0.4616
1780,developer,resident,1331.36,1331.36,6.0,6.0,221.9,0.4616
1784,developer,resident,1525.09,1525.09,6.0,6.0,254.2,0.4616
1786,developer,resident,466.34,466.34,6.0,6.0,77.7,0.4616
1794,developer,resident,521.26,521.26,6.0,6.0,86.9,0.4616
1754,developer,resident,9878.35,9878.35,18.0,18.0,548.8,0.4562
1756,developer,resident,4707.28,4707.28,18.0,18.0,261.5,0.4562
807,developer,resident,683.95,683.95,6.0,6.0,114.0,0.4488
1570,developer,resident,446.23,446.23,6.0,6.0,74.4,0.4488
3,developer,resident,64582.06,25115.25,54.0,21.0,1196.0,0.4471
649,developer,resident,642353.45,249804.12,54.0,21.0,11895.4,0.4471
1112,developer,resident,28345.98,14172.99,42.0,21.0,674.9,0.4453
4,developer,resident,1324.1,1324.1,12.0,12.0,110.3,0.4232
12,developer,resident,11977.41,11977.41,12.0,12.0,998.1,0.4232
