bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
826,developer,state,6948769.58,6948769.58,606.0,606.0,11466.6,0.0
1039,developer,state,1970676.07,1970676.07,96.0,96.0,20527.9,0.2714
1553,developer,state,1445284.08,1445284.08,318.0,318.0,4544.9,0.2929
830,developer,state,1400444.21,1400444.21,528.0,528.0,2652.4,0.0
1800,developer,state,830573.99,830573.99,228.0,228.0,3642.9,0.2786
820,developer,state,821674.41,821674.41,300.0,300.0,2738.9,0.0
1757,developer,state,796716.5,796716.5,312.0,312.0,2553.6,0.2929
1744,developer,state,792141.1,792141.1,312.0,312.0,2538.9,0.2929
1699,developer,state,775915.51,775915.51,324.0,324.0,2394.8,0.0
1042,developer,state,697799.52,697799.52,336.0,336.0,2076.8,0.0
981,developer,state,679882.94,679882.94,252.0,252.0,2697.9,0.1357
1028,developer,state,657180.22,657180.22,318.0,318.0,2066.6,0.0
649,developer,state,642353.45,642353.45,54.0,54.0,11895.4,0.4471
