bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
826,developer,state,6948769.58,343998.49,606.0,30.0,11466.6,0.0
1039,developer,state,1970676.07,615836.27,96.0,30.0,20527.9,0.2714
1553,developer,state,1445284.08,136347.55,318.0,30.0,4544.9,0.2929
830,developer,state,1400444.21,79570.69,528.0,30.0,2652.4,0.0
1800,developer,state,830573.99,109286.05,228.0,30.0,3642.9,0.2786
820,developer,state,821674.41,82167.44,300.0,30.0,2738.9,0.0
1757,developer,state,796716.5,76607.36,312.0,30.0,2553.6,0.2929
1744,developer,state,792141.1,76167.41,312.0,30.0,2538.9,0.2929
1699,developer,state,775915.51,71844.03,324.0,30.0,2394.8,0.0
1042,developer,state,697799.52,62303.53,336.0,30.0,2076.8,0.0
981,developer,state,679882.94,80938.44,252.0,30.0,2697.9,0.1357
1028,developer,state,657180.22,61998.13,318.0,30.0,2066.6,0.0
649,developer,state,642353.45,356863.03,54.0,30.0,11895.4,0.4471
1534,developer,state,606077.38,75759.67,240.0,30.0,2525.3,0.2929
1722,developer,state,591219.85,50967.23,348.0,30.0,1698.9,0.0
1594,developer,state,581385.27,63194.05,276.0,30.0,2106.5,0.2929
804,developer,state,559312.17,66584.78,252.0,30.0,2219.5,0.2929
1706,developer,state,548417.64,62320.19,264.0,30.0,2077.3,0.0571
848,developer,state,516924.02,63039.51,246.0,30.0,2101.3,0.2929
641,developer,state,505288.27,72184.04,210.0,30.0,2406.1,0.2786
655,developer,state,500193.98,65815.0,228.0,30.0,2193.8,0.2929
609,developer,state,483270.77,241635.39,60.0,30.0,8054.5,0.3944
1759,developer,state,468005.8,78000.97,180.0,30.0,2600.0,0.0
1551,developer,state,449337.34,52248.53,258.0,30.0,1741.6,0.2
889,developer,state,383868.3,106630.08,108.0,30.0,3554.3,0.0
982,developer,state,380633.81,45313.55,252.0,30.0,1510.5,0.0
1710,developer,state,374255.92,74851.18,150.0,30.0,2495.0,0.0
1009,developer,state,371911.34,58111.15,192.0,30.0,1937.0,0.2929
1703,developer,state,369262.54,37679.85,294.0,30.0,1256.0,0.0
1567,developer,state,368680.7,41895.53,264.0,30.0,1396.5,0.2929
1026,developer,state,360599.59,360599.59,24.0,24.0,15025.0,0.3463
1278,developer,state,358377.59,59729.6,180.0,30.0,1991.0,0.0
1517,developer,state,356224.8,127223.14,84.0,30.0,4240.8,0.2929
1523,developer,state,340703.67,36245.07,282.0,30.0,1208.2,0.0
1804,developer,state,339702.86,24264.49,420.0,30.0,808.8,0.0
1831,developer,state,313395.04,74617.87,126.0,30.0,2487.3,0.2786
1711,developer,state,310747.57,62149.51,150.0,30.0,2071.7,0.0
644,developer,state,310203.62,77550.91,120.0,30.0,2585.0,0.2643
1562,developer,state,300324.08,45503.65,198.0,30.0,1516.8,0.0
1595,developer,state,299678.85,39431.43,228.0,30.0,1314.4,0.2929
993,developer,state,295818.46,35216.48,252.0,30.0,1173.9,0.2929
705,developer,state,291949.27,45617.07,192.0,30.0,1520.6,0.0
11,developer,state,288679.23,60141.51,144.0,30.0,2004.7,0.2429
1735,developer,state,286479.58,71619.89,120.0,30.0,2387.3,0.2929
752,developer,state,280469.32,41245.49,204.0,30.0,1374.8,0.2929
823,developer,state,278241.41,40917.85,204.0,30.0,1363.9,0.2929
24,developer,state,277777.63,60386.44,138.0,30.0,2012.9,0.2929
852,developer,state,277114.01,46185.67,180.0,30.0,1539.5,0.2929
832,developer,state,276541.55,138270.77,60.0,30.0,4609.0,0.1158
6,developer,state,269868.79,58667.13,138.0,30.0,1955.6,0.2929
1741,developer,state,266863.27,74128.69,108.0,30.0,2471.0,0.2929
811,developer,state,264398.5,110166.04,72.0,30.0,3672.2,0.2961
14,developer,state,263831.51,32978.94,240.0,30.0,1099.3,0.0
972,developer,state,262359.95,32794.99,240.0,30.0,1093.2,0.0
1713,developer,state,259925.2,259925.2,24.0,24.0,10830.2,0.3463
658,developer,state,259795.89,51959.18,150.0,30.0,1732.0,0.2929
1564,developer,state,253176.71,43651.16,174.0,30.0,1455.0,0.2786
1767,developer,state,249692.84,69359.12,108.0,30.0,2312.0,0.2929
1572,developer,state,245327.54,26666.04,276.0,30.0,888.9,0.0
1813,developer,state,244807.31,122403.66,60.0,30.0,4080.1,0.4086
748,developer,state,244245.74,38163.4,192.0,30.0,1272.1,0.0
1550,developer,state,243289.13,52888.94,138.0,30.0,1763.0,0.2929
1587,developer,state,238721.13,18650.09,384.0,30.0,621.7,0.2929
1141,developer,state,238072.48,41046.98,174.0,30.0,1368.2,0.2929
1019,developer,state,231652.15,52648.22,132.0,30.0,1754.9,0.2929
1576,developer,state,230920.15,28865.02,240.0,30.0,962.2,0.0
645,developer,state,230263.26,57565.81,120.0,30.0,1918.9,0.0
1561,developer,state,228037.02,42229.08,162.0,30.0,1407.6,0.0
23,developer,state,227194.73,43691.29,156.0,30.0,1456.4,0.2286
969,developer,state,218278.09,27284.76,240.0,30.0,909.5,0.0
1723,developer,state,214745.92,19883.88,324.0,30.0,662.8,0.0
1701,developer,state,209702.42,49929.15,126.0,30.0,1664.3,0.0571
803,developer,state,203054.2,203054.2,30.0,30.0,6768.5,0.3079
1803,developer,state,195538.72,195538.72,24.0,24.0,8147.4,0.3463
