bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
822,developer,state,400.66,2003.29,6.0,30.0,66.8,0.7544
991,developer,state,981.26,4906.28,6.0,30.0,163.5,0.7544
1012,developer,state,674.92,3374.62,6.0,30.0,112.5,0.7544
1013,developer,state,4306.35,21531.77,6.0,30.0,717.7,0.7544
1044,developer,state,545.96,2729.79,6.0,30.0,91.0,0.7544
1535,developer,state,242.33,1211.63,6.0,30.0,40.4,0.7544
1536,developer,state,130.75,653.77,6.0,30.0,21.8,0.7544
1589,developer,state,256.05,1280.25,6.0,30.0,42.7,0.7544
1758,developer,state,260.65,1303.26,6.0,30.0,43.4,0.7544
1781,developer,state,1248.17,6240.83,6.0,30.0,208.0,0.7259
592,developer,state,11821.38,29553.45,12.0,30.0,985.1,0.716
624,developer,state,9940.3,24850.75,12.0,30.0,828.4,0.716
631,developer,state,17210.98,43027.46,12.0,30.0,1434.2,0.716
799,developer,state,5198.28,12995.7,12.0,30.0,433.2,0.716
827,developer,state,6469.29,16173.23,12.0,30.0,539.1,0.716
995,developer,state,1818.02,4545.06,12.0,30.0,151.5,0.716
999,developer,state,15699.96,39249.91,12.0,30.0,1308.3,0.716
1006,developer,state,2130.77,5326.92,12.0,30.0,177.6,0.716
1014,developer,state,4949.12,12372.8,12.0,30.0,412.4,0.716
1714,developer,state,3149.34,7873.34,12.0,30.0,262.4,0.716
1716,developer,state,8295.62,20739.05,12.0,30.0,691.3,0.716
1721,developer,state,6222.0,15555.0,12.0,30.0,518.5,0.716
1743,developer,state,24658.56,30823.2,12.0,15.0,2054.9,0.716
1769,developer,state,2194.49,5486.22,12.0,30.0,182.9,0.716
1771,developer,state,2318.77,5796.92,12.0,30.0,193.2,0.716
1776,developer,state,4251.7,10629.25,12.0,30.0,354.3,0.716
1785,developer,state,2757.98,6894.95,12.0,30.0,229.8,0.716
1797,developer,state,2046.49,5116.22,12.0,30.0,170.5,0.716
1751,developer,state,8822.36,14703.93,18.0,30.0,490.1,0.6847
1847,developer,state,2574.98,6437.46,12.0,30.0,214.6,0.6803
656,developer,state,22844.6,38074.34,18.0,30.0,1269.1,0.6776
828,developer,state,13775.06,22958.44,18.0,30.0,765.3,0.6776
849,developer,state,362.16,603.6,18.0,30.0,20.1,0.6776
996,developer,state,11289.54,18815.89,18.0,30.0,627.2,0.6776
1015,developer,state,4784.5,7974.17,18.0,30.0,265.8,0.6776
1566,developer,state,30247.94,50413.24,18.0,30.0,1680.4,0.6776
1685,developer,state,28873.09,48121.81,18.0,30.0,1604.1,0.6776
1696,developer,state,13879.79,23132.98,18.0,30.0,771.1,0.6776
1749,developer,state,8835.84,14726.4,18.0,30.0,490.9,0.6776
1752,developer,state,18476.1,30793.5,18.0,30.0,1026.5,0.6776
1753,developer,state,11080.09,18466.81,18.0,30.0,615.6,0.6776
1755,developer,state,8001.98,13336.63,18.0,30.0,444.6,0.6776
1768,developer,state,7310.79,12184.65,18.0,30.0,406.2,0.6776
1770,developer,state,8668.56,14447.6,18.0,30.0,481.6,0.6776
1774,developer,state,20085.45,33475.75,18.0,30.0,1115.9,0.6776
1777,developer,state,12733.58,21222.64,18.0,30.0,707.4,0.6776
1782,developer,state,21287.44,35479.06,18.0,30.0,1182.6,0.6776
755,developer,state,22496.67,37494.45,18.0,30.0,1249.8,0.6705
1304,developer,state,7200.3,12000.5,18.0,30.0,400.0,0.6705
1842,developer,state,66971.56,55809.64,18.0,15.0,3720.6,0.6705
1750,developer,state,9132.26,15220.43,18.0,30.0,507.3,0.6633
818,developer,state,38137.6,31781.33,18.0,15.0,2118.8,0.6419
1704,developer,state,29206.12,48676.86,18.0,30.0,1622.6,0.6419
139,developer,state,36712.6,45890.75,24.0,30.0,1529.7,0.6392
549,developer,state,17541.42,21926.78,24.0,30.0,730.9,0.6392
577,developer,state,18232.88,22791.1,24.0,30.0,759.7,0.6392
756,developer,state,20338.51,25423.14,24.0,30.0,847.4,0.6392
890,developer,state,12418.06,15522.57,24.0,30.0,517.4,0.6392
1734,developer,state,39585.51,49481.89,24.0,30.0,1649.4,0.6392
1795,developer,state,3176.98,7942.46,12.0,30.0,264.7,0.6303
1546,developer,state,9798.86,12248.57,24.0,30.0,408.3,0.6249
1835,developer,state,33789.88,42237.34,24.0,30.0,1407.9,0.6249
1789,developer,state,20139.87,25174.84,24.0,30.0,839.2,0.6177
159,developer,state,27954.94,34943.68,24.0,30.0,1164.8,0.6035
131,developer,state,20391.96,20391.96,30.0,30.0,679.7,0.6008
145,developer,state,96485.27,48242.63,30.0,15.0,3216.2,0.6008
639,developer,state,51315.01,51315.01,30.0,30.0,1710.5,0.6008
753,developer,state,41447.1,41447.1,30.0,30.0,1381.6,0.6008
978,developer,state,15944.45,15944.45,30.0,30.0,531.5,0.6008
