bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
45,resident,developer,3669.35,3669.35,6.0,6.0,611.6,0.6704
83,resident,developer,549.09,549.09,6.0,6.0,91.5,0.6704
275,resident,developer,510.74,510.74,6.0,6.0,85.1,0.6704
326,resident,developer,2918.48,2918.48,6.0,6.0,486.4,0.6704
465,resident,developer,457.69,457.69,6.0,6.0,76.3,0.6704
649,resident,developer,1779.7,1779.7,6.0,6.0,296.6,0.6704
739,resident,developer,319.75,319.75,6.0,6.0,53.3,0.6704
484,resident,developer,1391.26,1391.26,6.0,6.0,231.9,0.6561
594,resident,developer,3637.3,3637.3,12.0,12.0,303.1,0.5888
8,resident,developer,12281.47,12281.47,12.0,12.0,1023.5,0.548
34,resident,developer,14066.0,14066.0,12.0,12.0,1172.2,0.548
38,resident,developer,522.55,522.55,12.0,12.0,43.5,0.548
76,resident,developer,5202.25,5202.25,12.0,12.0,433.5,0.548
80,resident,developer,1900.33,1900.33,12.0,12.0,158.4,0.548
87,resident,developer,3204.81,3204.81,12.0,12.0,267.1,0.548
88,resident,developer,5525.39,5525.39,12.0,12.0,460.4,0.548
89,resident,developer,5549.09,5549.09,12.0,12.0,462.4,0.548
110,resident,developer,2585.6,2585.6,12.0,12.0,215.5,0.548
112,resident,developer,3793.49,3793.49,12.0,12.0,316.1,0.548
191,resident,developer,2439.55,2439.55,12.0,12.0,203.3,0.548
195,resident,developer,6175.76,6175.76,12.0,12.0,514.6,0.548
259,resident,developer,21048.98,21048.98,12.0,12.0,1754.1,0.548
315,resident,developer,15098.6,15098.6,12.0,12.0,1258.2,0.548
318,resident,developer,3888.8,3888.8,12.0,12.0,324.1,0.548
319,resident,developer,5111.45,5111.45,12.0,12.0,426.0,0.548
320,resident,developer,11326.89,11326.89,12.0,12.0,943.9,0.548
321,resident,developer,13953.13,13953.13,12.0,12.0,1162.8,0.548
324,resident,developer,6267.95,6267.95,12.0,12.0,522.3,0.548
325,resident,developer,41513.33,41513.33,12.0,12.0,3459.4,0.548
330,resident,developer,5716.41,5716.41,12.0,12.0,476.4,0.548
331,resident,developer,6357.76,6357.76,12.0,12.0,529.8,0.548
334,resident,developer,11268.3,11268.3,12.0,12.0,939.0,0.548
354,resident,developer,56704.59,56704.59,12.0,12.0,4725.4,0.548
441,resident,developer,3177.53,3177.53,12.0,12.0,264.8,0.548
452,resident,developer,13319.77,13319.77,12.0,12.0,1110.0,0.548
461,resident,developer,5024.65,5024.65,12.0,12.0,418.7,0.548
463,resident,developer,5086.7,5086.7,12.0,12.0,423.9,0.548
470,resident,developer,6033.26,6033.26,12.0,12.0,502.8,0.548
521,resident,developer,7154.53,7154.53,12.0,12.0,596.2,0.548
545,resident,developer,3739.56,3739.56,12.0,12.0,311.6,0.548
560,resident,developer,4295.55,4295.55,12.0,12.0,358.0,0.548
573,resident,developer,2616.53,2616.53,12.0,12.0,218.0,0.548
574,resident,developer,2402.57,2402.57,12.0,12.0,200.2,0.548
580,resident,developer,2172.44,2172.44,12.0,12.0,181.0,0.548
601,resident,developer,9277.3,9277.3,12.0,12.0,773.1,0.548
625,resident,developer,2861.33,2861.33,12.0,12.0,238.4,0.548
