bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
45,resident,developer,3669.35,14985.47,6.0,24.5,611.6,0.6704
83,resident,developer,549.09,2242.44,6.0,24.5,91.5,0.6704
275,resident,developer,510.74,2085.84,6.0,24.5,85.1,0.6704
326,resident,developer,2918.48,11918.97,6.0,24.5,486.4,0.6704
465,resident,developer,457.69,1869.17,6.0,24.5,76.3,0.6704
649,resident,developer,1779.7,7268.23,6.0,24.5,296.6,0.6704
739,resident,developer,319.75,1305.83,6.0,24.5,53.3,0.6704
484,resident,developer,1391.26,5681.84,6.0,24.5,231.9,0.6561
594,resident,developer,3637.3,8912.75,12.0,29.4,303.1,0.5888
8,resident,developer,12281.47,25078.54,12.0,24.5,1023.5,0.548
34,resident,developer,14066.0,28722.52,12.0,24.5,1172.2,0.548
38,resident,developer,522.55,1067.03,12.0,24.5,43.5,0.548
76,resident,developer,5202.25,10622.9,12.0,24.5,433.5,0.548
80,resident,developer,1900.33,3880.44,12.0,24.5,158.4,0.548
87,resident,developer,3204.81,6544.16,12.0,24.5,267.1,0.548
88,resident,developer,5525.39,11282.74,12.0,24.5,460.4,0.548
89,resident,developer,5549.09,11331.14,12.0,24.5,462.4,0.548
110,resident,developer,2585.6,5279.74,12.0,24.5,215.5,0.548
112,resident,developer,3793.49,7746.24,12.0,24.5,316.1,0.548
191,resident,developer,2439.55,4981.52,12.0,24.5,203.3,0.548
195,resident,developer,6175.76,12610.79,12.0,24.5,514.6,0.548
259,resident,developer,21048.98,42981.62,12.0,24.5,1754.1,0.548
315,resident,developer,15098.6,30831.07,12.0,24.5,1258.2,0.548
318,resident,developer,3888.8,7940.85,12.0,24.5,324.1,0.548
319,resident,developer,5111.45,10437.49,12.0,24.5,426.0,0.548
320,resident,developer,11326.89,23129.3,12.0,24.5,943.9,0.548
321,resident,developer,13953.13,28492.04,12.0,24.5,1162.8,0.548
324,resident,developer,6267.95,12799.04,12.0,24.5,522.3,0.548
325,resident,developer,41513.33,84769.46,12.0,24.5,3459.4,0.548
330,resident,developer,5716.41,11672.8,12.0,24.5,476.4,0.548
331,resident,developer,6357.76,12982.43,12.0,24.5,529.8,0.548
334,resident,developer,11268.3,23009.66,12.0,24.5,939.0,0.548
354,resident,developer,56704.59,115789.73,12.0,24.5,4725.4,0.548
441,resident,developer,3177.53,6488.47,12.0,24.5,264.8,0.548
452,resident,developer,13319.77,27198.73,12.0,24.5,1110.0,0.548
461,resident,developer,5024.65,10260.24,12.0,24.5,418.7,0.548
463,resident,developer,5086.7,10386.94,12.0,24.5,423.9,0.548
470,resident,developer,6033.26,12319.8,12.0,24.5,502.8,0.548
521,resident,developer,7154.53,14609.43,12.0,24.5,596.2,0.548
545,resident,developer,3739.56,7636.12,12.0,24.5,311.6,0.548
560,resident,developer,4295.55,8771.43,12.0,24.5,358.0,0.548
