bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
167,developer,resident,4763.86,4763.86,6.0,6.0,794.0,0.7163
169,developer,resident,8020.13,8020.13,6.0,6.0,1336.7,0.7163
400,developer,resident,950.41,950.41,6.0,6.0,158.4,0.7163
665,developer,resident,5042.86,5042.86,6.0,6.0,840.5,0.7163
836,developer,resident,4355.44,4355.44,6.0,6.0,725.9,0.7163
908,developer,resident,8264.42,8264.42,6.0,6.0,1377.4,0.7163
994,developer,resident,223.88,223.88,6.0,6.0,37.3,0.7163
784,developer,resident,2196.79,2196.79,6.0,6.0,366.1,0.6449
166,developer,resident,21297.73,21297.73,12.0,12.0,1774.8,0.6398
290,developer,resident,7762.92,7762.92,12.0,12.0,646.9,0.6398
292,developer,resident,6760.11,6760.11,12.0,12.0,563.3,0.6398
294,developer,resident,4932.32,4932.32,12.0,12.0,411.0,0.6398
308,developer,resident,54097.78,54097.78,12.0,12.0,4508.1,0.6398
338,developer,resident,5193.46,5193.46,12.0,12.0,432.8,0.6398
389,developer,resident,4932.93,4932.93,12.0,12.0,411.1,0.6398
393,developer,resident,3666.45,3666.45,12.0,12.0,305.5,0.6398
682,developer,resident,16977.71,16977.71,12.0,12.0,1414.8,0.6398
687,developer,resident,14710.99,14710.99,12.0,12.0,1225.9,0.6398
766,developer,resident,13279.14,13279.14,12.0,12.0,1106.6,0.6398
780,developer,resident,2904.93,2904.93,12.0,12.0,242.1,0.6398
322,developer,resident,13250.5,13250.5,18.0,18.0,736.1,0.5633
375,developer,resident,3427.23,3427.23,18.0,18.0,190.4,0.5633
398,developer,resident,5285.95,5285.95,18.0,18.0,293.7,0.5633
672,developer,resident,29281.68,29281.68,18.0,18.0,1626.8,0.5633
677,developer,resident,49293.12,49293.12,18.0,18.0,2738.5,0.5633
683,developer,resident,3899.37,3899.37,18.0,18.0,216.6,0.5633
704,developer,resident,8912.75,8912.75,18.0,18.0,495.2,0.5633
713,developer,resident,4542.84,4542.84,18.0,18.0,252.4,0.5633
810,developer,resident,2364.71,2364.71,18.0,18.0,131.4,0.5633
812,developer,resident,1501.6,1501.6,18.0,18.0,83.4,0.5633
814,developer,resident,3003.34,3003.34,18.0,18.0,166.9,0.5633
899,developer,resident,6070.71,6070.71,18.0,18.0,337.3,0.5633
997,developer,resident,7851.63,7851.63,18.0,18.0,436.2,0.5633
718,developer,resident,10141.73,8874.02,24.0,21.0,422.6,0.4939
782,developer,resident,3055.47,3055.47,18.0,18.0,169.7,0.4919
300,developer,resident,15116.56,13226.99,24.0,21.0,629.9,0.4868
316,developer,resident,80699.32,70611.9,24.0,21.0,3362.5,0.4868
335,developer,resident,64345.9,56302.66,24.0,21.0,2681.1,0.4868
339,developer,resident,9842.61,8612.29,24.0,21.0,410.1,0.4868
364,developer,resident,10692.6,9356.02,24.0,21.0,445.5,0.4868
367,developer,resident,4054.29,3547.5,24.0,21.0,168.9,0.4868
379,developer,resident,13902.59,12164.77,24.0,21.0,579.3,0.4868
392,developer,resident,11131.23,9739.82,24.0,21.0,463.8,0.4868
396,developer,resident,5801.51,5076.32,24.0,21.0,241.7,0.4868
406,developer,resident,12981.56,11358.87,24.0,21.0,540.9,0.4868
410,developer,resident,55856.54,48874.47,24.0,21.0,2327.4,0.4868
667,developer,resident,2886.21,2525.43,24.0,21.0,120.3,0.4868
668,developer,resident,3171.33,2774.91,24.0,21.0,132.1,0.4868
686,developer,resident,23480.99,20545.87,24.0,21.0,978.4,0.4868
719,developer,resident,8329.83,7288.6,24.0,21.0,347.1,0.4868
724,developer,resident,41245.9,36090.16,24.0,21.0,1718.6,0.4868
786,developer,resident,3518.42,3078.62,24.0,21.0,146.6,0.4868
787,developer,resident,2930.4,2564.1,24.0,21.0,122.1,0.4868
811,developer,resident,2849.99,2493.74,24.0,21.0,118.7,0.4868
929,developer,resident,8860.06,7752.55,24.0,21.0,369.2,0.4868
722,developer,resident,13755.41,12035.99,24.0,21.0,573.1,0.4725
346,developer,resident,9010.84,9010.84,6.0,6.0,1501.8,0.4235
388,developer,resident,665.21,665.21,6.0,6.0,110.9,0.4235
600,developer,resident,622.87,622.87,6.0,6.0,103.8,0.4235
