bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
924,developer,state,906554.52,906554.52,456.0,456.0,1988.1,0.0
938,developer,state,676262.28,676262.28,354.0,354.0,1910.3,0.2929
380,developer,state,565548.64,565548.64,240.0,240.0,2356.5,0.2929
735,developer,state,387983.2,387983.2,330.0,330.0,1175.7,0.0
371,developer,state,379958.43,379958.43,156.0,156.0,2435.6,0.2929
314,developer,state,371024.48,371024.48,192.0,192.0,1932.4,0.0
695,developer,state,342986.04,342986.04,258.0,258.0,1329.4,0.0
343,developer,state,325982.48,325982.48,24.0,24.0,13582.6,0.1939
898,developer,state,312105.94,312105.94,180.0,180.0,1733.9,0.2929
661,developer,state,286321.85,286321.85,198.0,198.0,1446.1,0.0
909,developer,state,254234.5,254234.5,180.0,180.0,1412.4,0.2929
837,developer,state,251950.26,251950.26,30.0,30.0,8398.3,0.1174
669,developer,state,225790.64,225790.64,42.0,42.0,5376.0,0.2929
834,developer,state,205851.69,205851.69,180.0,180.0,1143.6,0.0
981,developer,state,198550.42,198550.42,132.0,132.0,1504.2,0.2929
926,developer,state,196642.44,196642.44,120.0,120.0,1638.7,0.2929
991,developer,state,187206.17,187206.17,144.0,144.0,1300.0,0.2929
684,developer,state,185915.71,185915.71,150.0,150.0,1239.4,0.2929
