bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
924,developer,state,906554.52,59641.74,456.0,30.0,1988.1,0.0
938,developer,state,676262.28,57310.36,354.0,30.0,1910.3,0.2929
380,developer,state,565548.64,70693.58,240.0,30.0,2356.5,0.2929
735,developer,state,387983.2,35271.2,330.0,30.0,1175.7,0.0
371,developer,state,379958.43,73068.93,156.0,30.0,2435.6,0.2929
314,developer,state,371024.48,57972.58,192.0,30.0,1932.4,0.0
695,developer,state,342986.04,39882.1,258.0,30.0,1329.4,0.0
343,developer,state,325982.48,325982.48,24.0,24.0,13582.6,0.1939
898,developer,state,312105.94,52017.66,180.0,30.0,1733.9,0.2929
661,developer,state,286321.85,43382.1,198.0,30.0,1446.1,0.0
909,developer,state,254234.5,42372.42,180.0,30.0,1412.4,0.2929
837,developer,state,251950.26,251950.26,30.0,30.0,8398.3,0.1174
669,developer,state,225790.64,161279.03,42.0,30.0,5376.0,0.2929
834,developer,state,205851.69,34308.61,180.0,30.0,1143.6,0.0
981,developer,state,198550.42,45125.1,132.0,30.0,1504.2,0.2929
926,developer,state,196642.44,49160.61,120.0,30.0,1638.7,0.2929
991,developer,state,187206.17,39001.28,144.0,30.0,1300.0,0.2929
684,developer,state,185915.71,37183.14,150.0,30.0,1239.4,0.2929
660,developer,state,184501.53,41932.17,132.0,30.0,1397.7,0.0
273,developer,state,182316.26,32556.48,168.0,30.0,1085.2,0.2929
373,developer,state,179443.8,29907.3,180.0,30.0,996.9,0.2929
912,developer,state,179401.23,18687.63,288.0,30.0,622.9,0.2929
264,developer,state,175271.66,32457.72,162.0,30.0,1081.9,0.2929
411,developer,state,160680.05,32136.01,150.0,30.0,1071.2,0.2929
358,developer,state,149964.84,29992.97,150.0,30.0,999.8,0.2929
674,developer,state,149849.42,24974.9,180.0,30.0,832.5,0.2929
702,developer,state,149500.21,33977.32,132.0,30.0,1132.6,0.0
990,developer,state,145450.57,27971.26,156.0,30.0,932.4,0.2929
767,developer,state,145125.17,27908.69,156.0,30.0,930.3,0.2929
163,developer,state,142297.89,27364.98,156.0,30.0,912.2,0.2929
309,developer,state,141054.79,35263.7,120.0,30.0,1175.5,0.2929
361,developer,state,138507.95,26636.14,156.0,30.0,887.9,0.0
897,developer,state,138279.82,138279.82,30.0,30.0,4609.3,0.4103
726,developer,state,133331.12,35087.14,114.0,30.0,1169.6,0.0
413,developer,state,128429.93,40134.35,96.0,30.0,1337.8,0.25
675,developer,state,123107.05,123107.05,30.0,30.0,4103.6,0.4103
369,developer,state,119958.42,46137.85,78.0,30.0,1537.9,0.2929
712,developer,state,116993.31,44997.43,78.0,30.0,1499.9,0.2929
666,developer,state,113557.25,22711.45,150.0,30.0,757.0,0.2929
979,developer,state,109631.85,22839.97,144.0,30.0,761.3,0.2929
129,developer,state,109145.61,19490.29,168.0,30.0,649.7,0.0
127,developer,state,101416.45,18110.08,168.0,30.0,603.7,0.0
913,developer,state,100167.43,11129.71,270.0,30.0,371.0,0.2929
925,developer,state,99242.3,82701.92,36.0,30.0,2756.7,0.3337
340,developer,state,97294.32,81078.6,36.0,30.0,2702.6,0.3337
370,developer,state,94954.47,18990.89,150.0,30.0,633.0,0.2929
936,developer,state,94606.12,23651.53,120.0,30.0,788.4,0.2929
911,developer,state,92815.05,10312.78,270.0,30.0,343.8,0.0
673,developer,state,91656.75,16367.28,168.0,30.0,545.6,0.0
409,developer,state,88620.77,36925.32,72.0,30.0,1230.8,0.2929
382,developer,state,86888.99,21722.25,120.0,30.0,724.1,0.2929
384,developer,state,84660.64,21165.16,120.0,30.0,705.5,0.0
316,developer,state,80699.32,80699.32,24.0,24.0,3362.5,0.4868
980,developer,state,80482.02,20120.51,120.0,30.0,670.7,0.2929
168,developer,state,75614.61,31506.09,72.0,30.0,1050.2,0.2929
680,developer,state,74415.81,74415.81,18.0,18.0,4134.2,0.2704
357,developer,state,74235.64,61863.03,36.0,30.0,2062.1,0.3337
387,developer,state,73843.72,30768.22,72.0,30.0,1025.6,0.2929
356,developer,state,69676.79,17419.2,120.0,30.0,580.6,0.2929
345,developer,state,68392.55,28496.89,72.0,30.0,949.9,0.2714
341,developer,state,67411.25,24075.45,84.0,30.0,802.5,0.2929
359,developer,state,66244.8,55204.0,36.0,30.0,1840.1,0.3337
363,developer,state,66002.17,15714.8,126.0,30.0,523.8,0.2929
335,developer,state,64345.9,64345.9,24.0,24.0,2681.1,0.4868
917,developer,state,56950.38,56950.38,30.0,30.0,1898.3,0.1174
410,developer,state,55856.54,55856.54,24.0,24.0,2327.4,0.4868
662,developer,state,55832.18,25378.26,66.0,30.0,845.9,0.2929
77,developer,state,54684.72,54684.72,30.0,30.0,1822.8,0.1174
308,developer,state,54097.78,54097.78,12.0,12.0,4508.1,0.6398
733,developer,state,49481.57,41234.64,36.0,30.0,1374.5,0.0409
365,developer,state,49439.79,30899.87,48.0,30.0,1030.0,0.0
677,developer,state,49293.12,49293.12,18.0,18.0,2738.5,0.5633
