bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
167,developer,state,4763.86,23819.32,6.0,30.0,794.0,0.7163
169,developer,state,8020.13,40100.64,6.0,30.0,1336.7,0.7163
400,developer,state,950.41,4752.03,6.0,30.0,158.4,0.7163
665,developer,state,5042.86,25214.31,6.0,30.0,840.5,0.7163
836,developer,state,4355.44,21777.19,6.0,30.0,725.9,0.7163
908,developer,state,8264.42,41322.11,6.0,30.0,1377.4,0.7163
994,developer,state,223.88,1119.41,6.0,30.0,37.3,0.7163
166,developer,state,21297.73,53244.32,12.0,30.0,1774.8,0.6398
308,developer,state,54097.78,67622.22,12.0,15.0,4508.1,0.6398
389,developer,state,4932.93,12332.32,12.0,30.0,411.1,0.6398
393,developer,state,3666.45,9166.11,12.0,30.0,305.5,0.6398
766,developer,state,13279.14,33197.85,12.0,30.0,1106.6,0.6398
375,developer,state,3427.23,5712.05,18.0,30.0,190.4,0.5633
398,developer,state,5285.95,8809.92,18.0,30.0,293.7,0.5633
672,developer,state,29281.68,48802.8,18.0,30.0,1626.8,0.5633
677,developer,state,49293.12,41077.6,18.0,15.0,2738.5,0.5633
704,developer,state,8912.75,14854.58,18.0,30.0,495.2,0.5633
713,developer,state,4542.84,7571.4,18.0,30.0,252.4,0.5633
997,developer,state,7851.63,13086.06,18.0,30.0,436.2,0.5633
718,developer,state,10141.73,12677.17,24.0,30.0,422.6,0.4939
364,developer,state,10692.6,13365.75,24.0,30.0,445.5,0.4868
367,developer,state,4054.29,5067.86,24.0,30.0,168.9,0.4868
379,developer,state,13902.59,17378.24,24.0,30.0,579.3,0.4868
392,developer,state,11131.23,13914.03,24.0,30.0,463.8,0.4868
396,developer,state,5801.51,7251.88,24.0,30.0,241.7,0.4868
406,developer,state,12981.56,16226.95,24.0,30.0,540.9,0.4868
410,developer,state,55856.54,34910.33,24.0,15.0,2327.4,0.4868
719,developer,state,8329.83,10412.29,24.0,30.0,347.1,0.4868
724,developer,state,41245.9,51557.37,24.0,30.0,1718.6,0.4868
929,developer,state,8860.06,11075.08,24.0,30.0,369.2,0.4868
722,developer,state,13755.41,17194.27,24.0,30.0,573.1,0.4725
346,developer,state,9010.84,45054.2,6.0,30.0,1501.8,0.4235
388,developer,state,665.21,3326.07,6.0,30.0,110.9,0.4235
600,developer,state,622.87,3114.37,6.0,30.0,103.8,0.4235
663,developer,state,1635.92,8179.58,6.0,30.0,272.7,0.4235
664,developer,state,1940.05,9700.27,6.0,30.0,323.3,0.4235
671,developer,state,1555.42,7777.11,6.0,30.0,259.2,0.4235
679,developer,state,912.45,4562.26,6.0,30.0,152.1,0.4235
833,developer,state,398.27,1991.37,6.0,30.0,66.4,0.4235
995,developer,state,1035.46,5177.3,6.0,30.0,172.6,0.4235
126,developer,state,5328.33,5328.33,30.0,30.0,177.6,0.4103
381,developer,state,7923.52,7923.52,30.0,30.0,264.1,0.4103
391,developer,state,11725.98,11725.98,30.0,30.0,390.9,0.4103
394,developer,state,10802.92,10802.92,30.0,30.0,360.1,0.4103
397,developer,state,8005.63,8005.63,30.0,30.0,266.9,0.4103
401,developer,state,6680.31,6680.31,30.0,30.0,222.7,0.4103
402,developer,state,7763.67,7763.67,30.0,30.0,258.8,0.4103
407,developer,state,11606.39,11606.39,30.0,30.0,386.9,0.4103
675,developer,state,123107.05,61553.53,30.0,15.0,4103.6,0.4103
932,developer,state,8169.87,8169.87,30.0,30.0,272.3,0.4103
984,developer,state,30796.98,30796.98,30.0,30.0,1026.6,0.4103
985,developer,state,27047.44,27047.44,30.0,30.0,901.6,0.4103
987,developer,state,25796.95,25796.95,30.0,30.0,859.9,0.4103
989,developer,state,19116.2,19116.2,30.0,30.0,637.2,0.4103
993,developer,state,3546.05,3546.05,30.0,30.0,118.2,0.4103
998,developer,state,11692.36,11692.36,30.0,30.0,389.7,0.4103
412,developer,state,14490.65,18113.31,24.0,30.0,603.8,0.3796
59,developer,state,14884.85,37212.13,12.0,30.0,1240.4,0.347
162,developer,state,19627.46,49068.65,12.0,30.0,1635.6,0.347
312,developer,state,9240.7,23101.75,12.0,30.0,770.1,0.347
383,developer,state,8485.9,21214.76,12.0,30.0,707.2,0.347
385,developer,state,24711.02,30888.78,12.0,15.0,2059.3,0.347
386,developer,state,3642.56,9106.41,12.0,30.0,303.5,0.347
395,developer,state,1805.77,4514.42,12.0,30.0,150.5,0.347
404,developer,state,2846.04,7115.09,12.0,30.0,237.2,0.347
659,developer,state,10670.09,26675.22,12.0,30.0,889.2,0.347
676,developer,state,6935.56,17338.9,12.0,30.0,578.0,0.347
678,developer,state,1863.26,4658.14,12.0,30.0,155.3,0.347
693,developer,state,4128.65,10321.62,12.0,30.0,344.1,0.347
706,developer,state,2506.05,6265.14,12.0,30.0,208.8,0.347
711,developer,state,2137.23,5343.09,12.0,30.0,178.1,0.347
720,developer,state,6492.4,16230.99,12.0,30.0,541.0,0.347
723,developer,state,1601.96,4004.89,12.0,30.0,133.5,0.347
728,developer,state,6815.23,17038.06,12.0,30.0,567.9,0.347
737,developer,state,5114.39,12785.96,12.0,30.0,426.2,0.347
976,developer,state,1808.13,4520.31,12.0,30.0,150.7,0.347
992,developer,state,6755.35,16888.36,12.0,30.0,562.9,0.347
357,developer,state,74235.64,30931.52,36.0,15.0,2062.1,0.3337
359,developer,state,66244.8,55204.0,36.0,30.0,1840.1,0.3337
414,developer,state,32878.27,27398.56,36.0,30.0,913.3,0.3337
697,developer,state,24894.63,20745.52,36.0,30.0,691.5,0.3337
925,developer,state,99242.3,41350.96,36.0,15.0,2756.7,0.3337
159,developer,state,12993.07,9280.76,42.0,30.0,309.4,0.2929
163,developer,state,142297.89,27364.98,156.0,30.0,912.2,0.2929
168,developer,state,75614.61,31506.09,72.0,30.0,1050.2,0.2929
264,developer,state,175271.66,32457.72,162.0,30.0,1081.9,0.2929
273,developer,state,182316.26,32556.48,168.0,30.0,1085.2,0.2929
309,developer,state,141054.79,35263.7,120.0,30.0,1175.5,0.2929
341,developer,state,67411.25,24075.45,84.0,30.0,802.5,0.2929
356,developer,state,69676.79,17419.2,120.0,30.0,580.6,0.2929
358,developer,state,149964.84,29992.97,150.0,30.0,999.8,0.2929
362,developer,state,12654.59,9038.99,42.0,30.0,301.3,0.2929
363,developer,state,66002.17,15714.8,126.0,30.0,523.8,0.2929
366,developer,state,14406.96,10290.69,42.0,30.0,343.0,0.2929
369,developer,state,119958.42,46137.85,78.0,30.0,1537.9,0.2929
370,developer,state,94954.47,18990.89,150.0,30.0,633.0,0.2929
371,developer,state,379958.43,36534.46,156.0,15.0,2435.6,0.2929
373,developer,state,179443.8,29907.3,180.0,30.0,996.9,0.2929
380,developer,state,565548.64,35346.79,240.0,15.0,2356.5,0.2929
382,developer,state,86888.99,21722.25,120.0,30.0,724.1,0.2929
387,developer,state,73843.72,30768.22,72.0,30.0,1025.6,0.2929
399,developer,state,44256.18,31611.56,42.0,30.0,1053.7,0.2929
409,developer,state,88620.77,36925.32,72.0,30.0,1230.8,0.2929
411,developer,state,160680.05,32136.01,150.0,30.0,1071.2,0.2929
662,developer,state,55832.18,25378.26,66.0,30.0,845.9,0.2929
666,developer,state,113557.25,22711.45,150.0,30.0,757.0,0.2929
669,developer,state,225790.64,80639.51,42.0,15.0,5376.0,0.2929
674,developer,state,149849.42,24974.9,180.0,30.0,832.5,0.2929
681,developer,state,22804.13,6334.48,108.0,30.0,211.1,0.2929
684,developer,state,185915.71,37183.14,150.0,30.0,1239.4,0.2929
698,developer,state,11232.67,5616.34,60.0,30.0,187.2,0.2929
708,developer,state,15930.36,8850.2,54.0,30.0,295.0,0.2929
712,developer,state,116993.31,44997.43,78.0,30.0,1499.9,0.2929
715,developer,state,26753.94,8917.98,90.0,30.0,297.3,0.2929
730,developer,state,6090.04,1127.79,162.0,30.0,37.6,0.2929
732,developer,state,16028.79,1780.98,270.0,30.0,59.4,0.2929
767,developer,state,145125.17,27908.69,156.0,30.0,930.3,0.2929
909,developer,state,254234.5,42372.42,180.0,30.0,1412.4,0.2929
912,developer,state,179401.23,18687.63,288.0,30.0,622.9,0.2929
913,developer,state,100167.43,11129.71,270.0,30.0,371.0,0.2929
926,developer,state,196642.44,49160.61,120.0,30.0,1638.7,0.2929
936,developer,state,94606.12,23651.53,120.0,30.0,788.4,0.2929
938,developer,state,676262.28,57310.36,354.0,30.0,1910.3,0.2929
979,developer,state,109631.85,22839.97,144.0,30.0,761.3,0.2929
980,developer,state,80482.02,20120.51,120.0,30.0,670.7,0.2929
981,developer,state,198550.42,45125.1,132.0,30.0,1504.2,0.2929
988,developer,state,34602.01,14417.5,72.0,30.0,480.6,0.2929
990,developer,state,145450.57,27971.26,156.0,30.0,932.4,0.2929
991,developer,state,187206.17,39001.28,144.0,30.0,1300.0,0.2929
345,developer,state,68392.55,28496.89,72.0,30.0,949.9,0.2714
360,developer,state,5856.41,9760.68,18.0,30.0,325.4,0.2704
599,developer,state,20048.68,33414.47,18.0,30.0,1113.8,0.2704
680,developer,state,74415.81,62013.18,18.0,15.0,4134.2,0.2704
690,developer,state,11168.19,18613.65,18.0,30.0,620.5,0.2704
691,developer,state,12477.78,20796.3,18.0,30.0,693.2,0.2704
694,developer,state,12592.2,20987.0,18.0,30.0,699.6,0.2704
705,developer,state,2758.95,4598.26,18.0,30.0,153.3,0.2704
716,developer,state,6252.25,10420.42,18.0,30.0,347.3,0.2704
725,developer,state,2863.37,4772.29,18.0,30.0,159.1,0.2704
727,developer,state,3797.61,6329.35,18.0,30.0,211.0,0.2704
977,developer,state,4446.53,7410.89,18.0,30.0,247.0,0.2704
978,developer,state,7112.33,11853.88,18.0,30.0,395.1,0.2704
413,developer,state,128429.93,40134.35,96.0,30.0,1337.8,0.25
415,developer,state,19159.43,13685.31,42.0,30.0,456.2,0.25
343,developer,state,325982.48,203739.05,24.0,15.0,13582.6,0.1939
368,developer,state,9490.05,11862.57,24.0,30.0,395.4,0.1939
372,developer,state,20468.29,25585.36,24.0,30.0,852.8,0.1939
374,developer,state,208.4,260.5,24.0,30.0,8.7,0.1939
377,developer,state,15152.75,18940.93,24.0,30.0,631.4,0.1939
390,developer,state,10791.7,13489.63,24.0,30.0,449.7,0.1939
403,developer,state,47989.17,59986.46,24.0,30.0,1999.5,0.1939
688,developer,state,40913.49,51141.86,24.0,30.0,1704.7,0.1939
703,developer,state,17870.49,22338.12,24.0,30.0,744.6,0.1939
717,developer,state,9721.47,12151.83,24.0,30.0,405.1,0.1939
916,developer,state,17043.42,21304.28,24.0,30.0,710.1,0.1939
928,developer,state,15169.35,18961.69,24.0,30.0,632.1,0.1939
974,developer,state,6816.37,8520.47,24.0,30.0,284.0,0.1939
982,developer,state,7667.7,9584.63,24.0,30.0,319.5,0.1939
983,developer,state,8833.49,11041.86,24.0,30.0,368.1,0.1939
77,developer,state,54684.72,54684.72,30.0,30.0,1822.8,0.1174
