bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
1281,resident,developer,182.53,182.53,6.0,6.0,30.4,0.7115
1573,resident,developer,678.41,678.41,6.0,6.0,113.1,0.7024
1594,resident,developer,738.63,738.63,6.0,6.0,123.1,0.7024
158,resident,developer,14590.03,14590.03,6.0,6.0,2431.7,0.6952
246,resident,developer,1116.54,1116.54,6.0,6.0,186.1,0.6952
111,resident,developer,463.52,463.52,6.0,6.0,77.3,0.6881
153,resident,developer,3507.65,3507.65,6.0,6.0,584.6,0.6881
1185,resident,developer,3840.66,3840.66,6.0,6.0,640.1,0.6524
433,resident,developer,3385.12,3385.12,6.0,6.0,564.2,0.6309
583,resident,developer,6256.21,6256.21,6.0,6.0,1042.7,0.6309
18,resident,developer,2451.98,2451.98,12.0,12.0,204.3,0.6301
876,resident,developer,5379.26,5379.26,12.0,12.0,448.3,0.6301
493,resident,developer,3231.32,3231.32,6.0,6.0,538.6,0.6167
1664,resident,developer,401.41,401.41,6.0,6.0,66.9,0.6167
250,resident,developer,5464.68,5464.68,6.0,6.0,910.8,0.6095
633,resident,developer,4050.96,4050.96,12.0,12.0,337.6,0.6047
660,resident,developer,2965.17,2965.17,12.0,12.0,247.1,0.6047
16,resident,developer,1462.87,1462.87,6.0,6.0,243.8,0.6024
1618,resident,developer,4263.99,4263.99,6.0,6.0,710.7,0.6024
364,resident,developer,35461.7,35461.7,12.0,12.0,2955.1,0.5976
374,resident,developer,13796.5,13796.5,12.0,12.0,1149.7,0.5976
593,resident,developer,19263.32,19263.32,12.0,12.0,1605.3,0.5976
663,resident,developer,7840.83,7840.83,12.0,12.0,653.4,0.5976
664,resident,developer,4381.34,4381.34,12.0,12.0,365.1,0.5976
668,resident,developer,7052.39,7052.39,12.0,12.0,587.7,0.5976
670,resident,developer,6287.97,6287.97,12.0,12.0,524.0,0.5976
812,resident,developer,5498.68,5498.68,12.0,12.0,458.2,0.5976
830,resident,developer,3707.51,3707.51,12.0,12.0,309.0,0.5976
833,resident,developer,4872.14,4872.14,12.0,12.0,406.0,0.5976
837,resident,developer,5140.42,5140.42,12.0,12.0,428.4,0.5976
841,resident,developer,2804.0,2804.0,12.0,12.0,233.7,0.5976
911,resident,developer,5027.23,5027.23,12.0,12.0,418.9,0.5976
912,resident,developer,3358.61,3358.61,12.0,12.0,279.9,0.5976
915,resident,developer,5994.25,5994.25,12.0,12.0,499.5,0.5976
919,resident,developer,5388.2,5388.2,12.0,12.0,449.0,0.5976
954,resident,developer,11533.88,11533.88,12.0,12.0,961.2,0.5976
1012,resident,developer,5399.29,5399.29,12.0,12.0,449.9,0.5976
1013,resident,developer,2501.11,2501.11,12.0,12.0,208.4,0.5976
1015,resident,developer,9262.16,9262.16,12.0,12.0,771.8,0.5976
1016,resident,developer,6622.74,6622.74,12.0,12.0,551.9,0.5976
1017,resident,developer,4607.4,4607.4,12.0,12.0,384.0,0.5976
1018,resident,developer,4008.63,4008.63,12.0,12.0,334.1,0.5976
1019,resident,developer,5627.62,5627.62,12.0,12.0,469.0,0.5976
1022,resident,developer,12941.59,12941.59,12.0,12.0,1078.5,0.5976
1026,resident,developer,11848.3,11848.3,12.0,12.0,987.4,0.5976
1029,resident,developer,2277.71,2277.71,12.0,12.0,189.8,0.5976
1043,resident,developer,22004.37,22004.37,12.0,12.0,1833.7,0.5976
1047,resident,developer,4590.99,4590.99,12.0,12.0,382.6,0.5976
1048,resident,developer,3807.88,3807.88,12.0,12.0,317.3,0.5976
1051,resident,developer,3884.62,3884.62,12.0,12.0,323.7,0.5976
1074,resident,developer,3872.09,3872.09,12.0,12.0,322.7,0.5976
1229,resident,developer,13584.15,13584.15,12.0,12.0,1132.0,0.5976
68,resident,developer,2115.21,2115.21,12.0,12.0,176.3,0.5904
90,resident,developer,2698.98,2698.98,12.0,12.0,224.9,0.5904
110,resident,developer,4137.42,4137.42,12.0,12.0,344.8,0.5904
128,resident,developer,13440.63,13440.63,12.0,12.0,1120.1,0.5904
154,resident,developer,6575.71,6575.71,12.0,12.0,548.0,0.5904
156,resident,developer,6708.99,6708.99,12.0,12.0,559.1,0.5904
294,resident,developer,9920.38,9920.38,12.0,12.0,826.7,0.5904
449,resident,developer,1350.17,1350.17,12.0,12.0,112.5,0.5904
1119,resident,developer,25096.31,25096.31,12.0,12.0,2091.4,0.5904
1121,resident,developer,2701.81,2701.81,12.0,12.0,225.2,0.5904
1673,resident,developer,2357.13,2357.13,12.0,12.0,196.4,0.5904
1077,resident,developer,1936.78,1936.78,12.0,12.0,161.4,0.5833
136,resident,developer,7776.75,7776.75,12.0,12.0,648.1,0.5762
665,resident,developer,6289.63,6289.63,12.0,12.0,524.1,0.5762
1697,resident,developer,2962.88,2962.88,12.0,12.0,246.9,0.569
