bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
790,developer,state,6196.01,6196.01,12.0,12.0,516.3,0.6708
868,developer,state,91143.69,91143.69,30.0,30.0,3038.1,0.4877
855,developer,state,46934.96,46934.96,30.0,30.0,1564.5,0.4735
853,developer,state,919.98,919.98,6.0,6.0,153.3,0.439
859,developer,state,1467.58,1467.58,6.0,6.0,244.6,0.439
857,developer,state,51978.55,51978.55,36.0,36.0,1443.8,0.4124
871,developer,state,135502.69,135502.69,42.0,42.0,3226.3,0.3657
874,developer,state,44958.71,44958.71,24.0,24.0,1873.3,0.3047
788,developer,state,121086.71,121086.71,78.0,78.0,1552.4,0.2929
866,developer,state,154421.3,154421.3,78.0,78.0,1979.8,0.2929
872,developer,state,124079.23,124079.23,126.0,126.0,984.8,0.2929
789,developer,state,46234.87,46234.87,36.0,36.0,1284.3,0.1339
865,developer,state,60896.3,60896.3,36.0,36.0,1691.6,0.1339
873,developer,state,46247.33,46247.33,24.0,24.0,1927.0,0.0118
858,developer,state,143362.77,143362.77,126.0,126.0,1137.8,0.0
