bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
790,developer,state,6196.01,15490.03,12.0,30.0,516.3,0.6708
868,developer,state,91143.69,45571.84,30.0,15.0,3038.1,0.4877
855,developer,state,46934.96,46934.96,30.0,30.0,1564.5,0.4735
853,developer,state,919.98,4599.9,6.0,30.0,153.3,0.439
859,developer,state,1467.58,7337.88,6.0,30.0,244.6,0.439
857,developer,state,51978.55,43315.46,36.0,30.0,1443.8,0.4124
871,developer,state,135502.69,48393.82,42.0,15.0,3226.3,0.3657
874,developer,state,44958.71,56198.39,24.0,30.0,1873.3,0.3047
788,developer,state,121086.71,46571.81,78.0,30.0,1552.4,0.2929
866,developer,state,154421.3,59392.81,78.0,30.0,1979.8,0.2929
872,developer,state,124079.23,29542.67,126.0,30.0,984.8,0.2929
789,developer,state,46234.87,38529.06,36.0,30.0,1284.3,0.1339
865,developer,state,60896.3,50746.92,36.0,30.0,1691.6,0.1339
873,developer,state,46247.33,57809.16,24.0,30.0,1927.0,0.0118
858,developer,state,143362.77,34133.99,126.0,30.0,1137.8,0.0
