bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
526,resident,developer,748.01,748.01,6.0,6.0,124.7,0.6686
679,resident,developer,792.81,792.81,6.0,6.0,132.1,0.6686
687,resident,developer,892.5,892.5,6.0,6.0,148.8,0.6686
806,resident,developer,5045.03,5045.03,6.0,6.0,840.8,0.6686
203,resident,developer,1358.13,1358.13,6.0,6.0,226.4,0.6615
738,resident,developer,4973.4,4973.4,6.0,6.0,828.9,0.6615
34,resident,developer,15962.53,15962.53,12.0,12.0,1330.2,0.5444
44,resident,developer,12458.09,12458.09,12.0,12.0,1038.2,0.5444
79,resident,developer,8774.16,8774.16,12.0,12.0,731.2,0.5444
80,resident,developer,1229.06,1229.06,12.0,12.0,102.4,0.5444
96,resident,developer,1907.7,1907.7,12.0,12.0,159.0,0.5444
102,resident,developer,3400.11,3400.11,12.0,12.0,283.3,0.5444
132,resident,developer,1437.63,1437.63,12.0,12.0,119.8,0.5444
161,resident,developer,1607.62,1607.62,12.0,12.0,134.0,0.5444
164,resident,developer,1439.38,1439.38,12.0,12.0,119.9,0.5444
180,resident,developer,2092.39,2092.39,12.0,12.0,174.4,0.5444
182,resident,developer,2114.49,2114.49,12.0,12.0,176.2,0.5444
237,resident,developer,2557.06,2557.06,12.0,12.0,213.1,0.5444
238,resident,developer,2665.01,2665.01,12.0,12.0,222.1,0.5444
239,resident,developer,14504.55,14504.55,12.0,12.0,1208.7,0.5444
254,resident,developer,2953.96,2953.96,12.0,12.0,246.2,0.5444
302,resident,developer,877.96,877.96,12.0,12.0,73.2,0.5444
397,resident,developer,1122.83,1122.83,12.0,12.0,93.6,0.5444
414,resident,developer,1964.31,1964.31,12.0,12.0,163.7,0.5444
421,resident,developer,3346.79,3346.79,12.0,12.0,278.9,0.5444
435,resident,developer,4608.89,4608.89,12.0,12.0,384.1,0.5444
436,resident,developer,2747.15,2747.15,12.0,12.0,228.9,0.5444
437,resident,developer,3495.18,3495.18,12.0,12.0,291.3,0.5444
438,resident,developer,2139.74,2139.74,12.0,12.0,178.3,0.5444
443,resident,developer,20939.74,20939.74,12.0,12.0,1745.0,0.5444
447,resident,developer,2216.63,2216.63,12.0,12.0,184.7,0.5444
452,resident,developer,3023.26,3023.26,12.0,12.0,251.9,0.5444
456,resident,developer,3191.53,3191.53,12.0,12.0,266.0,0.5444
457,resident,developer,3935.82,3935.82,12.0,12.0,328.0,0.5444
464,resident,developer,5786.93,5786.93,12.0,12.0,482.2,0.5444
475,resident,developer,1966.14,1966.14,12.0,12.0,163.8,0.5444
476,resident,developer,4658.03,4658.03,12.0,12.0,388.2,0.5444
485,resident,developer,6159.79,6159.79,12.0,12.0,513.3,0.5444
515,resident,developer,3926.6,3926.6,12.0,12.0,327.2,0.5444
517,resident,developer,3697.86,3697.86,12.0,12.0,308.2,0.5444
532,resident,developer,4860.79,4860.79,12.0,12.0,405.1,0.5444
551,resident,developer,9184.53,9184.53,12.0,12.0,765.4,0.5444
560,resident,developer,3955.59,3955.59,12.0,12.0,329.6,0.5444
562,resident,developer,8336.97,8336.97,12.0,12.0,694.7,0.5444
567,resident,developer,3460.14,3460.14,12.0,12.0,288.3,0.5444
608,resident,developer,1737.35,1737.35,12.0,12.0,144.8,0.5444
613,resident,developer,8305.38,8305.38,12.0,12.0,692.1,0.5444
616,resident,developer,3409.06,3409.06,12.0,12.0,284.1,0.5444
617,resident,developer,3403.43,3403.43,12.0,12.0,283.6,0.5444
618,resident,developer,764.44,764.44,12.0,12.0,63.7,0.5444
634,resident,developer,7103.6,7103.6,12.0,12.0,592.0,0.5444
637,resident,developer,2946.37,2946.37,12.0,12.0,245.5,0.5444
643,resident,developer,5128.44,5128.44,12.0,12.0,427.4,0.5444
673,resident,developer,7436.5,7436.5,12.0,12.0,619.7,0.5444
681,resident,developer,1850.86,1850.86,12.0,12.0,154.2,0.5444
682,resident,developer,2353.96,2353.96,12.0,12.0,196.2,0.5444
683,resident,developer,8910.35,8910.35,12.0,12.0,742.5,0.5444
686,resident,developer,4445.94,4445.94,12.0,12.0,370.5,0.5444
694,resident,developer,4648.71,4648.71,12.0,12.0,387.4,0.5444
695,resident,developer,7468.26,7468.26,12.0,12.0,622.4,0.5444
706,resident,developer,5405.89,5405.89,12.0,12.0,450.5,0.5444
710,resident,developer,5462.89,5462.89,12.0,12.0,455.2,0.5444
711,resident,developer,7147.0,7147.0,12.0,12.0,595.6,0.5444
712,resident,developer,7593.15,7593.15,12.0,12.0,632.8,0.5444
713,resident,developer,9906.49,9906.49,12.0,12.0,825.5,0.5444
748,resident,developer,3557.18,3557.18,12.0,12.0,296.4,0.5444
783,resident,developer,9868.8,9868.8,12.0,12.0,822.4,0.5444
790,resident,developer,1216.27,1216.27,12.0,12.0,101.4,0.5444
0,resident,developer,4029.44,4029.44,12.0,12.0,335.8,0.5373
6,resident,developer,1454.18,1454.18,12.0,12.0,121.2,0.5373
7,resident,developer,4437.45,4437.45,12.0,12.0,369.8,0.5373
8,resident,developer,1026.28,1026.28,12.0,12.0,85.5,0.5373
36,resident,developer,13697.86,13697.86,12.0,12.0,1141.5,0.5373
78,resident,developer,20222.41,20222.41,12.0,12.0,1685.2,0.5373
192,resident,developer,938.45,938.45,12.0,12.0,78.2,0.5373
193,resident,developer,5110.66,5110.66,12.0,12.0,425.9,0.5373
235,resident,developer,1783.31,1783.31,12.0,12.0,148.6,0.5373
264,resident,developer,12017.0,12017.0,12.0,12.0,1001.4,0.5373
270,resident,developer,6423.78,6423.78,12.0,12.0,535.3,0.5373
290,resident,developer,5126.66,5126.66,12.0,12.0,427.2,0.5373
305,resident,developer,5157.85,5157.85,12.0,12.0,429.8,0.5373
320,resident,developer,1905.86,1905.86,12.0,12.0,158.8,0.5373
323,resident,developer,10379.45,10379.45,12.0,12.0,865.0,0.5373
341,resident,developer,5168.8,5168.8,12.0,12.0,430.7,0.5373
342,resident,developer,4592.74,4592.74,12.0,12.0,382.7,0.5373
345,resident,developer,4740.78,4740.78,12.0,12.0,395.1,0.5373
347,resident,developer,4839.6,4839.6,12.0,12.0,403.3,0.5373
473,resident,developer,10017.14,10017.14,12.0,12.0,834.8,0.5373
657,resident,developer,2993.89,2993.89,12.0,12.0,249.5,0.5373
785,resident,developer,13069.49,13069.49,12.0,12.0,1089.1,0.5373
225,resident,developer,2271.65,2271.65,12.0,12.0,189.3,0.5301
227,resident,developer,2249.67,2249.67,12.0,12.0,187.5,0.5301
314,resident,developer,2535.1,2535.1,12.0,12.0,211.3,0.5301
465,resident,developer,6752.62,6752.62,12.0,12.0,562.7,0.5301
604,resident,developer,5411.69,5411.69,12.0,12.0,451.0,0.523
658,resident,developer,3871.72,3871.72,12.0,12.0,322.6,0.523
134,resident,developer,19869.36,19869.36,18.0,18.0,1103.9,0.4823
11,resident,developer,4285.46,4285.46,18.0,18.0,238.1,0.4202
14,resident,developer,3341.84,3341.84,18.0,18.0,185.7,0.4202
15,resident,developer,3105.78,3105.78,18.0,18.0,172.5,0.4202
19,resident,developer,5991.87,5991.87,18.0,18.0,332.9,0.4202
21,resident,developer,17345.4,17345.4,18.0,18.0,963.6,0.4202
23,resident,developer,4351.29,4351.29,18.0,18.0,241.7,0.4202
24,resident,developer,4493.83,4493.83,18.0,18.0,249.7,0.4202
26,resident,developer,3791.52,3791.52,18.0,18.0,210.6,0.4202
39,resident,developer,3407.74,3407.74,18.0,18.0,189.3,0.4202
42,resident,developer,2447.43,2447.43,18.0,18.0,136.0,0.4202
53,resident,developer,7621.29,7621.29,18.0,18.0,423.4,0.4202
76,resident,developer,19210.75,19210.75,18.0,18.0,1067.3,0.4202
77,resident,developer,3701.03,3701.03,18.0,18.0,205.6,0.4202
82,resident,developer,6740.88,6740.88,18.0,18.0,374.5,0.4202
83,resident,developer,7325.53,7325.53,18.0,18.0,407.0,0.4202
99,resident,developer,2419.83,2419.83,18.0,18.0,134.4,0.4202
101,resident,developer,24779.72,24779.72,18.0,18.0,1376.7,0.4202
103,resident,developer,3756.04,3756.04,18.0,18.0,208.7,0.4202
108,resident,developer,16297.42,16297.42,18.0,18.0,905.4,0.4202
110,resident,developer,22456.49,22456.49,18.0,18.0,1247.6,0.4202
115,resident,developer,13349.86,13349.86,18.0,18.0,741.7,0.4202
130,resident,developer,5042.58,5042.58,18.0,18.0,280.1,0.4202
156,resident,developer,3360.93,3360.93,18.0,18.0,186.7,0.4202
157,resident,developer,889.05,889.05,18.0,18.0,49.4,0.4202
158,resident,developer,1840.79,1840.79,18.0,18.0,102.3,0.4202
160,resident,developer,11863.16,11863.16,18.0,18.0,659.1,0.4202
163,resident,developer,13432.64,13432.64,18.0,18.0,746.3,0.4202
176,resident,developer,3490.02,3490.02,18.0,18.0,193.9,0.4202
179,resident,developer,3138.72,3138.72,18.0,18.0,174.4,0.4202
