bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
334,developer,resident,6180.13,6180.13,12.0,12.0,515.0,0.6447
133,developer,resident,6639.26,6639.26,12.0,12.0,553.3,0.6376
151,developer,resident,38076.47,38076.47,12.0,12.0,3173.0,0.6376
155,developer,resident,2657.43,2657.43,12.0,12.0,221.5,0.6376
284,developer,resident,1452.32,1452.32,12.0,12.0,121.0,0.6376
579,developer,resident,3240.85,3240.85,12.0,12.0,270.1,0.6376
591,developer,resident,11744.28,11744.28,12.0,12.0,978.7,0.6376
648,developer,resident,3533.67,3533.67,12.0,12.0,294.5,0.6376
167,developer,resident,16297.84,16297.84,12.0,12.0,1358.2,0.6304
169,developer,resident,2504.04,2504.04,12.0,12.0,208.7,0.6304
173,developer,resident,2655.68,2655.68,12.0,12.0,221.3,0.6304
175,developer,resident,848.57,848.57,12.0,12.0,70.7,0.6304
361,developer,resident,2066.95,2066.95,12.0,12.0,172.2,0.6304
647,developer,resident,16128.09,16128.09,12.0,12.0,1344.0,0.6304
769,developer,resident,11281.35,11281.35,12.0,12.0,940.1,0.6304
104,developer,resident,39493.15,39493.15,12.0,12.0,3291.1,0.6233
499,developer,resident,2330.03,2330.03,12.0,12.0,194.2,0.6162
153,developer,resident,1262.09,1262.09,18.0,18.0,70.1,0.56
168,developer,resident,3648.92,3648.92,18.0,18.0,202.7,0.56
278,developer,resident,1725.55,1725.55,18.0,18.0,95.9,0.56
370,developer,resident,5720.09,5720.09,18.0,18.0,317.8,0.56
493,developer,resident,4496.33,4496.33,18.0,18.0,249.8,0.56
646,developer,resident,5297.81,5297.81,18.0,18.0,294.3,0.56
649,developer,resident,2271.54,2271.54,18.0,18.0,126.2,0.56
768,developer,resident,2441.55,2441.55,18.0,18.0,135.6,0.5528
803,developer,resident,20611.14,20611.14,18.0,18.0,1145.1,0.5314
804,developer,resident,6375.7,6375.7,18.0,18.0,354.2,0.5314
154,developer,resident,9730.25,9730.25,24.0,24.0,405.4,0.4823
283,developer,resident,4956.98,4956.98,24.0,24.0,206.5,0.4823
286,developer,resident,25603.37,25603.37,24.0,24.0,1066.8,0.4823
147,developer,resident,63187.89,63187.89,24.0,24.0,2632.8,0.4609
356,developer,resident,36787.38,36787.38,24.0,24.0,1532.8,0.4466
95,developer,resident,342.94,342.94,6.0,6.0,57.2,0.4224
118,developer,resident,1282.13,1282.13,6.0,6.0,213.7,0.4224
122,developer,resident,786.46,786.46,6.0,6.0,131.1,0.4224
136,developer,resident,774.58,774.58,6.0,6.0,129.1,0.4224
139,developer,resident,419.76,419.76,6.0,6.0,70.0,0.4224
141,developer,resident,619.12,619.12,6.0,6.0,103.2,0.4224
150,developer,resident,22146.53,22146.53,6.0,6.0,3691.1,0.4224
306,developer,resident,560.59,560.59,6.0,6.0,93.4,0.4224
631,developer,resident,3831.61,3831.61,6.0,6.0,638.6,0.4224
650,developer,resident,1397.36,1397.36,6.0,6.0,232.9,0.4224
653,developer,resident,959.25,959.25,6.0,6.0,159.9,0.4224
666,developer,resident,2342.85,2342.85,6.0,6.0,390.5,0.4224
773,developer,resident,1984.4,1984.4,6.0,6.0,330.7,0.4224
