bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
384,developer,state,345425.4,345425.4,168.0,168.0,2056.1,0.2929
723,developer,state,270621.74,270621.74,120.0,120.0,2255.2,0.2929
794,developer,state,254746.08,254746.08,180.0,180.0,1415.3,0.2929
59,developer,state,214476.2,214476.2,36.0,36.0,5957.7,0.3271
296,developer,state,188357.29,188357.29,114.0,114.0,1652.3,0.0
57,developer,state,175690.49,175690.49,108.0,108.0,1626.8,0.2857
377,developer,state,159308.11,159308.11,186.0,186.0,856.5,0.2929
592,developer,state,145167.28,145167.28,180.0,180.0,806.5,0.2929
357,developer,state,138798.63,138798.63,48.0,48.0,2891.6,0.2857
368,developer,state,113571.79,113571.79,48.0,48.0,2366.1,0.0
801,developer,state,104292.14,104292.14,36.0,36.0,2897.0,0.3271
148,developer,state,96055.46,96055.46,36.0,36.0,2668.2,0.3271
