bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
384,developer,state,345425.4,61683.11,168.0,30.0,2056.1,0.2929
723,developer,state,270621.74,67655.43,120.0,30.0,2255.2,0.2929
794,developer,state,254746.08,42457.68,180.0,30.0,1415.3,0.2929
59,developer,state,214476.2,178730.17,36.0,30.0,5957.7,0.3271
296,developer,state,188357.29,49567.71,114.0,30.0,1652.3,0.0
57,developer,state,175690.49,48802.91,108.0,30.0,1626.8,0.2857
377,developer,state,159308.11,25694.86,186.0,30.0,856.5,0.2929
592,developer,state,145167.28,24194.55,180.0,30.0,806.5,0.2929
357,developer,state,138798.63,86749.14,48.0,30.0,2891.6,0.2857
368,developer,state,113571.79,70982.37,48.0,30.0,2366.1,0.0
801,developer,state,104292.14,86910.12,36.0,30.0,2897.0,0.3271
148,developer,state,96055.46,80046.22,36.0,30.0,2668.2,0.3271
352,developer,state,84748.12,52967.58,48.0,30.0,1765.6,0.2929
92,developer,state,80262.61,80262.61,30.0,30.0,2675.4,0.4047
358,developer,state,79723.71,66436.43,36.0,30.0,2214.5,0.2913
359,developer,state,78513.61,49071.01,48.0,30.0,1635.7,0.2714
720,developer,state,77689.03,17656.6,132.0,30.0,588.6,0.2929
593,developer,state,77626.68,38813.34,60.0,30.0,1293.8,0.2929
383,developer,state,73955.44,73955.44,30.0,30.0,2465.2,0.1118
725,developer,state,68447.26,18012.44,114.0,30.0,600.4,0.2929
715,developer,state,66369.78,22123.26,90.0,30.0,737.4,0.0
147,developer,state,63187.89,63187.89,24.0,24.0,2632.8,0.4609
327,developer,state,61865.28,61865.28,30.0,30.0,2062.2,0.3976
336,developer,state,54521.01,38943.58,42.0,30.0,1298.1,0.0714
149,developer,state,50955.97,50955.97,30.0,30.0,1698.5,0.4047
702,developer,state,49859.2,49859.2,30.0,30.0,1662.0,0.4047
56,developer,state,49471.93,41226.61,36.0,30.0,1374.2,0.0342
126,developer,state,42516.02,42516.02,12.0,12.0,3543.0,0.3447
375,developer,state,42058.85,17524.52,72.0,30.0,584.2,0.2929
714,developer,state,39675.52,39675.52,30.0,30.0,1322.5,0.4047
104,developer,state,39493.15,39493.15,12.0,12.0,3291.1,0.6233
