bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
284,developer,state,1452.32,1452.32,12.0,12.0,121.0,0.6376
591,developer,state,11744.28,11744.28,12.0,12.0,978.7,0.6376
499,developer,state,2330.03,2330.03,12.0,12.0,194.2,0.6162
278,developer,state,1725.55,1725.55,18.0,18.0,95.9,0.56
493,developer,state,4496.33,4496.33,18.0,18.0,249.8,0.56
283,developer,state,4956.98,4956.98,24.0,24.0,206.5,0.4823
286,developer,state,25603.37,25603.37,24.0,24.0,1066.8,0.4823
702,developer,state,49859.2,49859.2,30.0,30.0,1662.0,0.4047
714,developer,state,39675.52,39675.52,30.0,30.0,1322.5,0.4047
266,developer,state,3380.19,3380.19,12.0,12.0,281.7,0.3447
275,developer,state,7036.3,7036.3,12.0,12.0,586.4,0.3447
276,developer,state,4084.42,4084.42,12.0,12.0,340.4,0.3447
277,developer,state,6316.14,6316.14,12.0,12.0,526.3,0.3447
279,developer,state,2308.28,2308.28,12.0,12.0,192.4,0.3447
285,developer,state,1320.55,1320.55,12.0,12.0,110.0,0.3447
287,developer,state,16857.92,16857.92,12.0,12.0,1404.8,0.3447
292,developer,state,1708.27,1708.27,12.0,12.0,142.4,0.3447
293,developer,state,8305.84,8305.84,12.0,12.0,692.2,0.3447
294,developer,state,5253.03,5253.03,12.0,12.0,437.8,0.3447
295,developer,state,8115.42,8115.42,12.0,12.0,676.3,0.3447
496,developer,state,8142.78,8142.78,12.0,12.0,678.6,0.3447
497,developer,state,4016.52,4016.52,12.0,12.0,334.7,0.3447
501,developer,state,5770.48,5770.48,12.0,12.0,480.9,0.3447
719,developer,state,2817.98,2817.98,12.0,12.0,234.8,0.3447
722,developer,state,6949.02,6949.02,12.0,12.0,579.1,0.3447
703,developer,state,26437.22,26437.22,36.0,36.0,734.4,0.3271
724,developer,state,25756.63,25756.63,36.0,36.0,715.5,0.3271
375,developer,state,42058.85,42058.85,72.0,72.0,584.2,0.2929
377,developer,state,159308.11,159308.11,186.0,186.0,856.5,0.2929
384,developer,state,345425.4,345425.4,168.0,168.0,2056.1,0.2929
592,developer,state,145167.28,145167.28,180.0,180.0,806.5,0.2929
593,developer,state,77626.68,77626.68,60.0,60.0,1293.8,0.2929
717,developer,state,19745.39,19745.39,42.0,42.0,470.1,0.2929
720,developer,state,77689.03,77689.03,132.0,132.0,588.6,0.2929
723,developer,state,270621.74,270621.74,120.0,120.0,2255.2,0.2929
725,developer,state,68447.26,68447.26,114.0,114.0,600.4,0.2929
794,developer,state,254746.08,254746.08,180.0,180.0,1415.3,0.2929
274,developer,state,20544.06,20544.06,18.0,18.0,1141.3,0.2671
280,developer,state,3094.86,3094.86,18.0,18.0,171.9,0.2671
376,developer,state,13760.37,13760.37,18.0,18.0,764.5,0.2671
716,developer,state,1766.49,1766.49,18.0,18.0,98.1,0.2671
795,developer,state,5903.33,5903.33,24.0,24.0,246.0,0.1895
383,developer,state,73955.44,73955.44,30.0,30.0,2465.2,0.1118
718,developer,state,18629.65,18629.65,30.0,30.0,621.0,0.1118
296,developer,state,188357.29,188357.29,114.0,114.0,1652.3,0.0
715,developer,state,66369.78,66369.78,90.0,90.0,737.4,0.0
