bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
284,developer,state,1452.32,3630.79,12.0,30.0,121.0,0.6376
591,developer,state,11744.28,29360.71,12.0,30.0,978.7,0.6376
499,developer,state,2330.03,5825.08,12.0,30.0,194.2,0.6162
278,developer,state,1725.55,2875.91,18.0,30.0,95.9,0.56
493,developer,state,4496.33,7493.88,18.0,30.0,249.8,0.56
283,developer,state,4956.98,6196.22,24.0,30.0,206.5,0.4823
286,developer,state,25603.37,32004.21,24.0,30.0,1066.8,0.4823
702,developer,state,49859.2,49859.2,30.0,30.0,1662.0,0.4047
714,developer,state,39675.52,39675.52,30.0,30.0,1322.5,0.4047
266,developer,state,3380.19,8450.46,12.0,30.0,281.7,0.3447
275,developer,state,7036.3,17590.76,12.0,30.0,586.4,0.3447
276,developer,state,4084.42,10211.05,12.0,30.0,340.4,0.3447
277,developer,state,6316.14,15790.36,12.0,30.0,526.3,0.3447
279,developer,state,2308.28,5770.7,12.0,30.0,192.4,0.3447
285,developer,state,1320.55,3301.38,12.0,30.0,110.0,0.3447
287,developer,state,16857.92,42144.81,12.0,30.0,1404.8,0.3447
292,developer,state,1708.27,4270.67,12.0,30.0,142.4,0.3447
293,developer,state,8305.84,20764.59,12.0,30.0,692.2,0.3447
294,developer,state,5253.03,13132.58,12.0,30.0,437.8,0.3447
295,developer,state,8115.42,20288.55,12.0,30.0,676.3,0.3447
496,developer,state,8142.78,20356.94,12.0,30.0,678.6,0.3447
497,developer,state,4016.52,10041.3,12.0,30.0,334.7,0.3447
501,developer,state,5770.48,14426.21,12.0,30.0,480.9,0.3447
719,developer,state,2817.98,7044.96,12.0,30.0,234.8,0.3447
722,developer,state,6949.02,17372.56,12.0,30.0,579.1,0.3447
703,developer,state,26437.22,22031.01,36.0,30.0,734.4,0.3271
724,developer,state,25756.63,21463.86,36.0,30.0,715.5,0.3271
375,developer,state,42058.85,17524.52,72.0,30.0,584.2,0.2929
377,developer,state,159308.11,25694.86,186.0,30.0,856.5,0.2929
384,developer,state,345425.4,30841.55,168.0,15.0,2056.1,0.2929
592,developer,state,145167.28,24194.55,180.0,30.0,806.5,0.2929
593,developer,state,77626.68,38813.34,60.0,30.0,1293.8,0.2929
717,developer,state,19745.39,14103.85,42.0,30.0,470.1,0.2929
720,developer,state,77689.03,17656.6,132.0,30.0,588.6,0.2929
723,developer,state,270621.74,33827.72,120.0,15.0,2255.2,0.2929
725,developer,state,68447.26,18012.44,114.0,30.0,600.4,0.2929
794,developer,state,254746.08,42457.68,180.0,30.0,1415.3,0.2929
274,developer,state,20544.06,34240.09,18.0,30.0,1141.3,0.2671
280,developer,state,3094.86,5158.1,18.0,30.0,171.9,0.2671
376,developer,state,13760.37,22933.96,18.0,30.0,764.5,0.2671
716,developer,state,1766.49,2944.15,18.0,30.0,98.1,0.2671
795,developer,state,5903.33,7379.17,24.0,30.0,246.0,0.1895
383,developer,state,73955.44,36977.72,30.0,15.0,2465.2,0.1118
718,developer,state,18629.65,18629.65,30.0,30.0,621.0,0.1118
296,developer,state,188357.29,49567.71,114.0,30.0,1652.3,0.0
715,developer,state,66369.78,22123.26,90.0,30.0,737.4,0.0
