bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
185,developer,resident,16531.06,16531.06,12.0,12.0,1377.6,0.7226
193,developer,resident,13262.81,13262.81,12.0,12.0,1105.2,0.7226
206,developer,resident,3489.74,3489.74,12.0,12.0,290.8,0.7226
249,developer,resident,23788.62,23788.62,12.0,12.0,1982.4,0.7226
525,developer,resident,14102.53,14102.53,12.0,12.0,1175.2,0.7226
529,developer,resident,5244.8,5244.8,12.0,12.0,437.1,0.7226
533,developer,resident,43361.51,43361.51,12.0,12.0,3613.5,0.7226
781,developer,resident,3866.47,3866.47,12.0,12.0,322.2,0.7226
1736,developer,resident,1670.47,1670.47,6.0,6.0,278.4,0.7226
2218,developer,resident,11080.14,11080.14,12.0,12.0,923.3,0.7226
2401,developer,resident,27169.06,27169.06,12.0,12.0,2264.1,0.7226
2565,developer,resident,6676.65,6676.65,12.0,12.0,556.4,0.7226
2824,developer,resident,6724.55,6724.55,6.0,6.0,1120.8,0.7226
539,developer,resident,29384.26,29384.26,12.0,12.0,2448.7,0.7155
1425,developer,resident,307.18,307.18,6.0,6.0,51.2,0.6899
592,developer,resident,4147.98,4147.98,12.0,12.0,345.7,0.6869
2464,developer,resident,46691.87,46691.87,18.0,18.0,2594.0,0.684
1334,developer,resident,8185.8,8185.8,18.0,18.0,454.8,0.6768
1343,developer,resident,8364.1,8364.1,18.0,18.0,464.7,0.6768
984,developer,resident,2117.41,2117.41,6.0,6.0,352.9,0.6613
1741,developer,resident,4586.3,4586.3,6.0,6.0,764.4,0.6613
314,developer,resident,2422.24,2422.24,6.0,6.0,403.7,0.6584
315,developer,resident,2178.88,2178.88,6.0,6.0,363.1,0.6584
2910,developer,resident,514.07,514.07,6.0,6.0,85.7,0.6584
771,developer,resident,1260.48,1260.48,6.0,6.0,210.1,0.6542
790,developer,resident,496.19,496.19,6.0,6.0,82.7,0.6542
2912,developer,resident,16936.23,16936.23,6.0,6.0,2822.7,0.647
210,developer,resident,9696.09,9696.09,12.0,12.0,808.0,0.6453
214,developer,resident,7864.94,7864.94,12.0,12.0,655.4,0.6453
377,developer,resident,40380.47,40380.47,12.0,12.0,3365.0,0.6453
413,developer,resident,3647.98,3647.98,12.0,12.0,304.0,0.6453
414,developer,resident,6490.03,6490.03,12.0,12.0,540.8,0.6453
427,developer,resident,6318.56,6318.56,12.0,12.0,526.5,0.6453
428,developer,resident,5824.28,5824.28,12.0,12.0,485.4,0.6453
473,developer,resident,6552.05,6552.05,12.0,12.0,546.0,0.6453
540,developer,resident,5909.7,5909.7,24.0,24.0,246.2,0.6453
541,developer,resident,6055.43,6055.43,24.0,24.0,252.3,0.6453
908,developer,resident,42855.37,42855.37,24.0,24.0,1785.6,0.6453
1072,developer,resident,1788.75,1788.75,12.0,12.0,149.1,0.6453
1075,developer,resident,19649.02,19649.02,12.0,12.0,1637.4,0.6453
1077,developer,resident,60515.85,60515.85,12.0,12.0,5043.0,0.6453
1078,developer,resident,12444.73,12444.73,12.0,12.0,1037.1,0.6453
1089,developer,resident,233566.14,233566.14,12.0,12.0,19463.8,0.6453
1511,developer,resident,14806.48,14806.48,12.0,12.0,1233.9,0.6453
2321,developer,resident,21845.13,21845.13,24.0,24.0,910.2,0.6453
2833,developer,resident,4726.68,4726.68,12.0,12.0,393.9,0.6453
2914,developer,resident,7391.41,7391.41,12.0,12.0,616.0,0.6453
2916,developer,resident,8858.62,8858.62,12.0,12.0,738.2,0.6453
2711,developer,resident,565.55,565.55,6.0,6.0,94.3,0.6441
1421,developer,resident,997.3,997.3,6.0,6.0,166.2,0.6399
474,developer,resident,7301.07,7301.07,12.0,12.0,608.4,0.6381
490,developer,resident,7191.56,7191.56,12.0,12.0,599.3,0.6381
493,developer,resident,17308.94,17308.94,12.0,12.0,1442.4,0.6381
495,developer,resident,22477.66,22477.66,12.0,12.0,1873.1,0.6381
508,developer,resident,4495.72,4495.72,12.0,12.0,374.6,0.6381
1136,developer,resident,4517.13,4517.13,12.0,12.0,376.4,0.6381
2945,developer,resident,102012.69,102012.69,12.0,12.0,8501.1,0.6381
2946,developer,resident,92864.51,92864.51,12.0,12.0,7738.7,0.6381
527,developer,resident,14854.6,14854.6,12.0,12.0,1237.9,0.6369
2710,developer,resident,2984.3,2984.3,6.0,6.0,497.4,0.6369
2940,developer,resident,2398.58,2398.58,6.0,6.0,399.8,0.6369
760,developer,resident,998.3,998.3,6.0,6.0,166.4,0.6327
978,developer,resident,1611.33,1611.33,6.0,6.0,268.6,0.6327
981,developer,resident,1676.04,1676.04,6.0,6.0,279.3,0.6327
1868,developer,resident,755.69,755.69,6.0,6.0,125.9,0.6327
486,developer,resident,4689.32,4689.32,12.0,12.0,390.8,0.6298
963,developer,resident,10937.0,10937.0,12.0,12.0,911.4,0.6298
1292,developer,resident,763.87,763.87,6.0,6.0,127.3,0.6256
1293,developer,resident,584.96,584.96,6.0,6.0,97.5,0.6256
1805,developer,resident,1170.41,1170.41,6.0,6.0,195.1,0.6256
1013,developer,resident,3584.17,3584.17,12.0,12.0,298.7,0.6226
1723,developer,resident,341.09,341.09,6.0,6.0,56.8,0.6226
1724,developer,resident,341.08,341.08,6.0,6.0,56.8,0.6226
576,developer,resident,26952.64,26952.64,18.0,18.0,1497.4,0.6197
1288,developer,resident,410.65,410.65,6.0,6.0,68.4,0.6185
1540,developer,resident,4329.24,4329.24,6.0,6.0,721.5,0.6185
2485,developer,resident,990.28,990.28,6.0,6.0,165.0,0.6185
2684,developer,resident,364.06,364.06,6.0,6.0,60.7,0.6185
772,developer,resident,2008.51,2008.51,12.0,12.0,167.4,0.6155
1396,developer,resident,885.9,885.9,12.0,12.0,73.8,0.6155
1709,developer,resident,1663.87,1663.87,6.0,6.0,277.3,0.6155
2950,developer,resident,22765.4,22765.4,12.0,12.0,1897.1,0.6155
593,developer,resident,18042.03,18042.03,18.0,18.0,1002.3,0.6125
2669,developer,resident,480.55,480.55,6.0,6.0,80.1,0.6113
556,developer,resident,13236.55,13236.55,12.0,12.0,1103.0,0.6096
