bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
1861,developer,state,746846.13,746846.13,18.0,18.0,41491.5,0.4322
1802,developer,state,649761.22,649761.22,24.0,24.0,27073.4,0.4238
296,developer,state,532348.7,532348.7,240.0,240.0,2218.1,0.3
277,developer,state,505339.32,505339.32,30.0,30.0,16844.6,0.1132
2880,developer,state,491041.94,491041.94,12.0,12.0,40920.2,0.3453
177,developer,state,479516.17,479516.17,42.0,42.0,11417.1,0.2292
2943,developer,state,397986.69,397986.69,54.0,54.0,7370.1,0.0
2686,developer,state,380980.37,380980.37,78.0,78.0,4884.4,0.2643
288,developer,state,379190.48,379190.48,198.0,198.0,1915.1,0.0
2821,developer,state,349204.29,349204.29,42.0,42.0,8314.4,0.0
