bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
1861,developer,state,746846.13,746846.13,18.0,18.0,41491.5,0.4322
1802,developer,state,649761.22,649761.22,24.0,24.0,27073.4,0.4238
296,developer,state,532348.7,66543.59,240.0,30.0,2218.1,0.3
277,developer,state,505339.32,505339.32,30.0,30.0,16844.6,0.1132
2880,developer,state,491041.94,491041.94,12.0,12.0,40920.2,0.3453
177,developer,state,479516.17,342511.55,42.0,30.0,11417.1,0.2292
2943,developer,state,397986.69,221103.72,54.0,30.0,7370.1,0.0
2686,developer,state,380980.37,146530.91,78.0,30.0,4884.4,0.2643
288,developer,state,379190.48,57453.1,198.0,30.0,1915.1,0.0
2821,developer,state,349204.29,249431.64,42.0,30.0,8314.4,0.0
662,developer,state,345633.47,345633.47,24.0,24.0,14401.4,0.4381
1515,developer,state,337629.48,281357.9,36.0,30.0,9378.6,0.3965
1109,developer,state,302316.13,188947.58,48.0,30.0,6298.3,0.1214
