bid,from_sh,to_sh,gfa_before,gfa_after,h_before,h_after,area,weakness
185,developer,state,16531.06,41327.64,12.0,30.0,1377.6,0.7226
193,developer,state,13262.81,33157.03,12.0,30.0,1105.2,0.7226
206,developer,state,3489.74,8724.35,12.0,30.0,290.8,0.7226
249,developer,state,23788.62,59471.56,12.0,30.0,1982.4,0.7226
525,developer,state,14102.53,35256.34,12.0,30.0,1175.2,0.7226
529,developer,state,5244.8,13112.01,12.0,30.0,437.1,0.7226
533,developer,state,43361.51,54201.88,12.0,15.0,3613.5,0.7226
781,developer,state,3866.47,9666.18,12.0,30.0,322.2,0.7226
1736,developer,state,1670.47,8352.33,6.0,30.0,278.4,0.7226
2218,developer,state,11080.14,27700.35,12.0,30.0,923.3,0.7226
2401,developer,state,27169.06,33961.33,12.0,15.0,2264.1,0.7226
2565,developer,state,6676.65,16691.62,12.0,30.0,556.4,0.7226
2824,developer,state,6724.55,33622.77,6.0,30.0,1120.8,0.7226
539,developer,state,29384.26,36730.33,12.0,15.0,2448.7,0.7155
592,developer,state,4147.98,10369.95,12.0,30.0,345.7,0.6869
2464,developer,state,46691.87,38909.9,18.0,15.0,2594.0,0.684
1334,developer,state,8185.8,13643.01,18.0,30.0,454.8,0.6768
1343,developer,state,8364.1,13940.16,18.0,30.0,464.7,0.6768
984,developer,state,2117.41,10587.04,6.0,30.0,352.9,0.6613
1741,developer,state,4586.3,22931.5,6.0,30.0,764.4,0.6613
314,developer,state,2422.24,12111.22,6.0,30.0,403.7,0.6584
315,developer,state,2178.88,10894.41,6.0,30.0,363.1,0.6584
2910,developer,state,514.07,2570.35,6.0,30.0,85.7,0.6584
771,developer,state,1260.48,6302.4,6.0,30.0,210.1,0.6542
790,developer,state,496.19,2480.96,6.0,30.0,82.7,0.6542
2912,developer,state,16936.23,42340.56,6.0,15.0,2822.7,0.647
210,developer,state,9696.09,24240.23,12.0,30.0,808.0,0.6453
214,developer,state,7864.94,19662.35,12.0,30.0,655.4,0.6453
377,developer,state,40380.47,50475.58,12.0,15.0,3365.0,0.6453
413,developer,state,3647.98,9119.94,12.0,30.0,304.0,0.6453
414,developer,state,6490.03,16225.08,12.0,30.0,540.8,0.6453
427,developer,state,6318.56,15796.39,12.0,30.0,526.5,0.6453
428,developer,state,5824.28,14560.7,12.0,30.0,485.4,0.6453
473,developer,state,6552.05,16380.13,12.0,30.0,546.0,0.6453
