site,family,mode,scenario,intensity,current_dev_share,target,rule,acquired_n,pool_size,pool_taken_frac,mean_weakness_taken,median_weakness_taken,sd_weakness_taken,min_weakness_taken,max_weakness_taken,pool_mean_weakness,lift_over_pool,share_reached,target_met,pool_exhausted,resident_loss_share,displaced_resident_gfa,gfa_change_pct,envelope_bind_n
lujiazui,资本/超高层,B_grow,capital_deepen,light,0.6543,0.704,weak_first,313,1158,0.2703,0.5681,0.547,0.0611,0.4855,0.7314,0.4122,0.1559,0.7041,True,False,1.0,2849565.9,4.58,0
lujiazui,资本/超高层,B_grow,capital_deepen,light,0.6543,0.704,random,162,1158,0.1399,0.4105,0.424,0.1496,0.0,0.7314,0.4122,-0.0017,0.704,True,False,1.0,3507439.6,1.74,0
lujiazui,资本/超高层,B_grow,capital_deepen,light,0.6543,0.704,adjacency_first,34,1158,0.0294,0.2977,0.2929,0.2033,0.0,0.6699,0.4122,-0.1145,0.7042,True,False,1.0,3588327.3,1.44,0
lujiazui,资本/超高层,B_grow,capital_deepen,light,0.6543,0.704,value_first,19,1158,0.0164,0.1162,0.0,0.1371,0.0,0.2929,0.4122,-0.296,0.7054,True,False,1.0,4022945.3,0.0,0
nanjingxi,资本/商业,B_grow,capital_deepen,light,0.5803,0.63,weak_first,140,687,0.2038,0.481,0.4256,0.0729,0.4256,0.6704,0.3008,0.1803,0.63,True,False,1.0,948696.3,2.65,0
nanjingxi,资本/商业,B_grow,capital_deepen,light,0.5803,0.63,random,83,687,0.1208,0.303,0.3031,0.1506,0.0,0.548,0.3008,0.0023,0.6302,True,False,1.0,1106445.8,0.89,0
nanjingxi,资本/商业,B_grow,capital_deepen,light,0.5803,0.63,adjacency_first,19,687,0.0277,0.2727,0.2929,0.182,0.0,0.548,0.3008,-0.0281,0.6348,True,False,1.0,1212780.3,0.95,0
nanjingxi,资本/商业,B_grow,capital_deepen,light,0.5803,0.63,value_first,10,687,0.0146,0.205,0.2929,0.1342,0.0,0.2929,0.3008,-0.0957,0.6339,True,False,1.0,1273416.2,0.0,0
caoyang,单位/工人新村,B_grow,capital_deepen,light,0.2069,0.257,weak_first,96,867,0.1107,0.5346,0.5086,0.0476,0.5086,0.6981,0.3059,0.2286,0.2573,True,False,1.0,700146.6,2.72,0
caoyang,单位/工人新村,B_grow,capital_deepen,light,0.2069,0.257,random,64,867,0.0738,0.2934,0.2929,0.1481,0.0,0.6981,0.3059,-0.0125,0.2576,True,False,1.0,1074215.5,0.59,0
