site,family,pool,n,w_age,w_gap,missing_age,coverage,min,q1,median,q3,max,mean,sd,iqr,n_distinct_exact,distinct_frac_exact,tie_share_exact,n_distinct_4dp,distinct_frac_4dp,tie_share_4dp,modal_value_4dp,modal_n_4dp,modal_frac_4dp,share_at_zero,share_no_far_gap
lujiazui,资本/超高层,all,1849,0.5,0.5,zero,0.1793,0.0,0.2929,0.4232,0.4855,0.7544,0.3874,0.176,0.1926,174,0.0941,0.9605,169,0.0914,0.9627,0.4855,186,0.1006,0.0817,0.1942
lujiazui,资本/超高层,acquirable_pool_developer,1158,0.5,0.5,zero,0.1793,0.0,0.3156,0.4385,0.4855,0.7314,0.4122,0.1477,0.1699,98,0.0846,0.962,97,0.0838,0.9637,0.4855,173,0.1494,0.0302,0.095
lujiazui,资本/超高层,state,230,0.5,0.5,zero,0.1793,0.0,0.0389,0.2929,0.4086,0.716,0.2776,0.201,0.3697,49,0.213,0.8957,48,0.2087,0.9,0.0,57,0.2478,0.2478,0.5043
lujiazui,资本/超高层,developer,446,0.5,0.5,zero,0.1793,0.0,0.2929,0.4159,0.4616,0.7544,0.3785,0.2071,0.1687,73,0.1637,0.9193,72,0.1614,0.9215,0.4232,65,0.1457,0.1323,0.2982
lujiazui,资本/超高层,resident,1158,0.5,0.5,zero,0.1793,0.0,0.3156,0.4385,0.4855,0.7314,0.4122,0.1477,0.1699,98,0.0846,0.962,97,0.0838,0.9637,0.4855,173,0.1494,0.0302,0.095
lujiazui,资本/超高层,unknown,15,0.5,0.5,zero,0.1793,0.2951,0.3975,0.3975,0.4488,0.5879,0.4171,0.0615,0.0512,5,0.3333,0.8,5,0.3333,0.8,0.3975,7,0.4667,0.0,0.0
nanjingxi,资本/商业,all,999,0.5,0.5,zero,0.3571,0.0,0.2551,0.3031,0.4256,0.7163,0.3045,0.1562,0.1704,57,0.0571,0.976,57,0.0571,0.976,0.2929,172,0.1722,0.0631,0.2472
nanjingxi,资本/商业,acquirable_pool_developer,687,0.5,0.5,zero,0.3571,0.0,0.2551,0.3031,0.4256,0.6704,0.3008,0.1467,0.1704,33,0.048,0.9738,33,0.048,0.9738,0.4256,152,0.2213,0.0408,0.1921
nanjingxi,资本/商业,state,55,0.5,0.5,zero,0.3571,0.0,0.2322,0.2929,0.2944,0.597,0.2632,0.1567,0.0622,14,0.2545,0.8545,14,0.2545,0.8545,0.2929,26,0.4727,0.2,0.7273
nanjingxi,资本/商业,developer,246,0.5,0.5,zero,0.3571,0.0,0.2704,0.2929,0.4235,0.7163,0.3286,0.1758,0.153,24,0.0976,0.9715,24,0.0976,0.9715,0.2929,48,0.1951,0.0854,0.2927
nanjingxi,资本/商业,resident,687,0.5,0.5,zero,0.3571,0.0,0.2551,0.3031,0.4256,0.6704,0.3008,0.1467,0.1704,33,0.048,0.9738,33,0.048,0.9738,0.4256,152,0.2213,0.0408,0.1921
nanjingxi,资本/商业,unknown,11,0.5,0.5,zero,0.3571,0.0,0.0459,0.2959,0.347,0.398,0.206,0.1619,0.301,4,0.3636,1.0,4,0.3636,1.0,0.2959,3,0.2727,0.2727,0.2727
caoyang,单位/工人新村,all,1072,0.5,0.5,zero,0.2764,0.0,0.2821,0.2929,0.3744,0.7336,0.3043,0.1384,0.0923,78,0.0728,0.9729,76,0.0709,0.9729,0.2929,310,0.2892,0.0653,0.4067
caoyang,单位/工人新村,acquirable_pool_developer,867,0.5,0.5,zero,0.2764,0.0,0.2929,0.2929,0.319,0.6981,0.3059,0.1274,0.0262,49,0.0565,0.9769,48,0.0554,0.9769,0.2929,278,0.3206,0.0542,0.4152
caoyang,单位/工人新村,state,88,0.5,0.5,zero,0.2764,0.0,0.1446,0.2845,0.325,0.5631,0.2458,0.1569,0.1804,25,0.2841,0.8636,25,0.2841,0.8636,0.2929,17,0.1932,0.1818,0.4773
caoyang,单位/工人新村,developer,110,0.5,0.5,zero,0.2764,0.0,0.2631,0.2929,0.4375,0.7336,0.3402,0.1842,0.1744,29,0.2636,0.9,29,0.2636,0.9,0.2929,15,0.1364,0.0545,0.3
caoyang,单位/工人新村,resident,867,0.5,0.5,zero,0.2764,0.0,0.2929,0.2929,0.319,0.6981,0.3059,0.1274,0.0262,49,0.0565,0.9769,48,0.0554,0.9769,0.2929,278,0.3206,0.0542,0.4152
caoyang,单位/工人新村,unknown,7,0.5,0.5,zero,0.2764,0.0,0.2631,0.2631,0.3421,0.421,0.2706,0.1232,0.079,4,0.5714,0.7143,4,0.5714,0.7143,0.2631,3,0.4286,0.1429,0.1429
pengpu,单位/工人新村,all,1821,0.5,0.5,zero,0.2848,0.0,0.2143,0.2786,0.2929,0.7115,0.2585,0.1318,0.0786,140,0.0769,0.9714,130,0.0714,0.9747,0.2929,277,0.1521,0.0862,0.6645
pengpu,单位/工人新村,acquirable_pool_developer,1695,0.5,0.5,zero,0.2848,0.0,0.2143,0.2786,0.2929,0.7115,0.2604,0.1311,0.0786,120,0.0708,0.977,117,0.069,0.9776,0.2929,261,0.154,0.0844,0.6696
pengpu,单位/工人新村,state,90,0.5,0.5,zero,0.2848,0.0,0.1745,0.2553,0.2857,0.5202,0.2052,0.1169,0.1112,25,0.2778,0.8889,25,0.2778,0.8889,0.0,13,0.1444,0.1444,0.7778
pengpu,单位/工人新村,developer,22,0.5,0.5,zero,0.2848,0.0,0.2408,0.3047,0.439,0.6708,0.3306,0.1744,0.1982,18,0.8182,0.3182,17,0.7727,0.4091,0.2929,3,0.1364,0.0455,0.2273
pengpu,单位/工人新村,resident,1695,0.5,0.5,zero,0.2848,0.0,0.2143,0.2786,0.2929,0.7115,0.2604,0.1311,0.0786,120,0.0708,0.977,117,0.069,0.9776,0.2929,261,0.154,0.0844,0.6696
pengpu,单位/工人新村,unknown,14,0.5,0.5,zero,0.2848,0.0118,0.1745,0.3373,0.3373,0.4186,0.2617,0.1321,0.1627,5,0.3571,0.9286,5,0.3571,0.9286,0.3373,5,0.3571,0.0,0.0
laoximen,居民/里弄石库门,all,923,0.5,0.5,zero,0.3705,0.0,0.246,0.2929,0.4118,0.7063,0.3,0.164,0.1658,42,0.0455,0.9892,40,0.0433,0.9892,0.246,159,0.1723,0.0802,0.2405
