district,metric,exemplar,before,after,verdict,overshoot_ratio,ends_closer
caoyang,far,3.26,3.176,5.226,overshoot,24.35,False
caoyang,coverage,0.179,0.276,0.141,overshoot,1.4,True
caoyang,h_mean,41.127,34.416,127.784,overshoot,13.91,False
caoyang,h_max,606.0,228.0,480.0,toward,0.67,True
caoyang,h_cv,1.29,0.813,0.767,away,,False
caoyang,grain,418.819,421.713,201.671,overshoot,76.04,False
caoyang,slender,1.301,1.381,7.964,away,,False
caoyang,concentration,0.317,0.176,0.164,away,,False
laoximen,far,3.26,3.719,5.933,away,,False
laoximen,coverage,0.179,0.37,0.192,toward,0.93,True
laoximen,h_mean,41.127,27.296,93.49,overshoot,4.79,False
laoximen,h_max,606.0,198.0,480.0,toward,0.69,True
laoximen,h_cv,1.29,1.234,1.132,away,,False
laoximen,grain,418.819,348.911,175.327,away,,False
laoximen,slender,1.301,0.941,5.068,overshoot,11.45,False
laoximen,concentration,0.317,0.181,0.185,toward,0.02,True
dapuqiao,far,3.26,4.282,6.554,away,,False
dapuqiao,coverage,0.179,0.318,0.168,overshoot,1.08,True
dapuqiao,h_mean,41.127,39.546,133.894,overshoot,59.69,False
dapuqiao,h_max,606.0,312.0,480.0,toward,0.57,True
dapuqiao,h_cv,1.29,1.111,1.009,away,,False
dapuqiao,grain,418.819,441.352,232.515,overshoot,9.27,False
dapuqiao,slender,1.301,1.137,6.271,overshoot,31.23,False
dapuqiao,concentration,0.317,0.329,0.327,toward,0.22,True
yuyuan,far,3.26,2.993,4.728,overshoot,6.49,False
yuyuan,coverage,0.179,0.362,0.183,toward,0.98,True
yuyuan,h_mean,41.127,22.0,82.365,overshoot,3.16,False
yuyuan,h_max,606.0,192.0,480.0,toward,0.7,True
yuyuan,h_cv,1.29,1.203,1.045,away,,False
yuyuan,grain,418.819,355.003,192.25,away,,False
yuyuan,slender,1.301,0.865,4.831,overshoot,9.09,False
yuyuan,concentration,0.317,0.198,0.17,away,,False
