district,pair,n_overlap,overlap_pct,agreement_pct,kappa
lujiazui,euluc~function,1121,60.6,76.0,0.388
lujiazui,euluc~aoi,1267,68.5,25.7,0.052
lujiazui,function~aoi,890,48.1,10.2,0.006
caoyang,euluc~function,697,65.0,86.8,0.352
caoyang,euluc~aoi,808,75.4,10.6,0.038
caoyang,function~aoi,567,52.9,5.1,0.019
laoximen,euluc~function,444,48.1,64.4,0.017
laoximen,euluc~aoi,363,39.3,19.3,0.044
laoximen,function~aoi,213,23.1,2.8,-0.01
dapuqiao,euluc~function,438,55.8,62.8,0.149
dapuqiao,euluc~aoi,451,57.5,21.1,0.001
dapuqiao,function~aoi,295,37.6,11.2,-0.008
yuyuan,euluc~function,389,47.5,53.2,0.141
yuyuan,euluc~aoi,252,30.8,12.7,0.029
yuyuan,function~aoi,156,19.0,11.5,0.024
